tag,P,h,pad_frac,Fz_certified,Fx_certified,Fy_certified,Ftot_certified,A_certified,identity_resid_certified,eta_z_abs,R_certified,T_certified,mean_Ez2,max_Ez2,rel_change_9_to_11,rel_change_7_to_11,rel_change_nz7_to_31_at11,Fz_hard_optimizer
final3_div_F1_P825_h500_pad0.12_s333_h525,825.0,525.0,0.12,0.9542524861707444,0.02823310883743173,0.008144135719084046,0.9907369060570671,0.990748324095046,-1.1418037978883078e-05,0.963174461692839,0.0065614145724554014,0.0026902613324986096,19.905629745473714,103.52418110848882,-0.0010676621756518978,-0.0017324571361067784,0.0001100574475938709,0.9551723484191347
final1_F0_P825_h600_pad0.12_s1001_h575,825.0,575.0,0.12,0.9539787637339017,0.02799873000920726,0.009426617513792406,0.9915157620787846,0.9915276681250383,-1.1906046253784552e-05,0.9621418037105292,0.005987990426547726,0.002484341448413965,19.899823508410698,106.48554856560628,-0.0014871246993841713,-0.0029924931999826807,0.00011490163166331873,0.9552934372248431
final0_F2_P850_h600_pad0.12_s333_P825,825.0,600.0,0.12,0.9538558736546515,0.02775702977606409,0.010132513767082378,0.9918578261822647,0.9918698114788287,-1.1985296563987724e-05,0.9616860889489721,0.00467001356773955,0.003460174953431757,19.89724490576364,111.69133572088897,-0.0017596420392800543,-0.003466590746113401,0.00011566233043876922,0.9554292232173635
final2_F0_P825_h600_pad0.12_s1001_pad0.08,825.0,600.0,0.07999999999999999,0.9536028622146505,0.02922055956781422,0.009206188502789335,0.9921425326412555,0.9921545727075098,-1.2040066254326298e-05,0.9611551070953427,0.004757854068365678,0.003087573224124475,19.89195604577869,110.95847300289148,-0.0015696648247486874,-0.0034166325237497686,0.00011621986501954855,0.9549940744053188
scratch_s8080_P825_h600_pad0.12,825.0,600.0,0.12,0.9417728476305692,0.024565745276027746,0.016551742946415048,0.9830054671847225,0.9830177365428386,-1.2269358116157036e-05,0.9580545368966854,0.00944491996664335,0.00753734349051805,19.645113245163632,109.31285203729098,-0.007295275539658673,-0.01103426416194349,0.00011984236233188626,0.9485370889875835
final4_div_F3_P750_h500_pad0.08_s1001_centre,750.0,500.0,0.08,0.9361154013807851,0.030289841435082145,0.011834928056604539,0.9783593808687938,0.978372096544299,-1.2715675505203805e-05,0.9568216134949351,0.01080730961590607,0.010820593839794978,19.52699855438821,84.83032454346856,-0.00476921277059585,-0.00885478854388141,0.00012506393726992128,0.9404674882435019
FABR_h970_P825_pad0.08_warm,825.0,970.5,0.08,0.9159584978192136,0.029044322356150832,0.005028415850808379,0.9501230854288165,0.9501328460623909,-9.760633574384947e-06,0.9640419350570947,0.019419615349864857,0.03044753858774428,19.107054785926525,79.5990374183092,-0.0181666684032072,-0.032799405388031604,9.778337611423417e-05,0.9459198963257742
