it,L,R_cross,R_co,T_tot,pb_err_deg
0,0.3243502974510193,0.08777415752410889,0.2971557378768921,0.30693256109952927,127.95785522460938
1,0.31764164566993713,0.09226146340370178,0.29471299052238464,0.3088957108557224,125.90931701660156
2,0.3111693561077118,0.09651438146829605,0.2931824028491974,0.3096088208258152,124.07901000976562
3,0.304918497800827,0.10056964308023453,0.29255151748657227,0.3092948757112026,122.46910095214844
4,0.2990872263908386,0.10429214686155319,0.2928577959537506,0.3078964203596115,121.12369537353516
5,0.29353561997413635,0.10779349505901337,0.2938768267631531,0.305634718388319,119.97025299072266
6,0.28829115629196167,0.11103612929582596,0.2954283356666565,0.30274009332060814,118.99485778808594
7,0.2835146486759186,0.11398053914308548,0.2976081371307373,0.2990732043981552,118.2196044921875
8,0.2790871262550354,0.11664833873510361,0.30005696415901184,0.2950507923960686,117.5862045288086
9,0.27505749464035034,0.11906538903713226,0.3028663694858551,0.2905842587351799,117.0920639038086
10,0.27132806181907654,0.12125836312770844,0.305864542722702,0.28587836772203445,116.6988754272461
11,0.267952561378479,0.12322649359703064,0.30909833312034607,0.2810053713619709,116.4026107788086
12,0.26495736837387085,0.12495304644107819,0.3123982548713684,0.27606509253382683,116.19721221923828
13,0.26219114661216736,0.12651397287845612,0.3156377971172333,0.2712347209453583,116.0386734008789
14,0.2595885694026947,0.1279819756746292,0.31897780299186707,0.2661841958761215,115.92455291748047
15,0.2573273479938507,0.12923793494701385,0.32217782735824585,0.2614007368683815,115.85894012451172
16,0.2552359700202942,0.130401611328125,0.32548394799232483,0.25663140788674355,115.82901000976562
17,0.25330889225006104,0.13144443929195404,0.3286292254924774,0.252004511654377,115.8218002319336
18,0.2514994740486145,0.13243503868579865,0.33152058720588684,0.2476985901594162,115.81395721435547
19,0.24984097480773926,0.1333269476890564,0.33444592356681824,0.2433750405907631,115.82947540283203
20,0.248261958360672,0.13417860865592957,0.3371883034706116,0.2392447628080845,115.84749603271484
21,0.24681761860847473,0.13496442139148712,0.3397359251976013,0.23549699783325195,115.86458587646484
22,0.24546414613723755,0.1356918066740036,0.3422510623931885,0.23174171894788742,115.8968505859375
23,0.24421870708465576,0.13631485402584076,0.3446350693702698,0.2282596044242382,115.93370819091797
24,0.24287167191505432,0.13709570467472076,0.34691017866134644,0.22494534775614738,115.94922637939453
25,0.24173188209533691,0.13767389953136444,0.3489961624145508,0.2219257913529873,115.9837875366211
26,0.24060165882110596,0.13830095529556274,0.35100099444389343,0.2188660241663456,116.00318145751953
27,0.2394893765449524,0.1388862282037735,0.35283419489860535,0.21614528447389603,116.01763916015625
28,0.238414004445076,0.1394636631011963,0.3546594977378845,0.21343711391091347,116.04031372070312
29,0.23741191625595093,0.140022411942482,0.35633179545402527,0.21096565946936607,116.05635070800781
30,0.23645839095115662,0.14054161310195923,0.3578830659389496,0.2086046226322651,116.06613159179688
31,0.23555344343185425,0.14103946089744568,0.3594129681587219,0.20636802911758423,116.08238220214844
32,0.2345951795578003,0.14158038794994354,0.3609025180339813,0.20417102426290512,116.08811950683594
33,0.23370397090911865,0.14206382632255554,0.3621535003185272,0.2021591141819954,116.09044647216797
34,0.23290643095970154,0.1425182819366455,0.36343446373939514,0.20030426979064941,116.09940338134766
35,0.2320852279663086,0.14297239482402802,0.36455199122428894,0.19855308532714844,116.09495544433594
36,0.23127499222755432,0.14344510436058044,0.36568698287010193,0.19678881019353867,116.09519958496094
37,0.2305346131324768,0.14385756850242615,0.3667553961277008,0.19521919637918472,116.09549713134766
38,0.22977882623672485,0.14428803324699402,0.3677588701248169,0.19357413798570633,116.093994140625
39,0.2290821671485901,0.14467903971672058,0.36868855357170105,0.19212448969483376,116.09025573730469
40,0.22841167449951172,0.14506150782108307,0.36951953172683716,0.19071077182888985,116.08394622802734
41,0.2277642786502838,0.1454523354768753,0.37039971351623535,0.18940657377243042,116.07823181152344
42,0.22722360491752625,0.14574922621250153,0.37125030159950256,0.18810142949223518,116.08908081054688
43,0.22659434378147125,0.14611265063285828,0.37200114130973816,0.18681026250123978,116.08033752441406
44,0.22606566548347473,0.14641258120536804,0.37276387214660645,0.18560810759663582,116.08301544189453
45,0.22554948925971985,0.14671149849891663,0.3734731674194336,0.1845404263585806,116.08367156982422
46,0.2250373363494873,0.147027388215065,0.37414780259132385,0.18338549882173538,116.0813217163086
47,0.2245781272649765,0.14729811251163483,0.37475353479385376,0.1823231317102909,116.08159637451172
48,0.22411370277404785,0.14755769073963165,0.37537819147109985,0.18126101046800613,116.0797348022461
49,0.22371676564216614,0.1477750539779663,0.3760186433792114,0.1802625171840191,116.08943176269531
50,0.22329813241958618,0.14802983403205872,0.3765605688095093,0.17931743524968624,116.08566284179688
51,0.22289970517158508,0.14823852479457855,0.3771718740463257,0.1783547457307577,116.09346771240234
52,0.22252340614795685,0.14847320318222046,0.37767037749290466,0.17752677761018276,116.09164428710938
53,0.2222684919834137,0.1486085206270218,0.3782205283641815,0.17667119950056076,116.10826110839844
54,0.2219202220439911,0.14879843592643738,0.37866994738578796,0.17594576813280582,116.10833740234375
55,0.2215832769870758,0.14899328351020813,0.3792356550693512,0.17510319873690605,116.11296081542969
56,0.22128376364707947,0.149164080619812,0.3797162175178528,0.17440669983625412,116.11974334716797
57,0.22104474902153015,0.14929695427417755,0.38010504841804504,0.17377629689872265,116.12580108642578
58,0.22077670693397522,0.1494332104921341,0.3805815875530243,0.17311355285346508,116.13290405273438
59,0.220498189330101,0.14957672357559204,0.3810184895992279,0.17254317365586758,116.13912963867188
60,0.204878568649292,0.15721049904823303,0.4026176631450653,0.15198581106960773,116.06525421142578
61,0.20454397797584534,0.15742067992687225,0.40284666419029236,0.15162515826523304,116.04949188232422
62,0.2041342854499817,0.15765751898288727,0.40307489037513733,0.15130868926644325,116.02618408203125
63,0.2037888765335083,0.15785980224609375,0.4031742811203003,0.15117632783949375,116.00340270996094
64,0.2033541202545166,0.1581447422504425,0.40318533778190613,0.1510378159582615,115.96170806884766
65,0.20283856987953186,0.15848127007484436,0.40315982699394226,0.1509442050009966,115.90805053710938
66,0.2023860216140747,0.158781960606575,0.4030556082725525,0.15092080645263195,115.85831451416016
67,0.20194560289382935,0.15909653902053833,0.4028892517089844,0.15093791671097279,115.80018615722656
68,0.20155653357505798,0.15936018526554108,0.4026995897293091,0.15102960541844368,115.7518310546875
69,0.20110976696014404,0.15968990325927734,0.40246179699897766,0.15106896311044693,115.69139862060547
70,0.20070767402648926,0.1599733531475067,0.4021885097026825,0.15122535079717636,115.6343002319336
71,0.20031878352165222,0.16026034951210022,0.4018763601779938,0.1513150967657566,115.5726089477539
72,0.20000481605529785,0.1605074256658554,0.4015629291534424,0.15148245356976986,115.52113342285156
73,0.19975154101848602,0.16070139408111572,0.4012273848056793,0.15164272859692574,115.47444152832031
74,0.19951312243938446,0.16091084480285645,0.4008713662624359,0.15174177940934896,115.42582702636719
75,0.19928088784217834,0.16111966967582703,0.40045422315597534,0.15193884819746017,115.37185668945312
76,0.19913668930530548,0.16128675639629364,0.40006083250045776,0.1521033337339759,115.3288803100586
77,0.19896991550922394,0.16142886877059937,0.3996628224849701,0.1523196790367365,115.28398895263672
78,0.19880636036396027,0.1615741103887558,0.3992885947227478,0.1525555858388543,115.24076843261719
79,0.19867543876171112,0.1617026925086975,0.39888808131217957,0.15279877092689276,115.19889068603516
80,0.19854044914245605,0.16184833645820618,0.3984653949737549,0.15301220398396254,115.15187072753906
81,0.19845890998840332,0.1619517058134079,0.3980674743652344,0.15334866847842932,115.11494445800781
82,0.19832739233970642,0.16207394003868103,0.3977181911468506,0.15364882815629244,115.07463073730469
83,0.1982211172580719,0.16217447817325592,0.39728009700775146,0.15396944247186184,115.03023529052734
84,0.1981201469898224,0.16228389739990234,0.39692965149879456,0.15432999841868877,114.99239349365234
85,0.19795215129852295,0.16243037581443787,0.39652666449546814,0.15466545335948467,114.94231414794922
86,0.1978032886981964,0.16253837943077087,0.396239310503006,0.15505845565348864,114.90396118164062
87,0.19774481654167175,0.1625930517911911,0.39594197273254395,0.15539299882948399,114.8761215209961
88,0.19767507910728455,0.16266213357448578,0.3956153690814972,0.155776122584939,114.84314727783203
89,0.1975274235010147,0.16279208660125732,0.3952636420726776,0.15621050540357828,114.79986572265625
90,0.19746795296669006,0.16284547746181488,0.39499080181121826,0.1565670631825924,114.77216339111328
91,0.19732880592346191,0.16293564438819885,0.39477768540382385,0.1568975578993559,114.74178314208984
92,0.19722382724285126,0.16301904618740082,0.3945317566394806,0.15723807085305452,114.70984649658203
93,0.19712379574775696,0.16308797895908356,0.39426523447036743,0.1575236227363348,114.67774200439453
94,0.19704201817512512,0.1631590723991394,0.39404189586639404,0.15776606742292643,114.65211486816406
95,0.1969049572944641,0.16325509548187256,0.3939194977283478,0.15813376940786839,114.62788391113281
96,0.1968143880367279,0.1633146107196808,0.3937323987483978,0.15833041910082102,114.60149383544922
97,0.19676172733306885,0.16335220634937286,0.3936080038547516,0.15861107222735882,114.5870132446289
98,0.1816147118806839,0.17149832844734192,0.4068695604801178,0.14616686757653952,114.06182098388672
99,0.18153336644172668,0.17157013714313507,0.4066268801689148,0.14637245796620846,114.03507995605469
100,0.1813560426235199,0.1717177927494049,0.4063340425491333,0.14662166312336922,113.99371337890625
101,0.18119749426841736,0.17183741927146912,0.4060889482498169,0.14694470819085836,113.96160888671875
102,0.18094190955162048,0.1720334142446518,0.40575528144836426,0.14727107528597116,113.9128189086914
103,0.1807122528553009,0.17219869792461395,0.40541788935661316,0.1475528795272112,113.86814880371094
104,0.18038687109947205,0.17245449125766754,0.40507155656814575,0.1477933619171381,113.80776977539062
105,0.1801070123910904,0.17264939844608307,0.40473294258117676,0.14821771997958422,113.76009368896484
106,0.17986682057380676,0.17283228039741516,0.4043548107147217,0.1485368339344859,113.71173858642578
107,0.1795612871646881,0.17308714985847473,0.4039434492588043,0.1488850051537156,113.65042877197266
108,0.17931875586509705,0.17327401041984558,0.4035953879356384,0.14908727258443832,113.60218048095703
109,0.17906415462493896,0.17347493767738342,0.4032037854194641,0.14937602542340755,113.55076599121094
110,0.17884042859077454,0.17366981506347656,0.4027542173862457,0.14974535256624222,113.49729919433594
111,0.1786077916622162,0.17388096451759338,0.40231242775917053,0.15006883163005114,113.44148254394531
112,0.17846983671188354,0.1740141361951828,0.40191587805747986,0.15026677772402763,113.3995132446289
113,0.1782572865486145,0.1741851270198822,0.4015190601348877,0.15053137484937906,113.3503646850586
114,0.17819525301456451,0.1742841750383377,0.4011129140853882,0.15076057985424995,113.31498718261719
115,0.17805147171020508,0.17442859709262848,0.400717169046402,0.15099569782614708,113.27103424072266
116,0.17797759175300598,0.17452754080295563,0.4003371596336365,0.1511336686089635,113.23646545410156
117,0.17797984182834625,0.1745530366897583,0.40003353357315063,0.15134997200220823,113.21414184570312
118,0.1778801679611206,0.1746874898672104,0.3996220529079437,0.1515281042084098,113.17166137695312
119,0.17784519493579865,0.17478077113628387,0.39923760294914246,0.15171991009265184,113.1362075805664
120,0.17782621085643768,0.17483139038085938,0.39891812205314636,0.15191403217613697,113.1103515625
121,0.17781491577625275,0.1748569756746292,0.39858293533325195,0.15214733593165874,113.08655548095703
122,0.17781907320022583,0.17491276562213898,0.3982729911804199,0.15237412229180336,113.06205749511719
123,0.17782413959503174,0.1749354749917984,0.3980460464954376,0.15245186816900969,113.04399108886719
124,0.17776376008987427,0.17499172687530518,0.3977833092212677,0.1527257924899459,113.01949310302734
125,0.177767813205719,0.1750209927558899,0.39763256907463074,0.15279021672904491,113.00593566894531
126,0.1777850091457367,0.1750294268131256,0.3973339796066284,0.15312088374048471,112.98643493652344
127,0.1777155101299286,0.17510606348514557,0.39715853333473206,0.1532322270795703,112.96287536621094
128,0.1686544418334961,0.18031051754951477,0.4022972285747528,0.14771838393062353,112.46880340576172
129,0.16865363717079163,0.18032102286815643,0.40206536650657654,0.14797134045511484,112.45339965820312
130,0.16864413022994995,0.18035782873630524,0.40185096859931946,0.14807319175451994,112.43405151367188
131,0.16859641671180725,0.18041321635246277,0.4016760289669037,0.1482720859348774,112.41621398925781
132,0.16851294040679932,0.18050706386566162,0.40140846371650696,0.14843120984733105,112.38591766357422
133,0.1684442162513733,0.18056786060333252,0.40115466713905334,0.1486112531274557,112.36009979248047
134,0.16843485832214355,0.18059271574020386,0.4009706974029541,0.14878221228718758,112.34536743164062
135,0.16843374073505402,0.1806262731552124,0.4007299244403839,0.14891149289906025,112.3255386352539
136,0.16833844780921936,0.1807115226984024,0.4004979133605957,0.14915414713323116,112.2984619140625
137,0.16827836632728577,0.18079480528831482,0.4002549350261688,0.14922866132110357,112.27171325683594
138,0.16826316714286804,0.18082678318023682,0.4000295400619507,0.14932767767459154,112.25466918945312
139,0.16819119453430176,0.18090097606182098,0.39983874559402466,0.14944632817059755,112.2327880859375
140,0.1681966483592987,0.18092714250087738,0.39963191747665405,0.14954700507223606,112.21660614013672
141,0.1681525707244873,0.18098799884319305,0.39939501881599426,0.14965466130524874,112.19510650634766
142,0.1681496500968933,0.18101269006729126,0.39920398592948914,0.14980049524456263,112.17877197265625
143,0.16810956597328186,0.18105953931808472,0.3990360498428345,0.14982611779123545,112.16019439697266
144,0.168079674243927,0.18110625445842743,0.3988201916217804,0.1500227516517043,112.14208221435547
145,0.168084055185318,0.18113809823989868,0.39862319827079773,0.15008351020514965,112.12393951416016
146,0.16803085803985596,0.18118825554847717,0.39847517013549805,0.15013581328094006,112.1104736328125
147,0.16798430681228638,0.18123742938041687,0.3982754647731781,0.15027812775224447,112.08905029296875
148,0.16800153255462646,0.1812463253736496,0.398174524307251,0.15023349784314632,112.08169555664062
149,0.16800150275230408,0.18125484883785248,0.3980776369571686,0.15037246886640787,112.07490539550781
