# T_eff(I) for the selected wavelengths, TTM tau_ep = 450 fs (columns), plus g=0 / tau 1000 fs band
I_peak_Wcm2,F_mJcm2,Teff_1244nm_tau450,Tepk_1244nm_tau450,Teff_1244nm_g0,Teff_1244nm_tau1000,Teff_1258nm_tau450,Tepk_1258nm_tau450,Teff_1258nm_g0,Teff_1258nm_tau1000,Teff_1274nm_tau450,Tepk_1274nm_tau450,Teff_1274nm_g0,Teff_1274nm_tau1000
7.0381e+08,1.3231e-01,0.41048,2731.6,0.41966,0.41506,0.02448,3455.8,0.02890,0.02674,0.00270,3509.5,0.00256,0.00263
8.2917e+08,1.5588e-01,0.41591,2927.9,0.42632,0.42115,0.02702,3700.4,0.03189,0.02951,0.00262,3758.1,0.00246,0.00254
9.7686e+08,1.8365e-01,0.42194,3134.4,0.43361,0.42791,0.02980,3956.9,0.03530,0.03253,0.00252,4018.0,0.00236,0.00244
1.1508e+09,2.1636e-01,0.42872,3349.9,0.44152,0.43529,0.03283,4225.1,0.03918,0.03588,0.00243,4288.9,0.00227,0.00234
1.3558e+09,2.5489e-01,0.43610,3574.7,0.45001,0.44325,0.03608,4504.7,0.04350,0.03978,0.00232,4570.3,0.00217,0.00224
1.5973e+09,3.0029e-01,0.44405,3808.3,0.45902,0.45177,0.03991,4797.7,0.04824,0.04414,0.00223,4858.5,0.00208,0.00215
1.8818e+09,3.5378e-01,0.45253,4050.4,0.46842,0.46082,0.04424,5103.8,0.05342,0.04891,0.00213,5152.8,0.00202,0.00205
2.2170e+09,4.1679e-01,0.46150,4300.2,0.47818,0.47024,0.04898,5421.4,0.05911,0.05405,0.00204,5452.1,0.00206,0.00196
2.6119e+09,4.9102e-01,0.47092,4556.9,0.48831,0.47994,0.05409,5749.4,0.06534,0.05968,0.00195,5754.7,0.00219,0.00196
3.0771e+09,5.7848e-01,0.48052,4825.0,0.49881,0.48997,0.05955,6088.0,0.07209,0.06589,0.00187,6059.7,0.00240,0.00209
3.6251e+09,6.8151e-01,0.49040,5102.1,0.50957,0.50033,0.06566,6455.6,0.07936,0.07263,0.00196,6380.6,0.00267,0.00230
4.2708e+09,8.0290e-01,0.50059,5385.9,0.52033,0.51101,0.07233,6847.7,0.08634,0.07989,0.00216,6712.7,0.00300,0.00258
5.0315e+09,9.4590e-01,0.51105,5674.3,0.53114,0.52178,0.07952,7261.0,0.09227,0.08765,0.00244,7051.0,0.00330,0.00292
5.9276e+09,1.1144e+00,0.52176,5964.9,0.54205,0.53241,0.08721,7693.0,0.09730,0.09405,0.00278,7391.7,0.00356,0.00330
6.9834e+09,1.3129e+00,0.53235,6270.5,0.55311,0.54311,0.09496,8148.9,0.10157,0.09908,0.00316,7731.2,0.00377,0.00360
8.2272e+09,1.5467e+00,0.54284,6595.2,0.56432,0.55393,0.10038,8682.0,0.10520,0.10325,0.00356,8071.5,0.00396,0.00382
9.6926e+09,1.8222e+00,0.55342,6931.4,0.57457,0.56489,0.10456,9285.8,0.10828,0.10673,0.00384,8498.0,0.00411,0.00401
1.1419e+10,2.1467e+00,0.56412,7275.0,0.58328,0.57598,0.10796,9959.0,0.11089,0.10965,0.00404,9003.6,0.00425,0.00416
1.3453e+10,2.5291e+00,0.57494,7622.2,0.59066,0.58566,0.11076,10704.0,0.11311,0.11211,0.00420,9581.4,0.00436,0.00429
1.5849e+10,2.9796e+00,0.58585,7969.0,0.59694,0.59310,0.11310,11524.3,0.11499,0.11418,0.00433,10231.4,0.00445,0.00440
