it,Rc_mean,Rc_min,Rc_tail25,Rc_omega,co_mean,co_max,T_mean,A_mean,theta_worst,phi_worst,binarity
9,0.2938435517051922,0.000593684846535325,0.0020306381862610578,0.3545425170045997,0.3258367988413998,0.777766227722168,0.15896179421716147,0.2213578014856293,0.0,0.0,0.7763563990592957
19,0.2936090945343797,0.0006740581011399627,0.0017052154755219818,0.3541772197207418,0.343577501408401,0.7880918979644775,0.1606477407733023,0.20216562563464754,0.0,0.0,0.7550146579742432
29,0.2940215097540723,0.0013706586323678493,0.002335913432762027,0.3543723626364441,0.3472215473829281,0.7885710597038269,0.16060810279478097,0.1981487891503743,15.0,0.0,0.7442944645881653
39,0.2977438052517495,0.0005192437674850225,0.004015602776780725,0.3584676899758974,0.33656636878315893,0.7801680564880371,0.15853905186633624,0.2071507296391896,15.0,0.0,0.7846648693084717
49,0.2978980040975979,0.011499062180519104,0.022841154783964156,0.35087811944390146,0.3467027210586128,0.7686798572540283,0.16451674411516815,0.19088247560319446,15.0,0.0,0.7681004405021667
59,0.321144832386857,0.03711371868848801,0.17051901668310165,0.311696883131972,0.2023316313556972,0.485596239566803,0.2159361754144941,0.2605873280692668,45.0,0.0,0.8880776166915894
69,0.32253074184769676,0.07569175958633423,0.1671977683901787,0.29457960848643244,0.08237433772800225,0.19470006227493286,0.35996833230767933,0.23512655248244604,45.0,90.0,0.9591692686080933
79,0.3282559276336715,0.0870688334107399,0.17786263376474382,0.305843787699361,0.08165492410106319,0.18697002530097961,0.375567322685605,0.21452178273882186,45.0,90.0,0.9626061320304871
