lam_nm,C_ED,C_MD,C_EQ,C_MQ,f_ED,f_MD,f_EQ,f_MQ,C_Qmxx,C_Qmyy,C_Qmzz,C_Qmxy,C_Qmxz,C_Qmyz
1292.5,5.01931058e-13,3.386954232e-13,9.972237872e-13,2.039891186e-13,0.2458229875,0.165877603,0.4883948236,0.09990458597,5.291591269e-14,1.102422849e-14,1.642381463e-14,9.775760502e-14,1.374278612e-15,2.449327913e-14
1294.5,4.999788994e-13,3.299937942e-13,9.549322463e-13,2.17781872e-13,0.2496540629,0.1647755367,0.4768255529,0.1087448475,4.802117616e-14,9.641434155e-15,1.539915238e-14,1.191304066e-13,1.368558758e-15,2.422114404e-14
1296.5,5.009491604e-13,3.255601583e-13,9.172269083e-13,2.422278668e-13,0.2522448225,0.163930536,0.461854729,0.1219699125,4.337255974e-14,8.342186735e-15,1.442125081e-14,1.507271645e-13,1.396646794e-15,2.396805821e-14
1298.5,5.064389861e-13,3.26135502e-13,8.835824329e-13,2.831171266e-13,0.2533114391,0.1631269622,0.4419516344,0.1416099644,3.887765892e-14,7.104237286e-15,1.34708519e-14,1.984602088e-13,1.464217073e-15,2.373995267e-14
1300.5,5.208736661e-13,3.352681493e-13,8.554948109e-13,3.546109056e-13,0.2520867699,0.1622594312,0.4140330709,0.171620728,3.437507196e-14,5.875355436e-15,1.251733005e-14,2.766265166e-13,1.617539225e-15,2.359909228e-14
1302.5,5.533608862e-13,3.591225455e-13,8.32904267e-13,4.863033813e-13,0.2479558623,0.1609194698,0.3732166492,0.2179080186,2.957546317e-14,4.581882895e-15,1.150298808e-14,4.151758149e-13,1.893713549e-15,2.357351876e-14
1304.5,6.323650295e-13,4.164280674e-13,8.179064393e-13,7.662859048e-13,0.2401703479,0.1581581352,0.3106384208,0.2910330961,2.398357615e-14,3.102398785e-15,1.031524681e-14,7.026371961e-13,2.470864965e-15,2.377662199e-14
1306.5,8.4527973e-13,5.580668188e-13,8.113412027e-13,1.44447364e-12,0.2310036753,0.1525122177,0.2217287285,0.3947553785,1.761041415e-14,1.543043091e-15,8.84256464e-15,1.388460383e-12,3.729098464e-15,2.428813691e-14
1308.5,1.401536267e-12,8.718690138e-13,7.83672851e-13,3.027536609e-12,0.2303410037,0.1432907507,0.1287958046,0.497572441,1.63191707e-14,1.85519121e-15,7.746199755e-15,2.971200384e-12,6.109093959e-15,2.430656917e-14
1310.5,1.740919476e-12,9.223005424e-13,6.277414506e-13,3.633552994e-12,0.2514139418,0.1331935325,0.09065494107,0.5247375846,3.782721663e-14,8.725651761e-15,1.054829342e-14,3.550948475e-12,5.523974557e-15,1.99793822e-14
