lam_nm,C_ED,C_MD,C_EQ,C_MQ,f_ED,f_MD,f_EQ,f_MQ,C_Qmxx,C_Qmyy,C_Qmzz,C_Qmxy,C_Qmxz,C_Qmyz
1292.5,1.940566621e-12,5.408915475e-13,7.878840395e-13,3.049133604e-13,0.5429288935,0.1513298468,0.2204330453,0.08530821442,6.330995473e-15,5.336555901e-16,3.449292684e-15,2.453790144e-13,4.88700969e-14,3.503053681e-16
1294.5,1.948317019e-12,5.080321795e-13,8.140269005e-13,3.176378584e-13,0.5430070903,0.1415914725,0.2268739504,0.08852748684,5.908466307e-15,3.335930658e-16,3.745797599e-15,2.579560648e-13,4.936614404e-14,3.277925905e-16
1296.5,1.955717348e-12,4.729700064e-13,8.370252363e-13,3.316739507e-13,0.5436494871,0.1314760037,0.2326759236,0.09219858552,5.526615777e-15,1.874921635e-16,4.083765324e-15,2.717579632e-13,4.980907729e-14,3.090369824e-16
1298.5,1.962396438e-12,4.352498449e-13,8.554517901e-13,3.473551928e-13,0.545041497,0.1208875141,0.2375955823,0.09647540663,5.175553113e-15,9.455053283e-17,4.475244891e-15,2.871615574e-13,5.015254229e-14,2.957446374e-16
1300.5,1.96813704e-12,3.959459643e-13,8.687873619e-13,3.64645264e-13,0.5470822763,0.1100609434,0.2414964801,0.1013603001,4.857202045e-15,6.073377685e-17,4.92201355e-15,3.041275331e-13,5.038989274e-14,2.878888202e-16
1302.5,1.973260254e-12,3.542572885e-13,8.745302668e-13,3.844980688e-13,0.5501840269,0.09877394589,0.243836353,0.1072056742,4.580385874e-15,9.024966353e-17,5.453816671e-15,3.234975824e-13,5.05890447e-14,2.869894778e-16
1304.5,1.97694423e-12,3.132752048e-13,8.724630716e-13,4.065585871e-13,0.5538836347,0.08777081644,0.2444393777,0.1139061712,4.332623447e-15,1.893861777e-16,6.063064016e-15,3.450126158e-13,5.066672113e-14,2.941765566e-16
1306.5,1.981302672e-12,2.727329353e-13,8.593656611e-13,4.325124919e-13,0.5587565874,0.0769147119,0.2423537963,0.1219749044,4.133147975e-15,3.683927221e-16,6.802289163e-15,3.702218161e-13,5.067590513e-14,3.109408707e-16
1308.5,1.985567616e-12,2.363320455e-13,8.329302724e-13,4.629039101e-13,0.5644450956,0.06718303771,0.2367803562,0.1315915105,3.986331506e-15,6.370780625e-16,7.699220178e-15,3.996318272e-13,5.060971481e-14,3.397383626e-16
1310.5,1.991224711e-12,2.08556447e-13,7.898214066e-13,4.998299278e-13,0.5706442853,0.05976801313,0.2263466648,0.1432410367,3.908043515e-15,1.0137895e-15,8.824451137e-15,4.352573249e-13,5.044058159e-14,3.857371932e-16
