lam_nm,C_ED,C_MD,C_EQ,C_MQ,f_ED,f_MD,f_EQ,f_MQ,C_Qmxx,C_Qmyy,C_Qmzz,C_Qmxy,C_Qmxz,C_Qmyz
1292.5,1.257421983e-12,3.610846037e-13,8.666915193e-14,6.039759654e-14,0.7121890425,0.2045140785,0.0490883897,0.03420848929,1.675345917e-16,6.07407741e-16,1.446965413e-16,2.884486441e-17,7.27728624e-17,5.937633994e-14
1294.5,1.276000988e-12,3.644720881e-13,8.599816455e-14,6.814775666e-14,0.7110149787,0.2030916248,0.04792001236,0.03797338418,1.473116228e-16,5.458869972e-16,1.334430518e-16,3.641687681e-17,6.279437384e-17,6.722190373e-14
1296.5,1.295677942e-12,3.684241584e-13,8.557503575e-14,7.688087628e-14,0.709354936,0.2017040553,0.04685043407,0.0420905746,1.328390861e-16,4.963472187e-16,1.227487865e-16,4.843642022e-17,5.427563316e-17,7.602622913e-14
1298.5,1.31701313e-12,3.729680033e-13,8.524081828e-14,8.690152553e-14,0.707264124,0.200291768,0.0457761364,0.0466679716,1.216019078e-16,4.588822989e-16,1.148630609e-16,6.329497341e-17,4.6286293e-17,8.6096597e-14
1300.5,1.340763487e-12,3.768646393e-13,8.49271893e-14,9.84579032e-14,0.7052888816,0.1982440919,0.04467469687,0.0517923296,1.0838163e-16,4.185346123e-16,1.074506535e-16,8.062897444e-17,3.790539929e-17,9.770500193e-14
1302.5,1.366129807e-12,3.823982226e-13,8.490837697e-14,1.115901695e-13,0.7023707665,0.1966030836,0.04365409605,0.05737205388,9.785281749e-17,3.840548681e-16,1.005755703e-16,1.008962771e-16,3.11139478e-17,1.108756761e-13
1304.5,1.393642688e-12,3.863038542e-13,8.488153864e-14,1.268264824e-13,0.6997411669,0.1939612729,0.04261860475,0.06367895555,9.13551423e-17,3.608812189e-16,9.516756776e-17,1.226430022e-16,2.436943241e-17,1.261320661e-13
1306.5,1.424350755e-12,3.920629266e-13,8.516199248e-14,1.449100577e-13,0.6959983805,0.1915786269,0.04161377289,0.07080921962,8.498880583e-17,3.378525309e-16,8.995378939e-17,1.458807186e-16,1.865438494e-17,1.442327274e-13
1308.5,1.458488744e-12,3.970060407e-13,8.559085559e-14,1.660593773e-13,0.69216344,0.1884094533,0.04061934745,0.07880775926,7.587083055e-17,3.111720678e-16,8.542527624e-17,1.719634954e-16,1.259507476e-17,1.654023505e-13
1310.5,1.494750471e-12,4.014405764e-13,8.615851832e-14,1.906876834e-13,0.6878623325,0.1847370893,0.0396488916,0.08775168652,6.96256178e-17,2.924393325e-16,8.216984962e-17,1.982114489e-16,7.599890748e-18,1.900376373e-13
1312.5,1.53404778e-12,4.066830935e-13,8.70162246e-14,2.200361027e-13,0.6824714142,0.1809262982,0.03871201839,0.09789026924,6.329913e-17,2.731634157e-16,7.876844956e-17,2.265809468e-16,3.93614378e-18,2.193903546e-13
1314.5,1.575093537e-12,4.123619404e-13,8.812231457e-14,2.541422273e-13,0.6760870508,0.1770006426,0.03782528108,0.1090870256,5.829028873e-17,2.573282859e-16,7.571744479e-17,2.546805222e-16,2.032691497e-18,2.534941781e-13
1316.5,1.616443929e-12,4.193747961e-13,8.97249803e-14,2.936848562e-13,0.6681650319,0.1733506303,0.03708826099,0.1213960768,5.336213965e-17,2.388714238e-16,7.146020278e-17,2.8494143e-16,2.139225844e-18,2.930340818e-13
1318.5,1.660494763e-12,4.239164316e-13,9.13261627e-14,3.41396237e-13,0.659676851,0.168412369,0.03628180995,0.1356289701,4.78443558e-17,2.217255578e-16,6.838650124e-17,3.159705048e-16,4.496577294e-18,3.407378135e-13
1320.5,1.706227418e-12,4.28587078e-13,9.334113955e-14,3.991933439e-13,0.649410273,0.1631252953,0.03552673828,0.1519376935,4.205022639e-17,2.080486327e-16,6.727192779e-17,3.464326288e-16,9.701585008e-18,3.985198389e-13
1322.5,1.74800053e-12,4.335965952e-13,9.569606583e-14,4.666219998e-13,0.6370461215,0.1580211359,0.03487573747,0.1700570052,3.787489921e-17,1.964297184e-16,6.556272665e-17,3.77776998e-16,1.960989134e-17,4.659247456e-13
1324.5,1.783173069e-12,4.375331211e-13,9.826416001e-14,5.459820301e-13,0.6224093222,0.1527191601,0.03429870621,0.1905728116,3.431041235e-17,1.848004215e-16,6.331710579e-17,4.064879876e-16,3.567044241e-17,5.452574438e-13
1326.5,1.807199366e-12,4.407517868e-13,1.009650594e-13,6.373990105e-13,0.6051602832,0.14759051,0.0338092438,0.213439963,3.078795613e-17,1.762575245e-16,6.245868406e-17,4.347800003e-16,5.845721118e-17,6.366362692e-13
1328.5,1.810809205e-12,4.411599314e-13,1.033016156e-13,7.399583971e-13,0.5850323571,0.1425290052,0.03337446459,0.2390641731,2.70699555e-17,1.684395739e-16,6.22176202e-17,4.596572619e-16,9.243634221e-17,7.391485763e-13
