lam_nm,C_ED,C_MD,C_EQ,C_MQ,f_ED,f_MD,f_EQ,f_MQ,C_Qmxx,C_Qmyy,C_Qmzz,C_Qmxy,C_Qmxz,C_Qmyz
1332.5,7.283598563e-13,7.664481748e-14,6.777059808e-13,6.136240395e-16,0.491032114,0.05167097888,0.4568832254,0.0004136816529,1.324788775e-16,5.115548429e-18,9.255398284e-17,1.483321274e-17,2.171374234e-16,1.515049946e-16
1292.5,9.941035381e-13,7.487458778e-13,9.253962341e-13,1.97923292e-15,0.3722920659,0.2804055503,0.3465611605,0.0007412233077,3.169863728e-16,7.264342164e-17,1.070034884e-16,7.570062989e-17,4.709640438e-16,9.359349634e-16
1294.5,9.917893254e-13,6.341193062e-13,9.175351674e-13,1.862730181e-15,0.3896541788,0.2491327858,0.3604812061,0.0007318294122,3.079032319e-16,6.542817591e-17,1.074261542e-16,6.649340847e-17,4.709674863e-16,8.445117245e-16
1296.5,9.853264463e-13,5.417082468e-13,9.07450098e-13,1.750702993e-15,0.4044463061,0.222354632,0.372480452,0.00071860992,2.977371742e-16,5.893839318e-17,1.074680055e-16,5.911892239e-17,4.642484915e-16,7.631920067e-16
1298.5,9.762044168e-13,4.662110808e-13,8.96367278e-13,1.647168942e-15,0.4171047371,0.1991989044,0.3829925694,0.0007037890392,2.873312383e-16,5.29570722e-17,1.073363489e-16,5.259060356e-17,4.553453134e-16,6.916083656e-16
1300.5,9.635077481e-13,4.037342662e-13,8.839221854e-13,1.543813173e-15,0.4277108896,0.1792217473,0.3923820488,0.00068531437,2.770039413e-16,4.776559329e-17,1.069767006e-16,4.714708615e-17,4.416665098e-16,6.232533417e-16
1302.5,9.503986983e-13,3.53984283e-13,8.708430862e-13,1.452656623e-15,0.4366279175,0.1626258754,0.4000788341,0.0006673730059,2.661545098e-16,4.281242854e-17,1.064986685e-16,4.261143777e-17,4.267841089e-16,5.677954694e-16
1304.5,9.345802764e-13,3.104059749e-13,8.566996646e-13,1.362256353e-15,0.4443931854,0.1475981288,0.4073609325,0.0006477532805,2.556819245e-16,3.846262515e-17,1.057822198e-16,3.847281135e-17,4.119586366e-16,5.118981352e-16
1306.5,9.192914574e-13,2.74488272e-13,8.432501179e-13,1.282017614e-15,0.4510062828,0.1346645117,0.413700245,0.0006289604825,2.448517034e-16,3.429805539e-17,1.051054673e-16,3.52223715e-17,3.959548512e-16,4.665851652e-16
1308.5,9.033027262e-13,2.442934881e-13,8.29118957e-13,1.20499445e-15,0.4566932184,0.1235102874,0.4191872712,0.0006092229965,2.341650662e-16,3.042738199e-17,1.043241386e-16,3.205854178e-17,3.794439272e-16,4.245753944e-16
