lam_nm,t_sc_re,t_sc_im,r_sc_re,r_sc_im,E_up_abs,E_dn_abs,even_meas_abs,odd_meas_abs,even_px_abs,odd_m_abs,odd_Q_abs,odd_pred_abs,even_resid_rel,odd_resid_rel,my_over_Qxz_abs,my_Qxz_phase_deg,g_abs,g_arg_deg,net_odd_over_parts
1272.0,-0.6681638956069946,-0.5106366574764252,-0.6482163071632385,-0.463744580745697,1.1128505030030942,0.9813569075296098,1.043242317325932,0.11132959326063704,0.8994412915102413,0.6439466672574778,0.6440778361135993,0.09616315481201655,0.1469337316393712,0.3404967405453109,0.9997963462662947,-171.43670132300426,1.3233292595659818,-26.800815646541675,0.07465941413407425
1274.0,-0.6425969302654266,-0.512687623500824,-0.6770941019058228,-0.4541782736778259,1.1001790458117358,1.0043526610182418,1.0455987326899325,0.12760247045425815,0.9012702867132916,0.6370050142816872,0.6679100065921776,0.10038219548410861,0.1466511247074901,0.33962231442340807,0.953728807765324,-171.60321014681674,1.338322840989963,-26.629185475141863,0.07692623188357928
1276.0,-0.6170932054519653,-0.5165404677391052,-0.7062516510486603,-0.4426880180835724,1.0899978766021199,1.0272213282458484,1.0481796424435097,0.15152211477914357,0.9032611459811264,0.6291026502796141,0.6914912738090147,0.11353874372950518,0.14639409018285499,0.32178308558102126,0.9097767016122436,-171.75228609977233,1.3544599560535764,-26.522812809410166,0.08597551575732168
1278.0,-0.591654360294342,-0.5222187340259552,-0.7353632748126984,-0.4291965663433075,1.0824835872795973,1.0497973409602785,1.0508956766429338,0.18039086374226143,0.9052892600211542,0.6203102588748013,0.7148045693455072,0.1334442992901147,0.14620128388825018,0.3001373270393734,0.8678039921356026,-171.8857179097825,1.3716977428354225,-26.500181104711842,0.0999496795852341
1280.0,-0.5665728002786636,-0.5296113193035126,-0.7641400396823883,-0.41369277238845825,1.077636993141428,1.0718199600279619,1.0535627775148815,0.2122621767667243,0.907196823320885,0.6106965490936962,0.737690079609829,0.15774637984984538,0.14608033562123152,0.2801111786379373,0.8278497515063495,-172.0054847212621,1.3894958156657968,-26.561442949646125,0.1169889826047286
1282.0,-0.5414429754018784,-0.5392037630081177,-0.7930059731006622,-0.39575865864753723,1.0758334627708885,1.093646553237416,1.0563027993721297,0.24691012039088728,0.90907373482211,0.5997559957379429,0.7603676710344427,0.18561052502656508,0.14602753200746219,0.26238982414050643,0.7887710361515035,-172.10040149836877,1.4079115344174211,-26.7285621583108,0.13646591818156098
1284.0,-0.5169073343276978,-0.5505228340625763,-0.8212917149066925,-0.3755813241004944,1.0771587888921528,1.1148965177611478,1.0590279632782327,0.28300604922250316,0.9108231533550459,0.5874555648836255,0.7821729055834312,0.21558027144385336,0.1461077513248275,0.24721130150021967,0.751055886352182,-172.1736624364687,1.4263956514658296,-26.99487906444666,0.15740054773418838
1286.0,-0.492816224694252,-0.5640798807144165,-0.849136620759964,-0.3529872000217438,1.0818827223756684,1.1356713794773232,1.0617361453410996,0.32066526354702063,0.9124306380928859,0.5735374747946506,0.8032794594391405,0.24750175759453152,0.14628620911932208,0.23404917387167848,0.7139949466591632,-172.22266695792268,1.4443680586397665,-27.36903995011711,0.17976373724097758
1288.0,-0.4693077355623245,-0.5796891450881958,-0.8763903677463531,-0.3278708755970001,1.0899012094625533,1.1560092076497999,1.0643311643566904,0.3596110952941513,0.9138253493289467,0.5580969669118582,0.8237156170246944,0.28098221819376223,0.14658804833501654,0.2226409825521645,0.6775359788949186,-172.25018263086758,1.4612912997164258,-27.84946887831703,0.203343218508903
1290.0,-0.4464285895228386,-0.5977016687393188,-0.9026784002780914,-0.2998274862766266,1.1016433903516656,1.1755108498387334,1.0666743315253937,0.39990977640200426,0.9148609396654702,0.5402674743127425,0.8428656486286319,0.3161078820021262,0.14702602440329157,0.212324062727473,0.6409888399079665,-172.23150455458858,1.4766942704942958,-28.43462086092214,0.22854479931034433
1292.0,-0.424706868827343,-0.6178061664104462,-0.9274831116199493,-0.26942646503448486,1.1169178049238528,1.1940350902496386,1.0687831784824433,0.44081187284901435,0.915509776122498,0.520525400816951,0.8606163673863304,0.3521380366975532,0.1476424708579403,0.20313313638302924,0.604828609520608,-172.17652098428294,1.4898060252785899,-29.097213086144706,0.25496154327129456
1294.0,-0.4042126350104809,-0.6402179300785065,-0.9510679543018341,-0.23610267043113708,1.1359365016187553,1.2118334703124907,1.0706776024381284,0.48279966795460494,0.915817763689473,0.4979956494723466,0.8766757498555802,0.38954035643149143,0.1484322126240185,0.19458708073832048,0.5680499883273654,-172.0731663859195,1.5002914694613874,-29.82413845812128,0.28336979777271626
1296.0,-0.3849722109735012,-0.6650954782962799,-0.972880631685257,-0.19985444843769073,1.158749907459616,1.228614603660458,1.072206499016713,0.5258049254704917,0.9155946253847909,0.47234992454851094,0.8906988239053734,0.42826813669339653,0.14943147030691686,0.1865425437933634,0.5303138523046852,-171.89841916499063,1.5078540852670619,-30.604656208905396,0.3141986940519802
1298.0,-0.3673645965754986,-0.6923905611038208,-0.9924786388874054,-0.16062922775745392,1.185285561256277,1.2440459831252577,1.0732043752893925,0.5696564787536894,0.9146759478572205,0.4430181037238857,0.9020547073304809,0.46825101419544973,0.15068285558315114,0.17878720839169887,0.4911211039904031,-171.61459332828704,1.5122062219035606,-31.40621700841683,0.3481231724759943
1300.0,-0.3518812663387507,-0.721979945898056,-1.0094586908817291,-0.11860833317041397,1.215402797058079,1.2580018396302426,1.0736847734854247,0.6140743448397684,0.9130396040268545,0.40959553287390665,0.910180513600543,0.5092993380307526,0.15222393881849586,0.1712057196443036,0.4500157130958624,-171.18823615160676,1.5132649336692738,-32.205222659581494,0.38589830402760866
1302.0,-0.33848903980106115,-0.7541126310825348,-1.0237498581409454,-0.07327480614185333,1.2492980009007442,1.2707022226974514,1.0735865730298848,0.6596413321808812,0.9106052514320326,0.37092005712399384,0.914569101311039,0.5520029368893751,0.1540694834796955,0.1636132391358985,0.4055681047963224,-170.57797117176543,1.5113770640854922,-32.98944073794776,0.4294108069813587
1304.0,-0.32775706611573696,-0.7887077778577805,-1.0343331396579742,-0.02521711401641369,1.2868479525147862,1.281323998477376,1.0727550465745068,0.7057485607719663,0.9071673518015846,0.32653303153667457,0.9141833473796794,0.5959406796609963,0.15630969130295616,0.155921523676654,0.3571854950898144,-169.59776492353922,1.5066735216350928,-33.732075623048146,0.4803198295661196
1306.0,-0.32005807757377625,-0.8257656991481781,-1.0409481823444366,0.026059575378894806,1.327684320767983,1.2896687850702704,1.0707385383477728,0.7526716401564225,0.9022771203455868,0.2744667771839911,0.9074454564402828,0.6415942435755687,0.15901580131171306,0.14782901236466756,0.30246090851638224,-167.9470665119962,1.499154785623266,-34.418612071526915,0.5428442360801634
1308.0,-0.31578224152326584,-0.8651890233159065,-1.0428345501422882,0.08007480949163437,1.3719090951871395,1.295530148877162,1.0676445003293071,0.8002510149759403,0.8959535681762042,0.21363351691176802,0.8930013722141498,0.6890270012914117,0.1622710897861089,0.13917709726132643,0.2392308943289471,-164.87488384778487,1.4895605471654323,-35.038872276848224,0.6226326388784323
1310.0,-0.31550296023488045,-0.9066978069022298,-1.0393734276294708,0.13678906857967377,1.4191493559853057,1.2986133646397002,1.063222466042827,0.8483800860516381,0.8878796130544142,0.1431851145027128,0.8689440578538421,0.738379817350632,0.16619028386292795,0.12980127535982453,0.16478058996842437,-157.78028319090973,1.4782460687333805,-35.582516904385024,0.7295312075942358
1312.0,-0.31987151876091957,-0.9503686390817165,-1.029342919588089,0.19637154042720795,1.4696315218564904,1.298142490346228,1.057122315680276,0.897211110792235,0.8776456699301663,0.06864641642560806,0.8321554972933256,0.7902643633654226,0.17092506713551053,0.1193052481734463,0.08249229458783586,-129.50393004209673,1.4655932653174157,-36.050112306570114,0.8772898362336287
1314.0,-0.32964206486940384,-0.9965878129005432,-1.011497050523758,0.25886499881744385,1.523593724658923,1.2932762358905585,1.04874355544077,0.9471470767473777,0.8644054558774007,0.08465546418418989,0.7775104395725533,0.8457991197053151,0.17685242175654153,0.10708066095495021,0.10888016401520005,-38.03350775134512,1.4514688125937452,-36.43552058440721,0.9810166651451738
1316.0,-0.3459165617823601,-1.044845849275589,-0.9840995371341705,0.3241017162799835,1.5809012821376325,1.2831524302281123,1.0376073259010836,0.9981159996557327,0.8475640993223608,0.2114069167173036,0.6992445589266086,0.9057467199001514,0.18425888172713722,0.09259633683454192,0.30233616267508556,-14.101306623434452,1.4363753289653036,-36.739199792905865,0.9946140143897613
1318.0,-0.37031542090699077,-1.0954866707324982,-0.9442432224750519,0.39213329553604126,1.642274748780965,1.2658240276228825,1.0225465310137591,1.0507554432917425,0.8256200938286078,0.3886608404354394,0.5858916965042412,0.9723900002268732,0.1938651305549548,0.07461463791929468,0.6633663572199575,-7.796901170131299,1.4201808219171228,-36.950904677113755,0.9977809952456762
1320.0,-0.4054664857685566,-1.1483568251132965,-0.8875801861286163,0.4629400074481964,1.708272195265082,1.238699462166936,1.0019266170035277,1.1056347405377989,0.7964319875206171,0.6302983051921648,0.4195660831444224,1.0488631425118113,0.20686105934338317,0.05136435920435419,1.5022622907657779,-5.1090677043020545,1.4027102783757697,-37.062822776240466,0.9990463093749067
1322.0,-0.45670973509550095,-1.2037937641143799,-0.8045581877231598,0.5362884998321533,1.7809920389729517,1.1954968796010095,0.9722844112473298,1.1641459271310555,0.7559166383046304,0.9783308528528957,0.16384498524996635,1.141739701097747,0.22559101995546238,0.019247707038276666,5.971075961588495,-4.517801886463186,1.383275194744791,-37.049527782250514,0.9996181524853132
1324.0,-0.5347078144550323,-1.2603818476200104,-0.6767517924308777,0.6083533763885498,1.8632092280899744,1.1241120117905439,0.9274915366937845,1.227740880930139,0.6975412773694893,1.5179210982628784,0.2549379156039431,1.263010619948361,0.2550936936670296,0.028757133116453778,5.954081387489782,179.2332199553694,1.360886223778749,-36.846847855593744,0.7124145857450791
1326.0,-0.6665314733982086,-1.308965265750885,-0.45801183581352234,0.6583347320556641,1.9576207687439389,0.9911026920019987,0.8542378631582385,1.295206347769519,0.6128680028108616,2.4563686324067704,1.0191635435161503,1.437477305459285,0.3082141083343846,0.1099177643846207,2.410181023481483,178.98699453165648,1.3327160719003441,-36.26835247834025,0.4135991936479672
1326.0,-0.6665314733982086,-1.308965265750885,-0.45801183581352234,0.6583347320556641,1.9576207687439389,0.9911026920019987,0.8542378631582385,1.295206347769519,0.6128680028108616,2.4563686324067704,1.0191635435161503,1.437477305459285,0.3082141083343846,0.1099177643846207,2.410181023481483,178.98699453165648,1.3327160719003441,-36.26835247834025,0.4135991936479672
1326.25,-0.6893075108528137,-1.3125956058502197,-0.42015454173088074,0.6595287322998047,1.970049642424921,0.9670751047456942,0.8424275842562364,1.3032577224796824,0.6012025353244453,2.6203624673798482,1.1558701649985492,1.4647895979365768,0.31756336551122344,0.12402467166554568,2.267004155594878,179.02844494518388,1.3287956014540647,-36.15314348073407,0.3878970764081352
1326.5,-0.7149589359760284,-1.3149347603321075,-0.37773677706718445,0.6577436327934265,1.9822925982131867,0.9386516712284865,0.8294981177237152,1.3104229565709775,0.5894604239845984,2.804858905788711,1.3112781594046476,1.4938956812594641,0.3280893287943668,0.1400962105788734,2.139026632657548,179.08359603467022,1.3244100051693162,-36.009800742940406,0.36293633025295946
1326.75,-0.7420846521854401,-1.316071331501007,-0.3324708640575409,0.6539002060890198,1.9942458854084089,0.9090191232353118,0.8158789987324871,1.317576437389955,0.5781395795318407,3.006894165663417,1.4820250472520857,1.52523575200982,0.33965492876719877,0.15770843072550902,2.0289091410692994,179.09235954039636,1.3199306383965712,-35.856120082461636,0.33977794646457815
1327.0,-0.7710843086242676,-1.3151547014713287,-0.2845427393913269,0.6457154154777527,2.0053966912366654,0.8760078263721638,0.8023873633092264,1.323131633567043,0.5687597714261385,3.2202552522377546,1.664073343709273,1.5565785694628396,0.3515837494722305,0.1765477177954926,1.9351642548757508,179.1302829411737,1.3154164683349339,-35.680955285880295,0.31868833942795627
1327.25,-0.8038131296634674,-1.3112509548664093,-0.23065471649169922,0.6319838762283325,2.0156320919903696,0.8375267933639049,0.7880563863425964,1.3270565405726307,0.5612205404996595,3.463891684495545,1.873997608757575,1.5903144699058176,0.3649531780438676,0.1985019732943024,1.8483970674818735,179.17772737325456,1.3105400050836329,-35.46964238118259,0.29792945910585145
1327.5,-0.8391238749027252,-1.3045949935913086,-0.17279992997646332,0.6132224798202515,2.0251760255852074,0.7966456368614343,0.7738969280613817,1.3300656552985965,0.5569124346187205,3.7266693117598133,2.10166909993651,1.6254780595326972,0.37880228021008977,0.22225088823456132,1.7731950818862938,179.19313289362697,1.3055881931334377,-35.239298914661454,0.2788921892851458
