lambda_nm,R,T,A_closure_residual,R_3000fs_window,T_3000fs_window
1200.00,0.142313,0.857359,0.000328,0.140994,0.852796
1202.00,0.137598,0.861383,0.001019,0.138834,0.860324
1204.00,0.133744,0.865157,0.001099,0.135039,0.869059
1206.00,0.129391,0.870482,0.000128,0.129250,0.873080
1208.00,0.125139,0.873084,0.001777,0.123857,0.872983
1210.00,0.121417,0.878881,-0.000298,0.120462,0.874091
1212.00,0.116997,0.881489,0.001514,0.118064,0.879606
1214.00,0.113761,0.885753,0.000486,0.114762,0.887498
1216.00,0.109642,0.890187,0.000170,0.110057,0.893534
1218.00,0.105816,0.892655,0.001529,0.104926,0.896032
1220.00,0.101308,0.898819,-0.000127,0.100030,0.897307
1222.00,0.094413,0.904983,0.000604,0.094460,0.901396
1224.00,0.085728,0.913124,0.001147,0.086368,0.910812
1226.00,0.073937,0.926059,0.000004,0.074803,0.924843
1228.00,0.060246,0.939157,0.000596,0.060824,0.940406
1230.00,0.047099,0.952016,0.000885,0.046685,0.954447
1232.00,0.034932,0.964775,0.000293,0.034259,0.965681
1234.00,0.024636,0.974779,0.000585,0.024307,0.974504
1236.00,0.016854,0.982461,0.000685,0.016746,0.981772
1238.00,0.011082,0.988601,0.000316,0.011238,0.987838
1240.00,0.007204,0.992306,0.000490,0.007543,0.992390
1242.00,0.005399,0.994035,0.000566,0.005620,0.994838
1244.00,0.005950,0.993852,0.000198,0.005942,0.994346
1246.00,0.011636,0.988067,0.000296,0.011451,0.988021
1248.00,0.036471,0.962914,0.000615,0.036000,0.962370
1250.00,0.132133,0.867748,0.000119,0.130844,0.866514
1252.00,0.373288,0.627317,-0.000604,0.370671,0.625929
1254.00,0.617619,0.382565,-0.000184,0.614360,0.382259
1256.00,0.707345,0.291681,0.000974,0.704911,0.292851
1258.00,0.728089,0.270728,0.001183,0.727063,0.272502
1260.00,0.741844,0.258046,0.000110,0.741728,0.259764
1262.00,0.761000,0.239762,-0.000762,0.761561,0.241552
1264.00,0.784043,0.216247,-0.000290,0.786025,0.218093
1266.00,0.808583,0.190573,0.000845,0.812566,0.191775
1268.00,0.833928,0.164889,0.001183,0.839000,0.164764
1270.00,0.859726,0.139953,0.000321,0.863886,0.138628
1272.00,0.884629,0.116107,-0.000736,0.886444,0.114358
1274.00,0.906847,0.093984,-0.000831,0.906390,0.092495
1276.00,0.925564,0.074306,0.000131,0.923765,0.073249
1278.00,0.941393,0.057382,0.001225,0.938784,0.056616
1280.00,0.955522,0.043016,0.001462,0.951721,0.042471
1282.00,0.968542,0.030837,0.000621,0.962844,0.030638
1284.00,0.980016,0.020648,-0.000664,0.972349,0.020939
1286.00,0.989004,0.012489,-0.001493,0.980382,0.013222
1288.00,0.994819,0.006481,-0.001300,0.987005,0.007377
1290.00,0.997495,0.002649,-0.000144,0.992246,0.003332
1292.00,0.997681,0.000892,0.001427,0.996084,0.001068
1294.00,0.996225,0.001069,0.002706,0.998486,0.000616
1296.00,0.993701,0.003153,0.003146,0.999393,0.002086
1298.00,0.990131,0.007395,0.002474,0.998710,0.005737
1300.00,0.984782,0.014574,0.000643,0.996241,0.012171
1302.00,0.975600,0.026790,-0.002390,0.991345,0.023009
1304.00,0.955920,0.051387,-0.007307,0.981142,0.044081
1306.00,0.880128,0.138959,-0.019087,0.937889,0.115819
1308.00,0.462236,0.513834,0.023930,0.365421,0.403859
1310.00,0.987057,0.001746,0.011197,0.932973,0.006396
1312.00,0.981025,0.014637,0.004338,0.947435,0.019459
1314.00,0.968049,0.030439,0.001512,0.942631,0.034382
1316.00,0.954332,0.045614,0.000054,0.933518,0.048835
1318.00,0.940178,0.060559,-0.000737,0.922485,0.063241
1320.00,0.925602,0.075554,-0.001156,0.910256,0.077858
1322.00,0.910626,0.090727,-0.001353,0.897162,0.092795
1324.00,0.895294,0.106120,-0.001414,0.883406,0.108081
1326.00,0.879661,0.121733,-0.001395,0.869140,0.123701
1328.00,0.863781,0.137540,-0.001322,0.854489,0.139616
1330.00,0.847712,0.153501,-0.001213,0.839565,0.155770
1332.00,0.831506,0.169566,-0.001072,0.824470,0.172098
1334.00,0.815223,0.185679,-0.000901,0.809305,0.188525
1336.00,0.798908,0.201787,-0.000694,0.794144,0.204971
1338.00,0.782616,0.217831,-0.000447,0.779066,0.221350
1340.00,0.766393,0.233764,-0.000157,0.764122,0.237571
1342.00,0.750292,0.249537,0.000171,0.749355,0.253542
1344.00,0.734367,0.265112,0.000521,0.734789,0.269172
1346.00,0.718678,0.280458,0.000864,0.720425,0.284373
1348.00,0.703297,0.295549,0.001155,0.706250,0.299068
1350.00,0.688304,0.310360,0.001336,0.692235,0.313197
1352.00,0.673792,0.324862,0.001346,0.678354,0.326725
1354.00,0.659853,0.339005,0.001142,0.664576,0.339647
1356.00,0.646567,0.352718,0.000715,0.650898,0.351995
1358.00,0.633975,0.365901,0.000124,0.637348,0.363842
1360.00,0.622072,0.378432,-0.000504,0.624006,0.375285
1362.00,0.610788,0.390196,-0.000983,0.611008,0.386438
1364.00,0.600000,0.401121,-0.001122,0.598544,0.397406
1366.00,0.589591,0.411221,-0.000812,0.586845,0.408248
1368.00,0.579514,0.420611,-0.000125,0.576156,0.418950
1370.00,0.569854,0.429472,0.000674,0.566687,0.429391
1372.00,0.560852,0.437961,0.001187,0.558569,0.439332
1374.00,0.552830,0.446082,0.001089,0.551809,0.448438
1376.00,0.546041,0.453598,0.000361,0.546273,0.456322
1378.00,0.540514,0.460079,-0.000593,0.541708,0.462618
1380.00,0.536034,0.465096,-0.001130,0.537824,0.467079
1382.00,0.532316,0.468467,-0.000782,0.534407,0.469622
1384.00,0.529405,0.470340,0.000255,0.531500,0.470345
1386.00,0.527964,0.470874,0.001162,0.529565,0.469386
1388.00,0.529296,0.469622,0.001081,0.529672,0.466652
1390.00,0.535013,0.464977,0.000011,0.533623,0.461403
1392.00,0.545875,0.455103,-0.000978,0.543120,0.452664
1394.00,0.548018,0.452623,-0.000641,0.545531,0.452634
1396.00,0.465587,0.533862,0.000551,0.464243,0.535457
1398.00,0.420252,0.578388,0.001361,0.420788,0.581922
1400.00,0.429579,0.569556,0.000865,0.432254,0.572870
