lambda_nm,R,T,A_closure_residual
1200.00,0.141995,0.857092,0.000912
1202.00,0.137812,0.861315,0.000873
1204.00,0.133603,0.865570,0.000827
1206.00,0.129406,0.869823,0.000772
1208.00,0.125260,0.874010,0.000730
1210.00,0.121211,0.878077,0.000712
1212.00,0.117291,0.881987,0.000722
1214.00,0.113504,0.885765,0.000731
1216.00,0.109772,0.889521,0.000706
1218.00,0.105840,0.893544,0.000616
1220.00,0.101115,0.898347,0.000538
1222.00,0.094663,0.904742,0.000595
1224.00,0.085613,0.913797,0.000590
1226.00,0.073843,0.925607,0.000550
1228.00,0.060432,0.939034,0.000535
1230.00,0.047003,0.952423,0.000574
1232.00,0.034873,0.964547,0.000579
1234.00,0.024750,0.974707,0.000543
1236.00,0.016820,0.982655,0.000525
1238.00,0.011023,0.988472,0.000505
1240.00,0.007256,0.992289,0.000454
1242.00,0.005417,0.994172,0.000411
1244.00,0.005891,0.993729,0.000380
1246.00,0.011651,0.988033,0.000316
1248.00,0.036614,0.963095,0.000291
1250.00,0.132142,0.867597,0.000262
1252.00,0.372835,0.626925,0.000240
1254.00,0.617099,0.382640,0.000261
1256.00,0.707462,0.292276,0.000262
1258.00,0.728860,0.270912,0.000228
1260.00,0.742126,0.257623,0.000251
1262.00,0.760426,0.239392,0.000182
1264.00,0.783279,0.216469,0.000253
1266.00,0.808837,0.191018,0.000145
1268.00,0.834822,0.164928,0.000250
1270.00,0.860239,0.139613,0.000148
1272.00,0.884010,0.115789,0.000201
1274.00,0.905693,0.094091,0.000216
1276.00,0.925241,0.074636,0.000123
1278.00,0.942174,0.057581,0.000246
1280.00,0.956885,0.042939,0.000176
1282.00,0.969307,0.030569,0.000124
1284.00,0.979265,0.020471,0.000264
1286.00,0.987286,0.012529,0.000185
1288.00,0.993287,0.006624,0.000089
1290.00,0.997013,0.002745,0.000243
1292.00,0.998875,0.000838,0.000287
1294.00,0.999010,0.000901,0.000089
1296.00,0.996849,0.003087,0.000064
1298.00,0.992015,0.007670,0.000315
1300.00,0.984260,0.015303,0.000438
1302.00,0.971849,0.027983,0.000167
1304.00,0.947241,0.052987,-0.000228
1306.00,0.860078,0.139977,-0.000055
1308.00,0.512228,0.485671,0.002101
1310.00,0.999086,0.001360,-0.000446
1312.00,0.984285,0.015743,-0.000028
1314.00,0.967982,0.031754,0.000264
1316.00,0.952809,0.046816,0.000375
1318.00,0.938089,0.061555,0.000356
1320.00,0.923382,0.076344,0.000275
1322.00,0.908472,0.091343,0.000185
1324.00,0.893280,0.106607,0.000113
1326.00,0.877804,0.122131,0.000065
1328.00,0.862075,0.137887,0.000038
1330.00,0.846147,0.153827,0.000026
1332.00,0.830077,0.169900,0.000022
1334.00,0.813933,0.186047,0.000020
1336.00,0.797768,0.202211,0.000021
1338.00,0.781649,0.218329,0.000022
1340.00,0.765628,0.234344,0.000027
1342.00,0.749764,0.250198,0.000038
1344.00,0.734113,0.265834,0.000053
1346.00,0.718721,0.281203,0.000076
1348.00,0.703637,0.296258,0.000105
1350.00,0.688910,0.310958,0.000132
1352.00,0.674589,0.325265,0.000147
1354.00,0.660722,0.339140,0.000138
1356.00,0.647356,0.352543,0.000101
1358.00,0.634525,0.365428,0.000047
1360.00,0.622246,0.377748,0.000007
1362.00,0.610520,0.389467,0.000013
1364.00,0.599355,0.400578,0.000067
1366.00,0.588789,0.411091,0.000120
1368.00,0.578894,0.420996,0.000109
1370.00,0.569733,0.430230,0.000037
1372.00,0.561305,0.438701,-0.000007
1374.00,0.553583,0.446373,0.000044
1376.00,0.546617,0.453269,0.000114
1378.00,0.540562,0.459358,0.000080
1380.00,0.535554,0.464454,-0.000008
1382.00,0.531638,0.468329,0.000033
1384.00,0.529029,0.470852,0.000119
1386.00,0.528257,0.471678,0.000065
1388.00,0.530040,0.469956,0.000005
1390.00,0.535419,0.464459,0.000123
1392.00,0.545492,0.454337,0.000171
1394.00,0.547371,0.452434,0.000195
1396.00,0.465371,0.534257,0.000373
1398.00,0.420603,0.579159,0.000238
1400.00,0.430244,0.569718,0.000038
