lam_nm,txx_re,txx_im,rxx_re,rxx_im,tyx_re,tyx_im,ryx_re,ryx_im,T,R,px_re,px_im,py_re,py_im,pz_re,pz_im,mx_re,mx_im,my_re,my_im,mz_re,mz_im,Qxx_re,Qxx_im,Qyy_re,Qyy_im,Qzz_re,Qzz_im,Qxy_re,Qxy_im,Qxz_re,Qxz_im,Qyz_re,Qyz_im,Tx_re,Tx_im,Ty_re,Ty_im,Tz_re,Tz_im,C_px,C_Qxz,E_up_re,E_up_im,E_dn_re,E_dn_im
1292.5,-0.23734579980373383,-0.9604948163032532,0.004101559519767761,-0.032984375953674316,-0.0625869408249855,-0.06715083122253418,-0.07709123939275742,-0.07470034807920456,0.9873096801256016,0.01262799304181328,-5.6705673699355285e-31,7.52948524342438e-31,-1.4637647433393103e-31,1.1317996440089377e-31,-1.9801496017468582e-31,-1.7164688121222915e-31,-1.0327949114175824e-23,1.5923315598697954e-23,-5.236840031855748e-22,6.013257117327658e-22,1.8870456786842653e-23,8.27480284028966e-23,-1.614383026949394e-38,-4.4118293005109095e-38,6.973391136602842e-39,3.749329605958845e-38,9.170407436435836e-39,6.625018192531608e-39,-3.594600566317702e-38,4.4579043758476994e-38,1.3170934247424917e-36,1.0623371062412984e-36,-7.906304302663314e-38,-8.489444789495633e-38,-1.7418591623076225e-38,1.1053288326516558e-39,6.176568978568707e-39,2.886200238733252e-38,-2.8192373898280783e-38,3.2295075863101183e-38,3.3577526217775045e-13,4.2619877163001306e-13,-1.8650700707908257,-1.4717332744847147,-0.17903710728773714,0.14099300574868412
1293.5,-0.25826042890548706,-0.9546966552734375,0.017459094524383545,-0.03455355018377304,-0.06213917210698128,-0.06601176410913467,-0.07724859565496445,-0.07398577034473419,0.9863629824396761,0.012940007556081821,-5.639951325074287e-31,7.551536907426591e-31,-1.4518640435003625e-31,1.1306021154051424e-31,-2.0561202740232875e-31,-1.7180229863058738e-31,-1.0633254573293662e-23,1.700830197707377e-23,-5.205879186251519e-22,6.204906348776662e-22,1.9123641300149583e-23,8.253742747297226e-23,-1.6547636905389144e-38,-4.3790463140439405e-38,6.797776651476795e-39,3.713257837472268e-38,9.749869749981941e-39,6.657880766015228e-39,-3.6875782622290974e-38,4.5057248107973236e-38,1.3808822962090774e-36,1.0742805922740653e-36,-8.334924280232165e-38,-8.56592086352664e-38,-1.7618402655550824e-38,1.1282925525564021e-39,6.232309500107892e-39,2.871153498739892e-38,-2.818235929867543e-38,3.3492940854006915e-38,3.3468642249989185e-13,4.535049233728454e-13,-1.8743921907126329,-1.44622490973475,-0.16919472588631657,0.12781203990611328
1294.5,-0.28165197372436523,-0.9478075504302979,0.03277203440666199,-0.03680114448070526,-0.062310054898262024,-0.0649324357509613,-0.07805900275707245,-0.07325256615877151,0.9857657511094893,0.01388747683451502,-5.6102097762576445e-31,7.576017169149699e-31,-1.4426445053909627e-31,1.1391310138605321e-31,-2.1434780550926054e-31,-1.7169420306402547e-31,-1.1004303013692843e-23,1.8168366706048912e-23,-5.167655619936122e-22,6.422241072258977e-22,1.9592832066420836e-23,8.261352295905783e-23,-1.701508774703292e-38,-4.329645107825638e-38,6.821558511992803e-39,3.653426056041693e-38,1.0193530401569128e-38,6.762193944074263e-39,-3.780694543651833e-38,4.5722354685607823e-38,1.4533359392387442e-36,1.0864614914563833e-36,-8.831642563383342e-38,-8.685697159049405e-38,-1.7820067710920256e-38,1.1893761633602021e-39,6.34192372595835e-39,2.86610535745924e-38,-2.815026280888932e-38,3.4887934622024976e-38,3.337876356228661e-13,4.855722971117084e-13,-1.8849957026661965,-1.418023490829776,-0.1581289948037399,0.11245459644344687
1295.5,-0.30406591296195984,-0.9401055574417114,0.047685205936431885,-0.03992148116230965,-0.062212180346250534,-0.06356147676706314,-0.07853085547685623,-0.07210522145032883,0.9841649552704254,0.015233861745720405,-5.579787988228406e-31,7.5974226092328046e-31,-1.426723273098554e-31,1.1440636868084177e-31,-2.2283444372553057e-31,-1.712647350003338e-31,-1.1266876406109536e-23,1.935789886799103e-23,-5.119874930772623e-22,6.633708580655788e-22,2.009922374438351e-23,8.237557446929953e-23,-1.738273977770388e-38,-4.285530256168456e-38,6.54893348187598e-39,3.6019365721019957e-38,1.0833832757148966e-38,6.835956443876247e-39,-3.839406473770681e-38,4.6357844386919356e-38,1.525513032442537e-36,1.0951392819090015e-36,-9.347674566536993e-38,-8.755263411966041e-38,-1.799401182582166e-38,1.2209687018308453e-39,6.467866720620446e-39,2.8495472521356203e-38,-2.8035195353821465e-38,3.623521913220528e-38,3.3269971498558744e-13,5.176678944337853e-13,-1.8936940731880931,-1.3898952291918603,-0.14825743970781433,0.09668175650789561
1296.5,-0.3269333243370056,-0.9313948154449463,0.0631716251373291,-0.04386293515563011,-0.06240350380539894,-0.06267493218183517,-0.07944761961698532,-0.07154883444309235,0.9822040452109593,0.01734577127592847,-5.551594241548013e-31,7.617820865051225e-31,-1.4208250823580672e-31,1.1532858198103003e-31,-2.3178380098135477e-31,-1.7043421723402785e-31,-1.1568916680097714e-23,2.056570663412112e-23,-5.063927894001584e-22,6.852055064702213e-22,2.0523522907854753e-23,8.260227660955994e-23,-1.7830462683669605e-38,-4.237624683364658e-38,6.565387170863806e-39,3.5466159530606655e-38,1.1265085260498995e-38,6.910126207000334e-39,-3.952529011717694e-38,4.713697193597858e-38,1.6010131295860093e-36,1.1020438398560265e-36,-9.853161729406866e-38,-8.850202405875717e-38,-1.816594170318323e-38,1.2868623133081955e-39,6.563100364113683e-39,2.8495086903973506e-38,-2.7880242084325393e-38,3.765483970429703e-38,3.316614907644362e-13,5.519843135075915e-13,-1.9018363612856648,-1.360753656214955,-0.1385900183188502,0.07974091066544976
1297.5,-0.3506205677986145,-0.921409547328949,0.07960806787014008,-0.04893438518047333,-0.06223292276263237,-0.061842404305934906,-0.08003007620573044,-0.07111107558012009,0.97962775611828,0.02019361669066433,-5.523389638316287e-31,7.635239691363226e-31,-1.4151687974574932e-31,1.1573883819843926e-31,-2.4125170575855753e-31,-1.6939898771594017e-31,-1.1863717138031517e-23,2.193206709955379e-23,-4.996654438764111e-22,7.082325770242734e-22,2.0742365038730403e-23,8.269661980534402e-23,-1.8233079983409867e-38,-4.1832354695459516e-38,6.425145613622476e-39,3.495489430740997e-38,1.180792358354782e-38,6.877454068354207e-39,-4.0659393106904335e-38,4.758205797101516e-38,1.6819465327105637e-36,1.1068074372405554e-36,-1.0411044711485083e-37,-8.927488807506133e-38,-1.8334967053524285e-38,1.3586771188224945e-39,6.594617104489902e-39,2.8447106028722093e-38,-2.7694343527015143e-38,3.9148194931370973e-38,3.30466518228786e-13,5.896107180364129e-13,-1.9091989049720715,-1.3298576051797297,-0.12908802666780583,0.060953947248344874
1298.5,-0.374316930770874,-0.9102343320846558,0.09629221260547638,-0.05516944080591202,-0.06195453926920891,-0.06052444502711296,-0.08040745556354523,-0.0699823647737503,0.9761412773492265,0.023678747696825042,-5.494787950295207e-31,7.652433996111586e-31,-1.39984236089185e-31,1.1602783204101407e-31,-2.5078108054726968e-31,-1.6778781251990352e-31,-1.2051400179393066e-23,2.3343590929026958e-23,-4.91502066412165e-22,7.314378347689095e-22,2.118396457320292e-23,8.242156402396856e-23,-1.8567673359331548e-38,-4.1306939119676653e-38,5.980456957727164e-39,3.448782220996839e-38,1.2587238713287146e-38,6.819105412321418e-39,-4.119604240585381e-38,4.80808657224133e-38,1.7648994535423732e-36,1.107085075648639e-36,-1.1014808799819446e-37,-8.956921134033238e-38,-1.8482347156807784e-38,1.3996885934023131e-39,6.692981652978305e-39,2.8272196192903173e-38,-2.7387436648838406e-38,4.0639010877859347e-38,3.2925575849149717e-13,6.28373929356133e-13,-1.9153751339572134,-1.2981487725009233,-0.12037202525156532,0.04106129444576307
1299.5,-0.3977728486061096,-0.8977088332176208,0.11314677447080612,-0.06265486031770706,-0.062468767166137695,-0.059541888535022736,-0.08179670572280884,-0.06921301037073135,0.9715519716867356,0.0282089659662616,-5.469866124762146e-31,7.668072050556387e-31,-1.3918060616779177e-31,1.1768291049876512e-31,-2.607645493395418e-31,-1.656073720689682e-31,-1.2173439988565744e-23,2.4770639318015946e-23,-4.821382233444551e-22,7.551227840915895e-22,2.1866097669598014e-23,8.280217512233129e-23,-1.8928783283773167e-38,-4.0618983191010805e-38,5.901357132539604e-39,3.3644944782321604e-38,1.302741750816294e-38,6.974036881433848e-39,-4.221144848694774e-38,4.916917309617937e-38,1.851652764926851e-36,1.1040059792768782e-36,-1.1615435184499366e-37,-8.987871318490355e-38,-1.858457989366977e-38,1.4927189200482377e-39,6.883954993467425e-39,2.832064809616687e-38,-2.6999387256725957e-38,4.2230997637794904e-38,3.281188943814472e-13,6.697089988180122e-13,-1.9198658033378855,-1.265653200824071,-0.11270020424245421,0.019909276257087244
1300.5,-0.42198997735977173,-0.8832747340202332,0.13096769154071808,-0.0720430314540863,-0.062142979353666306,-0.05872058868408203,-0.08249679207801819,-0.06873773783445358,0.9655596541689696,0.03387333191436098,-5.445285514379492e-31,7.679946480809564e-31,-1.3867646372684427e-31,1.1813666535675553e-31,-2.7131053744650675e-31,-1.6292214078543392e-31,-1.2229809502294331e-23,2.6386692263371956e-23,-4.709097132165735e-22,7.798707013355712e-22,2.2147604171526565e-23,8.294136553253855e-23,-1.9283330189112994e-38,-3.9936702309204835e-38,5.631119136928725e-39,3.311075796825376e-38,1.3652210700629473e-38,6.825944684605646e-39,-4.33725539632765e-38,4.968308870294481e-38,1.9441916407558758e-36,1.0964517371223023e-36,-1.2244568324842918e-37,-8.961969413615283e-38,-1.869197876247335e-38,1.585352835048744e-39,6.95433221830829e-39,2.8288945487558113e-38,-2.6550167794862235e-38,4.3887420788199866e-38,3.267935706007989e-13,7.14625636812034e-13,-1.9228193953102728,-1.2310410180450768,-0.10584498583754684,-0.0036596045063930355
1301.5,-0.44588252902030945,-0.8681653141975403,0.14865632355213165,-0.0819985419511795,-0.061752814799547195,-0.057572539895772934,-0.08282800018787384,-0.06775186955928802,0.9596502499469785,0.040273256858056605,-5.4201162604715595e-31,7.691498704194315e-31,-1.3732231413448926e-31,1.183013810094151e-31,-2.8168884186915323e-31,-1.599656232669906e-31,-1.2277597267290064e-23,2.803321581722305e-23,-4.589110227317218e-22,8.044482382571281e-22,2.245058611835667e-23,8.26923107509986e-23,-1.9526796222226754e-38,-3.9227696074651205e-38,5.0833867072624564e-39,3.254446297364969e-38,1.44434031972119e-38,6.683232160305527e-39,-4.3891289907751184e-38,4.990268325426448e-38,2.0370977938064077e-36,1.0862294218874497e-36,-1.2947381927497979e-37,-8.933939520620079e-38,-1.8793797725221363e-38,1.6340188909334162e-39,7.001815758190497e-39,2.811932399559157e-38,-2.601654052970607e-38,4.5508554819658807e-38,3.2543786590344276e-13,7.609637894539149e-13,-1.9249697268356554,-1.1963108140560847,-0.09955379847201642,-0.027668020623382215
