run_id,period_nm,height_nm,seed,target_wavelength_nm,final_Fco,best_Fco,final_S_ED,final_S_MD,balance,binary_Fco,binary_S_ED,binary_S_MD,fill_fraction,nx,ny,fourier_order_x,fourier_order_y,runtime_s,status
P0900_H0200_seed029_lam1332p5,900,200,29,1332.5,4.605098724365234,4.608381271362305,101.35492706298828,98.64909362792969,0.9733033776283264,4.604496002197266,101.3059310913086,98.57787322998047,0.4141203761100769,360,360,9,9,437.3380949497223,completed
P0900_H0100_seed029_lam1332p5,900,100,29,1332.5,4.303718566894531,4.304388999938965,70.2396011352539,77.90776062011719,0.901573896408081,4.303913116455078,70.24911499023438,77.92743682861328,0.4696759283542633,360,360,9,9,452.4034011363983,completed
P0900_H0100_seed047_lam1332p5,900,100,47,1332.5,4.296473503112793,4.297364234924316,69.62208557128906,77.46802520751953,0.8987202644348145,4.296751022338867,69.63813018798828,77.49312591552734,0.46070215106010437,360,360,9,9,755.9973301887512,completed
P0900_H0175_seed047_lam1332p5,900,175,47,1332.5,4.284479141235352,4.285773277282715,72.8853759765625,72.24551391601562,0.991221010684967,4.2795610427856445,72.52742767333984,71.89143371582031,0.44993826746940613,360,360,9,9,3269.5613782405853,completed
P0900_H0100_seed011_lam1332p5,900,100,11,1332.5,4.263092041015625,4.263458251953125,66.21142578125,76.19763946533203,0.8689432740211487,4.2630615234375,66.20842742919922,76.19650268554688,0.44348764419555664,360,360,9,9,901.0511689186096,completed
P0870_H0125_seed029_lam1332p5,870,125,29,1332.5,4.234809398651123,4.236074447631836,66.05872344970703,72.17362213134766,0.9152751564979553,4.2335591316223145,65.97853088378906,72.08087158203125,0.6380466222763062,348,348,9,9,1351.2931187152863,completed
P0870_H0100_seed011_lam1332p5,870,100,11,1332.5,4.214576244354248,4.215610504150391,63.52334213256836,72.07772827148438,0.8813171982765198,4.214859485626221,63.54204177856445,72.09732818603516,0.568610429763794,348,348,9,9,455.49263858795166,completed
P0870_H0100_seed047_lam1332p5,870,100,47,1332.5,4.179413795471191,4.18061637878418,61.1903076171875,69.74447631835938,0.877349853515625,4.180212020874023,61.239383697509766,69.80001831054688,0.7395709753036499,348,348,9,9,302.8512382507324,completed
P0830_H0100_seed047_lam1332p5,830,100,47,1332.5,4.1645426750183105,4.16618537902832,60.3217887878418,68.67546081542969,0.8783601522445679,4.164263725280762,60.3057861328125,68.65538024902344,0.6966903805732727,332,332,9,9,4486.203481197357,completed
P0870_H0100_seed029_lam1332p5,870,100,29,1332.5,4.112241268157959,4.1124677658081055,54.815120697021484,68.06865692138672,0.8052916526794434,4.112458229064941,54.82725143432617,68.08309173583984,0.675724983215332,348,348,9,9,4765.191516160965,completed
P0830_H0100_seed011_lam1332p5,830,100,11,1332.5,4.057710647583008,4.058165073394775,51.0725212097168,65.50816345214844,0.7796359658241272,4.054278373718262,50.89902877807617,65.28181457519531,0.6358959674835205,332,332,9,9,1346.0733215808868,completed
P0830_H0150_seed029_lam1332p5,830,150,29,1332.5,3.984281301498413,3.985168933868408,48.01678466796875,60.160255432128906,0.798147976398468,3.983799457550049,47.98796463012695,60.13839340209961,0.5326335430145264,332,332,9,9,3627.9818971157074,completed
P0790_H0125_seed029_lam1332p5,790,125,29,1332.5,3.982801914215088,3.9842209815979004,46.84788513183594,61.479156494140625,0.7620124816894531,3.9821317195892334,46.81773376464844,61.436344146728516,0.6477127075195312,316,316,9,9,1182.5048456192017,completed
P0830_H0125_seed029_lam1332p5,830,125,29,1332.5,3.967494487762451,3.9684226512908936,46.88499069213867,59.578304290771484,0.7869473695755005,3.967738151550293,46.89726638793945,59.591739654541016,0.7537922859191895,332,332,9,9,3310.6685407161713,completed
P0790_H0125_seed047_lam1332p5,790,125,47,1332.5,3.9569687843322754,3.984631299972534,45.27842330932617,60.40711975097656,0.7495543956756592,3.964082717895508,45.59769821166992,60.84370803833008,0.677315354347229,316,316,9,9,450.9822642803192,completed
