run_id,period_nm,height_nm,seed,Fco_projected,Fco_binary,S_ED,S_MD,balance,lambda_peak_ED,lambda_peak_MD,ED_MD_peak_splitting_nm
P0900_H0200_seed029_lam1332p5,900,200,29,4.605098724365234,4.604496002197266,101.35492706298828,98.64909362792969,0.9733033776283264,1332.3685705664695,1332.3409516820286,0.027618884440926195
P0900_H0100_seed029_lam1332p5,900,100,29,4.303718566894531,4.303913116455078,70.2396011352539,77.90776062011719,0.901573896408081,1332.5326296641856,1332.5171218341645,0.015507830021078917
P0900_H0100_seed047_lam1332p5,900,100,47,4.296473503112793,4.296751022338867,69.62208557128906,77.46802520751953,0.8987202644348145,1332.5332887491581,1332.5164038587282,0.016884890429992083
P0900_H0175_seed047_lam1332p5,900,175,47,4.284479141235352,4.2795610427856445,72.8853759765625,72.24551391601562,0.991221010684967,1332.5780349960157,1332.6942867186567,0.11625172264098182
P0900_H0100_seed011_lam1332p5,900,100,11,4.263092041015625,4.2630615234375,66.21142578125,76.19763946533203,0.8689432740211487,1332.5310800563034,1332.5290744830565,0.002005573246833592
P0870_H0125_seed029_lam1332p5,870,125,29,4.234809398651123,4.2335591316223145,66.05872344970703,72.17362213134766,0.9152751564979553,1332.5200025685417,1332.5348734745974,0.014870906055648447
P0870_H0100_seed011_lam1332p5,870,100,11,4.214576244354248,4.214859485626221,63.52334213256836,72.07772827148438,0.8813171982765198,1332.5335978714363,1332.4793516798577,0.054246191578613434
P0870_H0100_seed047_lam1332p5,870,100,47,4.179413795471191,4.180212020874023,61.1903076171875,69.74447631835938,0.877349853515625,1332.4941732902594,1332.5132743171082,0.01910102684882986
P0830_H0100_seed047_lam1332p5,830,100,47,4.1645426750183105,4.164263725280762,60.3217887878418,68.67546081542969,0.8783601522445679,1332.504581396207,1332.4816162988266,0.022965097380392763
P0870_H0100_seed029_lam1332p5,870,100,29,4.112241268157959,4.112458229064941,54.815120697021484,68.06865692138672,0.8052916526794434,1332.4968770655244,1332.512335211133,0.015458145608590712
P0830_H0100_seed011_lam1332p5,830,100,11,4.057710647583008,4.054278373718262,51.0725212097168,65.50816345214844,0.7796359658241272,1332.5270495055654,1332.4729836245606,0.05406588100481713
P0830_H0150_seed029_lam1332p5,830,150,29,3.984281301498413,3.983799457550049,48.01678466796875,60.160255432128906,0.798147976398468,1332.5793188489858,1332.4914947450773,0.08782410390858786
P0790_H0125_seed029_lam1332p5,790,125,29,3.982801914215088,3.9821317195892334,46.84788513183594,61.479156494140625,0.7620124816894531,1332.5760738261288,1332.4440782374293,0.13199558869951034
P0830_H0125_seed029_lam1332p5,830,125,29,3.967494487762451,3.967738151550293,46.88499069213867,59.578304290771484,0.7869473695755005,1332.501822674619,1332.4985780110546,0.0032446635643736954
P0790_H0125_seed047_lam1332p5,790,125,47,3.9569687843322754,3.964082717895508,45.27842330932617,60.40711975097656,0.7495543956756592,1332.6541022040453,1332.3315650832735,0.3225371207718126
