run_id,Fco_o13_binary,S_ED_o13,S_MD_o13,balance_o13,Fco_o9_binary,order_drift_9to13
P0870_H0100_seed029_lam1332p5,4.0860443115234375,53.3824462890625,66.32762908935547,0.8048297166824341,4.112458229064941,-0.026413917541503906
P0830_H0100_seed011_lam1332p5,4.030794143676758,49.73402786254883,63.74552536010742,0.7801963686943054,4.054278373718262,-0.023484230041503906
P0900_H0100_seed011_lam1332p5,4.0019683837890625,51.17280578613281,58.482513427734375,0.8750103712081909,4.2630615234375,-0.2610931396484375
P0870_H0100_seed047_lam1332p5,3.953324317932129,48.666534423828125,55.7934684753418,0.8722622394561768,4.180212020874023,-0.22688770294189453
P0830_H0100_seed047_lam1332p5,3.880546808242798,45.71039962768555,51.35527801513672,0.8900818228721619,4.164263725280762,-0.28371691703796387
P0790_H0125_seed047_lam1332p5,3.8174567222595215,39.89451217651367,51.8665885925293,0.7691755294799805,3.964082717895508,-0.14662599563598633
P0870_H0100_seed011_lam1332p5,3.813129186630249,42.63727951049805,48.11189270019531,0.8862107992172241,4.214859485626221,-0.4017302989959717
P0790_H0125_seed029_lam1332p5,3.8062827587127686,39.4715576171875,51.263816833496094,0.7699691653251648,3.9821317195892334,-0.17584896087646484
P0900_H0100_seed029_lam1332p5,3.7381792068481445,40.31848907470703,43.79624557495117,0.9205923676490784,4.303913116455078,-0.5657339096069336
P0830_H0150_seed029_lam1332p5,3.728574275970459,37.61636734008789,46.04913330078125,0.816874623298645,3.983799457550049,-0.25522518157958984
P0900_H0100_seed047_lam1332p5,3.4848387241363525,31.27860450744629,34.01301574707031,0.9196069240570068,4.296751022338867,-0.8119122982025146
P0830_H0125_seed029_lam1332p5,3.4481263160705566,28.316965103149414,34.9106330871582,0.811127245426178,3.967738151550293,-0.5196118354797363
P0870_H0125_seed029_lam1332p5,3.430659294128418,30.064550399780273,31.75251007080078,0.9468401074409485,4.2335591316223145,-0.8028998374938965
P0900_H0175_seed047_lam1332p5,3.271204948425293,23.925704956054688,29.004663467407227,0.8248916864395142,4.2795610427856445,-1.0083560943603516
P0900_H0200_seed029_lam1332p5,2.8359904289245605,19.666797637939453,14.77666187286377,0.7513507008552551,4.604496002197266,-1.768505573272705
