P,sin_open_air,theta_open_air,sin_open_glass,theta_open_glass
200.0,2.165,999.0,1.708,999.0
213.0,1.971830985915493,999.0,1.514830985915493,999.0
226.0,1.8008849557522124,999.0,1.3438849557522123,999.0
239.0,1.6485355648535567,999.0,1.1915355648535566,999.0
252.0,1.5119047619047619,999.0,1.0549047619047618,999.0
271.0,1.3357933579335795,999.0,0.8787933579335794,61.497147734879086
