tag,theta,R_cross,T_loss,A_loss,imbalance_loss,retardance_loss,mixing,closure,dom_p,f_dom_p
rectangle,0.0,0.2288274616003036,0.102618969976902,0.2219561338424682,0.005486688172684495,0.44111073723143085,6.249676000244153e-10,0.9999999914487567,ED,0.5635458591054445
rectangle,20.0,0.2547713816165924,0.1155706793069839,0.2472221404314041,0.0053327620668177644,0.37710305242998365,4.4470414194607765e-08,1.0000000603221961,ED,0.6464492509710903
rectangle,40.0,0.276701807975769,0.255033791065216,0.3000510931015014,2.9598428242572083e-05,0.16818367375065205,4.249957187552843e-08,1.000000006820953,ED,0.8428933280589752
rectangle,60.0,0.2654668688774109,0.3997601568698883,0.3026380836963653,0.016354176578474496,0.015780719900409655,2.3775681455941293e-08,1.00000002969823,ED,0.95012197207709
rectangle,75.0,0.4283395409584045,0.3250633180141449,0.2377327978610992,0.008728677176081057,0.00013553754059448029,2.5799831715653004e-08,0.9999998973501559,ED,0.96691969339798
rectangle,85.0,0.7396258115768433,0.1503229886293411,0.1086334511637687,0.0014120737283782603,5.644493064122012e-06,7.705928699099933e-10,0.9999999703619884,,
A_P239_H200_s11_wf,0.0,0.3135576844215393,0.2891615629196167,0.2864829301834106,0.010536040854706386,0.1002618632412976,5.689894686817178e-09,1.0000000873104655,MD,0.4742314602084283
A_P239_H200_s11_wf,20.0,0.3587421178817749,0.2624310553073883,0.3172435164451599,0.011693761508447587,0.04988951530283002,2.5037092283979777e-09,0.99999996894931,ED,0.6599095883523641
A_P239_H200_s11_wf,40.0,0.341902494430542,0.3021884560585022,0.3485303521156311,0.006138167960259899,0.0012404479776556257,1.8165393279011307e-09,0.9999999203591302,ED,0.8962533738670991
A_P239_H200_s11_wf,60.0,0.3251856565475464,0.331335186958313,0.309525191783905,0.005955321512729483,0.02799862767177443,7.728040237862844e-09,0.9999999922023085,ED,0.9407516583360782
A_P239_H200_s11_wf,75.0,0.5120298862457275,0.2390160113573074,0.2258545011281967,0.005693251642938435,0.01740626689013561,1.1984966453110859e-09,0.9999999184628023,ED,0.924656976801785
A_P239_H200_s11_wf,85.0,0.7949988842010498,0.1021399646997451,0.0985433906316757,0.001226598271167671,0.003091100289938812,7.25019586054148e-10,0.9999999388185967,,
oldA,0.0,0.5261819958686829,0.0543134585022926,0.3550812005996704,0.00024116208265922978,0.06418222590592995,1.0047064167573211e-08,1.0000000530062991,,
oldA,20.0,0.1497146487236023,0.1794518232345581,0.4633398652076721,0.05457726138121212,0.15291641074311405,1.1824262462940614e-08,1.000000021114421,,
oldA,40.0,0.0818883180618286,0.2934205830097198,0.3718122541904449,0.08136345688852137,0.1715153458593372,4.7795722134992935e-08,1.000000005805574,,
oldA,60.0,0.111475870013237,0.2626915872097015,0.3102602362632751,0.033927725539854243,0.2816445192607073,7.31122936168321e-08,1.0000000113990688,,
oldA,75.0,0.2614504098892212,0.1368948072195053,0.4133488833904266,0.06921554811828678,0.11909038247743825,2.05110752097202e-08,1.0000000516059535,,
oldA,85.0,0.636788010597229,0.0722663179039955,0.2483456134796142,0.020341628247511085,0.022258393588173355,3.310018154713053e-10,0.999999964147525,,
oldB,0.0,0.5048537254333496,0.056696567684412,0.4338981509208679,0.0006138448489787507,0.003937739526257859,3.7444840391838764e-10,1.0000000287883146,EQ,0.4789215494009098
oldB,20.0,0.136913388967514,0.202682763338089,0.5072275996208191,0.09019809435431286,0.06297817235660731,8.067275637034097e-09,1.000000026704618,ED,0.4495282219471163
oldB,40.0,0.0933947265148162,0.2586430013179779,0.3924914598464966,0.0569411533557498,0.19852962006365646,3.5217412643854005e-08,0.9999999963161096,ED,0.4527028177151833
oldB,60.0,0.1248288303613662,0.1752089262008667,0.3330053687095642,0.016128206211320162,0.35082851923099795,2.493498705380272e-07,1.0000001000639858,MD,0.4161377565404459
oldB,75.0,0.2536020874977112,0.0837673544883728,0.4883390963077545,0.07104613252714409,0.10324530848474109,6.417380855278032e-09,0.9999999857231046,MD,0.4382434921681905
oldB,85.0,0.6189380884170532,0.0463160127401351,0.2958208620548248,0.021857650550317426,0.017067303552308555,7.330902394765045e-10,0.9999999180477293,,
