tag,theta,pol,model,t_re,t_im,T_model
A_P239_H200_s11_wf,0.0,p,bg_only,-0.3956258296966553,0.899380087852478,0.9654043395486979
A_P239_H200_s11_wf,0.0,p,bg+ED,-0.3042715298866108,0.46298883001790603,0.3069398206208882
A_P239_H200_s11_wf,0.0,p,bg+MD,0.25064676752676884,0.812431153276002,0.7228681808849928
A_P239_H200_s11_wf,0.0,p,bg+EQ,-0.610587299147088,0.886587888306489,1.158854933571495
A_P239_H200_s11_wf,0.0,p,ladder_all,0.12703959788638053,0.36324769589544104,0.14808794800448008
A_P239_H200_s11_wf,0.0,p,full,0.25411155819892883,0.049065567553043365,0.06698011392958986
A_P239_H200_s11_wf,0.0,s,bg_only,-0.3956258296966553,0.899380087852478,0.9654043395486979
A_P239_H200_s11_wf,0.0,s,bg+ED,-0.5936449725420481,0.6218874004589163,0.7391582922739975
A_P239_H200_s11_wf,0.0,s,bg+MD,-0.40536929600196314,0.18974780900106325,0.20032849716183118
A_P239_H200_s11_wf,0.0,s,bg+EQ,-0.42818243403891076,0.781783009885591,0.7945248713652603
A_P239_H200_s11_wf,0.0,s,ladder_all,-0.6359450431896114,-0.20534195635938546,0.4465914169989365
A_P239_H200_s11_wf,0.0,s,full,-0.6862677931785583,-0.2009466290473938,0.5113430316796794
A_P239_H200_s11_wf,30.0,p,bg_only,-0.1463039070367813,0.9783270359039307,0.9785286223947979
A_P239_H200_s11_wf,30.0,p,bg+ED,-0.37773859928053305,0.47062403898481553,0.3641734354568003
A_P239_H200_s11_wf,30.0,p,bg+MD,0.33593426121334863,0.9633599698493839,1.0409142593651641
A_P239_H200_s11_wf,30.0,p,bg+EQ,-0.3996519158590248,0.9478588501849217,1.0581580537236706
A_P239_H200_s11_wf,30.0,p,ladder_all,-0.14884843985264662,0.42518878721125974,0.2029413628167489
A_P239_H200_s11_wf,30.0,p,full,-0.14006993174552917,0.052483003586530685,0.022374051444660994
A_P239_H200_s11_wf,30.0,s,bg_only,-0.1441122442483902,0.9636713862419128,0.9494308796037176
A_P239_H200_s11_wf,30.0,s,bg+ED,-0.3806359501820171,0.7346128736205741,0.6845398006600447
A_P239_H200_s11_wf,30.0,s,bg+MD,-0.3736152793836645,0.19785737479081456,0.17873591774804656
A_P239_H200_s11_wf,30.0,s,bg+EQ,-0.20743264484934154,0.8413144230740794,0.7508382606216643
A_P239_H200_s11_wf,30.0,s,ladder_all,-0.6734593859182428,-0.15355810099835754,0.47712763486359855
A_P239_H200_s11_wf,30.0,s,full,-0.6988443732261658,-0.1386326551437378,0.5076024710620751
A_P239_H200_s11_wf,60.0,p,bg_only,0.5458441972732544,0.8364306688308716,0.9975621514577427
