tag,theta,phi,R_cross,R_co,T_cross,T_tot,A,abs_rx,abs_ry,dphi_r_deg,energy_x
rectangle,0.0,0.0,0.22882746160030365,0.4465973973274231,0.04781201109290123,0.10261896997690201,0.22195613384246826,0.8925697207450867,0.744425356388092,-289.13189697265625,1.0000000069267116
rectangle,0.0,15.0,0.22882746160030365,0.4465973973274231,0.04781201109290123,0.10261896997690201,0.22195613384246826,0.8925697207450867,0.744425356388092,-289.13189697265625,1.0000000069267116
rectangle,0.0,30.0,0.22882746160030365,0.4465973973274231,0.04781201109290123,0.10261896997690201,0.22195613384246826,0.8925697207450867,0.744425356388092,-289.13189697265625,1.0000000069267116
rectangle,0.0,45.0,0.22882746160030365,0.4465973973274231,0.04781201109290123,0.10261896997690201,0.22195613384246826,0.8925697207450867,0.744425356388092,-289.13189697265625,1.0000000069267116
rectangle,0.0,60.0,0.22882746160030365,0.4465973973274231,0.04781201109290123,0.10261896997690201,0.22195613384246826,0.8925697207450867,0.744425356388092,-289.13189697265625,1.0000000069267116
rectangle,0.0,75.0,0.22882746160030365,0.4465973973274231,0.04781201109290123,0.10261896997690201,0.22195613384246826,0.8925697207450867,0.744425356388092,-289.13189697265625,1.0000000069267116
rectangle,0.0,90.0,0.22882746160030365,0.4465973973274231,0.04781201109290123,0.10261896997690201,0.22195613384246826,0.8925697207450867,0.744425356388092,-289.13189697265625,1.0000000069267116
rectangle,5.0,0.0,0.23062491416931152,0.44341862201690674,0.04750461503863335,0.10285186767578125,0.22310450673103333,0.8917630910873413,0.7435359954833984,-288.7190246582031,0.9999999957508408
rectangle,5.0,15.0,0.23074358701705933,0.44316208362579346,0.04737963154911995,0.10251171886920929,0.22358258068561554,0.8491826057434082,0.7150981426239014,-296.4085998535156,0.9999999972060323
rectangle,5.0,30.0,0.23051296174526215,0.44424968957901,0.047422803938388824,0.10244932770729065,0.22278791666030884,0.7494533061981201,0.6649576425552368,-320.8688049316406,1.0
rectangle,5.0,45.0,0.22940975427627563,0.4446367621421814,0.047220684587955475,0.10183219611644745,0.22412113845348358,0.6661240458488464,0.6674980521202087,0.06320656836032867,1.0000000074505806
