tag,P,h,pad,J_hard,A_hard_min,A_normal,A_hard,dense_labx_min_le30,dense_labx_mean_le30,s_flip,fill,warm
finalist0_P800_h200_pad0.040_warm,800.0,200.0,0.04,0.3525205212465756,0.2669160844118361,0.45067185883989147,"[0.45067185883989147, 0.5132482541440571, 0.409835412474482, 0.4381149920840347, 0.3419021804643765, 0.2669160844118361]",0.24168546504932453,0.4125277563182829,0.3230779365960491,0.752729100833094,True
finalist1_P925_h240_pad0.040_warm,925.0,240.0,0.04,0.34791695818755897,0.26433852547568604,0.45739515914468,"[0.45739515914468, 0.38231911751014497, 0.4757083864355365, 0.35530645298472496, 0.39472925371497913, 0.26433852547568604]",0.19587032139460325,0.3878788460918779,0.8912803080311131,0.5061045676529733,True
finalist2_P925_h220_pad0.040_warm,925.0,220.0,0.04,0.31540060963436906,0.21556858271232093,0.4387206549745504,"[0.4387206549745504, 0.4794394399441111, 0.49514081739608307, 0.3488179445584202, 0.39199381096651215, 0.21556858271232093]",0.1780945336898624,0.38820983734827524,0.9173607374855296,0.531671933352485,True
scratch_P800_h200_pad0.040_seed2024,800.0,200.0,0.04,0.22364253626025882,0.1523098347297107,0.23208296602153478,"[0.23208296602153478, 0.32579027327090515, 0.19617744820697625, 0.3549616622208248, 0.1523098347297107, 0.33462171901059523]",0.1523098347297107,0.25261446194078585,0.6895103234530624,0.4821890261419132,False
scratch_P800_h200_pad0.040_seed4096,800.0,200.0,0.04,0.21094772214278926,0.14152242258692815,0.21735481383787325,"[0.21735481383787325, 0.2576750614389889, 0.20399569015444186, 0.3258080871545117, 0.14152242258692815, 0.27801599118844533]",0.14152242258692815,0.2312690220320682,0.5515536198239254,0.43486067222062624,False
