lam_nm,px_re,px_im,mx_re,mx_im,Tx_re,Tx_im,py_re,py_im,my_re,my_im,Ty_re,Ty_im,pz_re,pz_im,mz_re,mz_im,Tz_re,Tz_im,Cp,Cm,CQe,CQm,Csum,CT,CpT,S_ED_3slice,S_MD_3slice,S_ED_vol,S_MD_vol,n_si,order
1412.0,-1.3477301826494782e-31,3.1001950249427907e-31,-3.1958012401493997e-26,-4.7676724898870516e-26,-9.093785371495707e-37,2.009801265212653e-37,2.0142221590136942e-32,6.71107484356538e-32,8.350505080174759e-24,3.788531116997328e-24,2.482846160276524e-38,-2.4408246934531213e-39,-3.860620872187533e-34,-2.6801781359695458e-33,-3.460258269965255e-22,1.715366388305195e-23,-2.2907639759408952e-40,1.2987770812027145e-40,3.162510324580948e-14,3.545911149783953e-13,9.394473506872274e-14,8.715643089180478e-13,1.3517252622109753e-12,4.5602071777725535e-12,8.684166315270014e-14,12.56590747833252,19.48501968383789,12.193257331848145,18.243101119995117,3.3,11
1413.0,-2.1596878872172614e-31,9.665561898679316e-32,4.0608545492718675e-26,-7.097993116167196e-26,-9.531277725884378e-37,2.4905594589937367e-37,2.3065592724874653e-32,6.604705478634067e-32,7.829802815927301e-24,3.959047793080646e-24,2.4402772307029336e-38,-3.489284725569105e-39,-8.483247393150286e-34,-3.6329299954969964e-33,-2.95261863398293e-22,8.013311268323137e-24,-5.1934564739932115e-40,2.7119065643833507e-40,1.6110887517576e-14,2.5705637695185074e-13,6.163636704512689e-14,9.80315513346342e-13,1.3151191448608956e-12,5.080271029052652e-12,1.9291622954637578e-13,14.91646671295166,23.111949920654297,14.470928192138672,21.62632179260254,3.3,11
1414.0,-3.335782988776672e-31,-1.4732818404987774e-31,1.249722909162688e-25,-1.03481099714964e-25,-1.000645767688293e-36,3.090881605008726e-37,2.522501857747658e-32,6.528690843606992e-32,7.26452180265574e-24,4.2937905631357925e-24,2.407118165987093e-38,-4.3441010017487564e-39,-1.4148697786718551e-33,-4.695786298608304e-33,-2.3774141472440324e-22,-6.7451554355581e-24,-8.451002141149604e-40,4.1821957371272665e-40,3.638282073758977e-14,1.662599171783969e-13,3.475775856970475e-14,1.114608879866339e-12,1.3520093763520304e-12,5.7168877214639376e-12,3.7482458383052546e-13,17.998632431030273,27.852516174316406,17.454801559448242,26.051118850708008,3.3,11
1415.0,-5.190821023401695e-31,-4.4796488023506505e-31,2.1660176048815386e-25,-1.5013445356911968e-25,-1.0556790959465146e-36,3.916238755131804e-37,2.874367423332934e-32,6.464906994691055e-32,6.520439447794881e-24,4.8129512587714795e-24,2.383898131429463e-38,-5.49285180064895e-39,-2.2404186755720654e-33,-5.855940650154533e-33,-1.6835611665587965e-22,-3.3200835086354625e-23,-1.1767971541235314e-39,6.291031766116499e-40,1.2500818657071577e-13,8.638728584926806e-14,1.8047572058768387e-14,1.298486799049033e-12,1.5279298435277851e-12,6.579725278218285e-12,7.012468393163317e-13,22.465730667114258,34.70289993286133,21.775564193725586,32.44902038574219,3.3,11
1416.0,-8.08200189957873e-31,-8.039034132410411e-31,3.2477571850888834e-25,-2.353185124982536e-25,-1.1141883918129103e-36,5.0537736191085685e-37,3.437075416000998e-32,6.392269032381807e-32,5.719294487218431e-24,5.469815925340034e-24,2.347062898406508e-38,-7.395314285745801e-39,-3.615421861754991e-33,-7.328712209450777e-33,-8.678945332737045e-23,-7.971976233565219e-23,-1.6248756117874802e-39,1.0447624866800505e-39,3.4229928744012953e-13,4.072061887258099e-14,2.5817321276052168e-14,1.5468204275262275e-12,1.95565765511499e-12,7.734781076098103e-12,1.2688030323536429e-12,28.934616088867188,44.58826446533203,28.02693748474121,41.687007904052734,3.3,11
1417.0,-1.2818312863199622e-30,-1.2199022958318435e-30,4.497214202541414e-25,-3.698640802713371e-25,-1.1685950165515078e-36,6.712244237152704e-37,4.060112372449348e-32,6.290152824353123e-32,4.7985716324317246e-24,6.544378676867714e-24,2.3045397416355626e-38,-9.381930346010176e-39,-5.700042069724908e-33,-8.896857648659186e-33,1.1704633817130543e-23,-1.6078903930944949e-22,-2.1028566180145832e-39,1.6577836209088805e-39,8.206383732171051e-13,7.584255583136253e-14,8.909917653492338e-14,1.897073885081722e-12,2.882653990665113e-12,9.344682282741478e-12,2.2941053033093835e-12,38.8286247253418,59.648441314697266,37.5795783996582,55.769744873046875,3.3,11
1418.0,-2.0468071417099484e-30,-1.6315935489699085e-30,5.744697404038089e-25,-5.930977583074095e-25,-1.1927811956630845e-36,9.093611931917634e-37,5.045171343628691e-32,5.999007198800886e-32,3.927380029834884e-24,8.234451052009487e-24,2.191426171880059e-38,-1.2515293887573255e-38,-8.97721427114153e-33,-1.0353160137605877e-32,1.158020593074526e-22,-2.9800943930185245e-22,-2.555943751302245e-39,2.6376486472363345e-39,1.788973394265137e-12,2.969379538141702e-13,2.685854263568156e-13,2.379630179586431e-12,4.734126954022554e-12,1.152568058437413e-11,4.109423143295777e-12,53.8089485168457,82.36112976074219,52.02859878540039,77.0219955444336,3.3,11
1419.0,-3.316119973191325e-30,-1.8566231279867427e-30,6.318510257782074e-25,-9.471272272666619e-25,-1.1200528850248927e-36,1.2544902366506985e-36,6.347863476736544e-32,5.283048591812766e-32,3.569647959111575e-24,1.1115819431490558e-23,1.9213157264246768e-38,-1.6673368031570402e-38,-1.4147553354844822e-32,-1.085043931852013e-32,1.9381995132131818e-22,-5.360863738718822e-22,-2.7411945034813444e-39,4.157184024139277e-39,3.759104412677605e-12,9.409286324350446e-13,7.061933427034601e-13,3.0398678017292255e-12,8.446094189545335e-12,1.4428108560505758e-11,7.433476727962525e-12,77.05167388916016,117.43046569824219,74.41966247558594,109.8606948852539,3.3,11
1420.0,-5.0260764576972395e-30,-1.3751184196551992e-30,5.032680601942539e-25,-1.3737308040051832e-24,-8.25757254690263e-37,1.6385935251137165e-36,7.299499679321272e-32,3.6732996419157347e-32,4.8964359131691005e-24,1.5312073112962694e-23,1.4204167619916903e-38,-1.950803750712013e-38,-2.0488841767467447e-32,-8.353631764896636e-33,1.4785553779127704e-22,-8.731322155703952e-22,-2.063912083915961e-39,5.877616067138441e-39,7.045150590767939e-12,2.264169440239509e-12,1.5441827700851428e-12,3.688231808481199e-12,1.4541734609573787e-11,1.71023668988892e-11,1.246150852795799e-11,105.69122314453125,160.34506225585938,101.96000671386719,150.0897216796875,3.3,11
1421.0,-6.457546361027829e-30,3.067840239432695e-31,6.718711498849873e-26,-1.75543932325112e-24,-2.6073467566872136e-37,1.8325132555041112e-36,7.584029779464196e-32,1.4450042133538484e-32,9.12915877666568e-24,1.8236350938000875e-23,7.066373823720133e-39,-2.00109372219009e-38,-2.5541551348780757e-32,-1.3757487917633713e-33,-1.3617685557966017e-22,-1.1865252379345202e-21,-1.5181842797863896e-40,7.413831140332453e-39,1.0812533619122036e-11,4.106462647947073e-12,2.6128741933488547e-12,3.8318990999225105e-12,2.1363769560340473e-11,1.7329205524869873e-11,1.755337058953516e-11,125.31008911132812,189.19760131835938,120.73954010009766,177.21656799316406,3.3,11
