lam_nm,px_re,px_im,mx_re,mx_im,Tx_re,Tx_im,py_re,py_im,my_re,my_im,Ty_re,Ty_im,pz_re,pz_im,mz_re,mz_im,Tz_re,Tz_im,Cp,Cm,CQe,CQm,Csum,CT,CpT,S_ED_3slice,S_MD_3slice,S_ED_vol,S_MD_vol,substrate,order
1322.5,-3.7025663229896796e-31,1.922000257543896e-31,-1.4326435667606083e-25,-1.197929881555358e-25,-7.826307385098456e-37,2.40804562554703e-37,1.6915525857807952e-32,6.52138343534792e-32,6.689266573451201e-24,4.546213434766422e-24,2.276566222899961e-38,-1.907276808140385e-39,-2.1478503155753917e-33,-1.8041540665816265e-33,-3.1456795850749197e-22,-5.0024998831398975e-23,-4.289090391501755e-42,6.330571692438688e-40,6.156945682651086e-14,3.894506523425268e-13,1.1661694031466334e-13,9.076642712940812e-13,1.4753013207777823e-12,5.222061989472653e-12,2.6752280187096916e-13,13.118873596191406,17.339580535888672,12.793435096740723,16.34269905090332,silica,11
1324.5,-6.318648642464972e-31,-7.319067913501919e-32,-3.9107192138728114e-26,-1.77341245038539e-25,-8.065510318728726e-37,3.4668611436975837e-37,2.2843007977681866e-32,5.973066494735728e-32,5.839786017429787e-24,5.407375035570065e-24,2.1032393232755975e-38,-3.949879307872875e-39,-3.731138664432695e-33,-3.510501840229589e-33,-2.2884918227121184e-22,-9.488468928309515e-23,-5.224452842301568e-40,1.0778563085203962e-39,1.4007001652922813e-13,2.3426733158069336e-13,7.53771284629833e-14,1.0506752274820522e-12,1.500389704054957e-12,5.9473284117084945e-12,6.348708061576019e-13,17.025049209594727,22.43753433227539,16.593984603881836,21.127920150756836,silica,11
1326.5,-1.1271206600517561e-30,-3.4985802564895973e-31,6.748531301963628e-26,-2.8959739031729727e-25,-8.054611602314483e-37,5.051323987928005e-37,3.051812179989397e-32,5.274405095684299e-32,5.03451574880662e-24,7.015207360439276e-24,1.8828212168262366e-38,-6.4636200684843e-39,-6.635366567516757e-33,-5.159801695915691e-33,-1.352042653624979e-22,-1.9138533058689434e-22,-1.039271619759815e-39,1.896119448549745e-39,4.757287750826099e-13,2.083916766116301e-13,1.1018623785340712e-13,1.2482122554672956e-12,2.0425189450149426e-12,6.911348288056352e-12,1.4573240145963323e-12,23.681671142578125,31.059017181396484,23.052078247070312,29.238618850708008,silica,11
1328.5,-1.9543955445336293e-30,-4.564534927216243e-31,1.2935592898898776e-25,-4.853880578892557e-25,-7.27329635061601e-37,7.166425726774182e-37,3.862499864250672e-32,4.2767590763736216e-32,4.850188420520783e-24,9.419874158383986e-24,1.5861972222093858e-38,-9.099495868815591e-39,-1.1099910720546293e-32,-5.608882502858497e-33,-7.094301911331736e-23,-3.7013726452271616e-22,-1.2133471391746394e-39,3.183476731344492e-39,1.3650229642342044e-12,5.35514211171951e-13,3.415250353040579e-13,1.4662222488505902e-12,3.708284459560804e-12,7.89890416397913e-12,3.0951744753893094e-12,33.98118591308594,44.285518646240234,33.013492584228516,41.71084213256836,silica,11
1330.5,-3.0900716862662335e-30,7.621169207833676e-32,2.2567241969530487e-26,-7.750556192767512e-25,-4.720021764142725e-37,9.220359210356566e-37,4.527896399137209e-32,2.662559959799329e-32,6.686017680575285e-24,1.2662284696593643e-23,1.0792959411284678e-38,-1.1152487577789543e-38,-1.700994989261113e-32,-2.4913121731546275e-33,-1.4440111710301098e-22,-6.331259512070802e-22,-3.7164626216563884e-40,4.912323553920061e-39,3.2166322019898967e-12,1.5799213010086655e-12,9.683092577769763e-13,1.5528871440738348e-12,7.317749904849373e-12,8.055130781419788e-12,5.866589294340553e-12,46.41346740722656,60.01918029785156,44.97671890258789,56.59942626953125,silica,11
1332.5,-3.682334328434469e-30,1.5197586238848477e-30,-3.06079409774821e-25,-9.222974352350779e-25,-7.603243695169532e-38,9.00509375358279e-37,4.082537192648694e-32,6.38559758541374e-33,1.1010961205588866e-23,1.3976525722620657e-23,4.65374034560911e-39,-9.854487837180357e-39,-1.944241169366243e-32,5.2680994560266035e-33,-4.346493570932813e-22,-8.002733281637678e-22,1.8371197249966972e-39,5.66783019706956e-39,5.309655155005841e-12,3.0882938278240973e-12,1.8184137060777554e-12,1.2322775325823788e-12,1.1448640221490073e-11,6.076043508739196e-12,8.294864716347326e-12,50.37076187133789,64.57376861572266,48.67066955566406,61.00762176513672,silica,11
1334.5,-3.1214195623455806e-30,2.8644384076930162e-30,-6.188598044724343e-25,-7.71793374923815e-25,1.6446789446848498e-37,6.320751595927627e-37,2.6200627025192977e-32,-3.504762654646995e-33,1.4648303834925435e-23,1.18662205556733e-23,1.755128182797571e-39,-5.653325770006741e-39,-1.5703871870255578e-32,1.1795496529242571e-32,-7.3556619008427965e-22,-7.095201516030095e-22,3.742238529931448e-39,4.63282044610288e-39,5.968914411979633e-12,3.8659121398240355e-12,2.220210646703043e-12,6.840017825772162e-13,1.2739038981083928e-11,3.1450671188823685e-12,8.31960876300749e-12,40.85633850097656,51.91223907470703,39.3597297668457,49.15789794921875,silica,11
1336.5,-2.2031164685251753e-30,3.4150935148719386e-30,-7.276375317125323e-25,-5.440056487387179e-25,1.8652367426125736e-37,3.7528196457014097e-37,1.475914573474019e-32,-3.736834277598733e-33,1.5811835994722812e-23,9.03707793386725e-24,1.608702186284901e-39,-2.3844269790051182e-39,-1.0563553026708588e-32,1.3869550130759913e-32,-8.702287614217083e-22,-5.174785675627668e-22,4.368097527815015e-39,3.163532874163284e-39,5.4598335755206074e-12,3.771404889126478e-12,2.138723115825176e-12,3.082916293468278e-13,1.167825320981909e-11,1.2833705748111968e-12,6.9837429733590784e-12,28.965333938598633,36.491065979003906,27.82486915588379,34.64082336425781,silica,11
1338.5,-1.4759542919671248e-30,3.483197610276374e-30,-7.19052328762171e-25,-3.6120097699855666e-25,1.2315306372853144e-37,2.170374663282414e-37,8.582844898201766e-33,-1.4614032861971903e-33,1.567097257898585e-23,6.89582063697614e-24,2.2797073039908575e-39,-7.085051935504057e-40,-6.743575417998013e-33,1.3554310730635487e-32,-8.917632535052434e-22,-3.5503628574222904e-22,4.295704368977798e-39,2.059825104895103e-39,4.7025114560556806e-12,3.3693177178855867e-12,1.902516163829348e-12,1.2517804350998684e-13,1.0099523381280603e-11,4.510874536634128e-13,5.622881230080082e-12,20.338674545288086,25.420841217041016,19.487083435058594,24.192533493041992,silica,11
1340.5,-9.852317905100591e-31,3.38804785217243e-30,-6.747914355415904e-25,-2.4210754677936473e-25,5.10356284187741e-38,1.2971760958057737e-37,5.5168946829777375e-33,6.824145864899759e-34,1.514648655057728e-23,5.5379206582577706e-24,2.856738564708265e-39,8.963457697763444e-41,-4.310019858591914e-33,1.2516697931671383e-32,-8.71044427172729e-22,-2.4189678746979746e-22,4.0042807994721126e-39,1.348185733192927e-39,4.066440849248552e-12,2.9709564066956236e-12,1.6765753739400877e-12,4.667656183324516e-14,8.760649191717509e-12,1.3962481633601285e-13,4.608218604449071e-12,14.920696258544922,18.516328811645508,14.263519287109375,17.664005279541016,silica,11
