lam_nm,px_re,px_im,mx_re,mx_im,Tx_re,Tx_im,py_re,py_im,my_re,my_im,Ty_re,Ty_im,pz_re,pz_im,mz_re,mz_im,Tz_re,Tz_im,Cp,Cm,CQe,CQm,Csum,CT,CpT,S_ED_3slice,S_MD_3slice,S_ED_vol,S_MD_vol
1320.5,-2.420195674637423e-31,3.995499195468166e-31,-2.303749344234245e-25,-8.944550660549206e-26,-7.56540720492515e-37,1.71544148617711e-37,1.2351181503062148e-32,6.887572050509313e-32,7.414935069125867e-24,4.077324795841944e-24,2.416728549590966e-38,-3.865057891036862e-40,-1.285009010122815e-33,-3.6298479920509543e-34,-3.8435282349165934e-22,-3.2704919618616845e-23,4.292005868500121e-40,4.007678226094468e-40,7.739088715406203e-14,5.745506231519075e-13,1.7641319224660447e-13,8.12917063259995e-13,1.641271765812569e-12,4.730537680558165e-12,1.1324391472160056e-13,10.8932523727417,14.421577453613281,10.624473571777344,13.60922908782959
1321.0,-2.6933385570192862e-31,3.540100074776576e-31,-2.2312607818720262e-25,-9.093697574409119e-26,-7.623688772898031e-37,1.8736628511445404e-37,1.3712441427495442e-32,6.726916630762037e-32,7.279467626453359e-24,4.157499034514292e-24,2.370526590894625e-38,-7.993177303624206e-40,-1.4529144591176403e-33,-6.42536932639803e-34,-3.681083782391997e-22,-3.548022101170532e-23,3.500684120234033e-40,4.49499473574631e-40,7.016251195455653e-14,5.273014048826584e-13,1.6150665105810198e-13,8.326311159306786e-13,1.5916016838259955e-12,4.8334933525751834e-12,1.4120986929428851e-13,11.341972351074219,15.012368202209473,11.063115119934082,14.161643981933594
1321.5,-3.057880781410054e-31,2.966932328705299e-31,-2.08682173108095e-25,-1.1279052215023944e-25,-7.696430298783295e-37,2.068532144418761e-37,1.5029078136936402e-32,6.51814697144723e-32,7.010130572458571e-24,4.1851131882885515e-24,2.3150713906885358e-38,-1.3202421214653676e-39,-1.690608849685484e-33,-9.803506269931805e-34,-3.4792475779946696e-22,-3.99349977898423e-23,2.6868453021334433e-40,5.401193687573968e-40,6.432682371964033e-14,4.721738538998201e-13,1.4522517996304924e-13,8.584328856258956e-13,1.5401587432084052e-12,4.969514028265988e-12,1.8176019423198607e-13,11.946754455566406,15.805476188659668,11.65389633178711,14.90414047241211
1322.0,-3.42848249769675e-31,2.396867167745618e-31,-1.884331964030599e-25,-1.049535677218835e-25,-7.77053976280245e-37,2.2594962012534884e-37,1.621856259134972e-32,6.391571030351629e-32,6.824884095149958e-24,4.362835273788531e-24,2.2671321260142674e-38,-1.7423423919718863e-39,-1.930228355968684e-33,-1.442885147393665e-33,-3.311117482658491e-22,-4.467100283009508e-23,1.2421968694171752e-40,5.908452947749961e-40,6.19288951288239e-14,4.291329486130623e-13,1.2897599932066213e-13,8.864734072844929e-13,1.5065112503470412e-12,5.111959455534865e-12,2.275901304538363e-13,12.582829475402832,16.644128799438477,12.274478912353516,15.689542770385742
1322.5,-3.9138498071364837e-31,1.7828238400500465e-31,-1.5506749565419024e-25,-1.1422601625771434e-25,-7.842360949029553e-37,2.481213276459079e-37,1.767509111030984e-32,6.296014802293579e-32,6.628466645572198e-24,4.565636122091546e-24,2.2436360317542694e-38,-2.2110418324057968e-39,-2.2242191232408188e-33,-1.830510627448421e-33,-3.1175226275571174e-22,-5.1390009249236265e-23,-2.0733425870459874e-42,6.673100255514776e-40,6.524954603417125e-14,3.8321410978818933e-13,1.1431764929785825e-13,9.172397586295863e-13,1.480021063749805e-12,5.269371571992702e-12,2.8739109513427476e-13,13.33328914642334,17.629873275756836,13.006138801574707,16.613489151000977
1323.0,-4.470948266174069e-31,1.1297691717644078e-31,-1.3592463003467767e-25,-1.2712427971706245e-25,-7.913313788630906e-37,2.722297652443479e-37,1.951641253938871e-32,6.107407509670434e-32,6.348832705407099e-24,4.6757023552908656e-24,2.193246685364624e-38,-2.857578226142484e-39,-2.596480187250991e-33,-2.1944098260966278e-33,-2.914637528455379e-22,-6.087986938320254e-23,-9.37219176015842e-41,7.908281396496947e-40,7.462783479855466e-14,3.398287242810165e-13,1.0035673147589752e-13,9.510132918763156e-13,1.4658265824317843e-12,5.441495518954083e-12,3.608341526968427e-13,14.192221641540527,18.754987716674805,13.84306526184082,17.668838500976562
1323.5,-5.129988369398275e-31,4.53968804995286e-32,-1.2805008257870744e-25,-1.39276067846021e-25,-7.976888014420688e-37,2.9916532350088717e-37,2.0614465165179006e-32,5.961929357788935e-32,6.197087348735505e-24,4.937593946595097e-24,2.1478036785650448e-38,-3.234539750288987e-39,-2.9732650877191405e-33,-2.6531272365911127e-33,-2.6931199272177475e-22,-7.122684340322797e-23,-2.377585990600792e-40,8.83045016781349e-40,9.25419926275663e-14,2.9703609597902666e-13,8.953813609105973e-14,9.872569546711849e-13,1.4663731793688376e-12,5.626534546300453e-12,4.5119018204120626e-13,15.168375968933105,20.030176162719727,14.793486595153809,18.86553192138672
1324.0,-5.902429860466955e-31,-2.7548124708951516e-32,-8.082561532489314e-26,-1.476031821810395e-25,-8.043004301884407e-37,3.2857459228944917e-37,2.169780992649105e-32,5.942494805918461e-32,6.017182375400271e-24,5.266834109811874e-24,2.1401285125395462e-38,-3.636535125366527e-39,-3.3636957763056534e-33,-3.247369263786205e-33,-2.461170341934826e-22,-8.374084483547853e-23,-4.529921127485418e-40,9.666006916826942e-40,1.2121387588280382e-13,2.5834256884834574e-13,8.203696447441368e-14,1.0287756535860552e-12,1.4903690627916184e-12,5.838362734672757e-12,5.644267392015783e-13,16.325605392456055,21.542301177978516,15.919410705566406,20.285667419433594
1324.5,-6.778233847477289e-31,-9.731003790864979e-32,-4.1215947603579426e-26,-1.6161958201429549e-25,-8.085466810463093e-37,3.6049589583866735e-37,2.3491862893214835e-32,5.766914511085168e-32,5.786959311655445e-24,5.5299567506055416e-24,2.0916636278872883e-38,-4.263240554853113e-39,-3.8828082626347283e-33,-3.608950703992855e-33,-2.240510942465637e-22,-9.945395590119113e-23,-5.637845283803439e-40,1.1184623884667381e-39,1.6203483956259208e-13,2.2937005456935867e-13,7.673806820841692e-14,1.0708908886657538e-12,1.5390338510061214e-12,6.047484958024682e-12,6.962400627401773e-13,17.557493209838867,23.147052764892578,17.11708641052246,21.79331398010254
1325.0,-7.8760567350545345e-31,-1.714286884207973e-31,-2.1011036185267092e-26,-1.9855710754368935e-25,-8.107600558961037e-37,3.982161664755126e-37,2.548968833523911e-32,5.558062766043977e-32,5.5176351628913105e-24,5.788334194284335e-24,2.0292803600316232e-38,-4.972781039429779e-39,-4.5488913414613285e-33,-3.9554061085291015e-33,-1.988702638720608e-22,-1.2065568805139858e-22,-6.52844417774848e-40,1.3358504053607285e-39,2.2361117597741852e-13,2.0624534439024763e-13,7.655000887881666e-14,1.1179416634753689e-12,1.6243481927218517e-12,6.281451483251074e-12,8.680168357348028e-13,19.050260543823242,25.084239959716797,18.567541122436523,23.6146240234375
