it,L,batch_Rc_mean,batch_Rc_min,batch_co_mean,batch_A_mean
0,0.3360939880267517,0.10119287371635437,0.03655160963535309,0.224155256152153,0.19166369140148162
1,0.3597185893251469,0.07539457231760024,0.03435724973678589,0.25011150240898133,0.19793168008327483
2,0.34049031646899214,0.09762338921427727,0.0326414629817009,0.24271955490112304,0.20354092121124268
3,0.3611209453822687,0.07492508217692376,0.03110060840845108,0.2640698254108429,0.22136678397655488
4,0.35678532170257354,0.0749143473803997,0.029832620173692703,0.2662740498781204,0.2029421329498291
5,0.32608476249255824,0.11265691146254539,0.02871517464518547,0.2512247025966644,0.20342358946800232
6,0.30952927589780016,0.12162603214383125,0.04050607979297638,0.2472661852836609,0.1832893192768097
7,0.3854042455516225,0.036371317505836484,0.026679348200559616,0.3017719745635986,0.22789356708526612
8,0.32782405553942895,0.10369193255901336,0.02583075687289238,0.2652216136455536,0.2084842562675476
9,0.32889301764232737,0.1018877387046814,0.02505667880177498,0.27095370590686796,0.21118270456790925
10,0.3484420745647014,0.07840684801340103,0.024371948093175888,0.2907945722341537,0.21877773106098175
11,0.34925966385011187,0.06999983340501785,0.03690977394580841,0.29001590311527253,0.23202166259288787
12,0.3242424290042175,0.0895937666296959,0.047386832535266876,0.28735304474830625,0.1844573736190796
13,0.33064023709822316,0.08736161142587662,0.03998643159866333,0.2940760463476181,0.20687532424926758
14,0.3070430998435247,0.12357597798109055,0.022972166538238525,0.27745609879493716,0.2088328182697296
15,0.38141184815769935,0.03677355572581291,0.022776465862989426,0.32079501152038575,0.2709341436624527
16,0.3354148461674018,0.07263809144496917,0.04207931458950043,0.30690600275993346,0.20341177880764008
17,0.3300220365250913,0.08928536027669906,0.022617507725954056,0.3025266021490097,0.2129074364900589
18,0.34447970228604535,0.0804000474512577,0.017097629606723785,0.30298125743865967,0.25067268311977386
19,0.30594379812313033,0.10067318379878998,0.0516047403216362,0.29494808316230775,0.20187782347202302
20,0.30189320362056915,0.1312634013593197,0.013705763965845108,0.2756354182958603,0.22139304876327515
21,0.3575585995604125,0.057475851848721504,0.012303115800023079,0.31827621459960936,0.2484240710735321
22,0.3015561811277672,0.14076761361211537,0.011208913289010525,0.28165293484926224,0.22664804756641388
23,0.27381030723066885,0.1324526071548462,0.0579172819852829,0.28591926097869874,0.19231602549552917
24,0.33570974061223213,0.06884678713977337,0.02358069457113743,0.324934059381485,0.20976065397262572
25,0.37614952493588255,0.0370251476764679,0.00841972604393959,0.3241356074810028,0.27566018104553225
26,0.2918585402292304,0.12324837446212769,0.04939283803105354,0.29781119525432587,0.20950767397880554
27,0.347031846075196,0.07247210554778576,0.007019876502454281,0.3000320136547089,0.27310749888420105
28,0.30508352264713795,0.1065330982208252,0.024606116116046906,0.3085077524185181,0.21297527849674225
29,0.3579482104686907,0.048700572736561296,0.005880982615053654,0.33248764276504517,0.24203048646450043
30,0.3338605340578298,0.09051500027999282,0.005443773698061705,0.2925411283969879,0.2799163579940796
31,0.21916209650035512,0.21485596299171447,0.0488261878490448,0.23111529350280763,0.22352314889431
32,0.2965647907334757,0.09891830086708069,0.032881274819374084,0.31422559916973114,0.2428433358669281
33,0.2641151120350585,0.17477229088544846,0.004102203994989395,0.2597313642501831,0.25021024942398074
34,0.3067340897835294,0.1044648077338934,0.0044177379459142685,0.30567912459373475,0.2582664489746094
35,0.281556991861926,0.13449206771329045,0.004842481110244989,0.29143487215042113,0.23748582303524018
36,0.23186786973958895,0.14676418900489807,0.0835629552602768,0.3032227337360382,0.20642563998699187
37,0.3108563222174905,0.07577656507492066,0.03468010574579239,0.3370747327804565,0.2442588835954666
38,0.25351075858483846,0.15629813820123672,0.035155102610588074,0.2908593863248825,0.23162555694580078
39,0.22096493363464415,0.18427652418613433,0.07292456179857254,0.2994847267866135,0.20204325318336486
40,0.2904295759094978,0.11619131136685609,0.007414990104734898,0.3089152455329895,0.24655453860759735
41,0.23546361699416463,0.1557037428021431,0.05550292879343033,0.27569347620010376,0.235441130399704
42,0.21735899310315265,0.19531863629817964,0.0570073127746582,0.26710180938243866,0.22358109354972838
43,0.21535982665731668,0.19620470106601715,0.058956027030944824,0.26774199306964874,0.22335252165794373
44,0.2991462989083975,0.08550662398338318,0.03805679827928543,0.31673135459423063,0.2533843874931335
45,0.25831144847200027,0.16942339278757573,0.012593204155564308,0.25916390120983124,0.2602801263332367
46,0.2563160500834747,0.14234484136104583,0.03895030915737152,0.3138581395149231,0.23457514345645905
47,0.2843704247959263,0.10987071394920349,0.01580018550157547,0.31449463963508606,0.24446897804737092
