# xy-averaged squared field magnitudes vs z from final0/prod/fields_normalized.npz, lambda = 1302.2820 nm
# z_nm is the FDTDX domain coordinate (z=0 at the domain bottom, inside the glass PML); +z: glass -> ITO -> a-Si:H -> air
# E normalized to the incident Ex phasor; Dz in units of eps0*E_inc
z_nm,dz_nm,region,E2_xyavg,Ex2_xyavg,Ey2_xyavg,Ez2_xyavg,Dz2_xyavg
1695.8518,13.1381,glass,7.52791020e-01,1.74165306e-01,4.89881952e-02,5.29637520e-01,2.80141061e+00
1707.4740,10.1062,glass,8.24823143e-01,1.89302712e-01,5.88207838e-02,5.76699648e-01,3.05033623e+00
1716.4141,7.7740,glass,8.91657734e-01,2.03816798e-01,6.83376489e-02,6.19503288e-01,3.27673743e+00
1723.2911,5.9800,glass,9.52665561e-01,2.17506203e-01,7.72766292e-02,6.57882729e-01,3.47973773e+00
1728.5811,4.6000,ITO,1.92820273e+01,2.29030617e-01,8.31493605e-02,1.89698474e+01,3.48567959e+00
1733.1811,4.6000,ITO,1.94493862e+01,2.89740515e-01,1.00676323e-01,1.90589694e+01,3.50205562e+00
1737.7811,4.6000,ITO,1.98042566e+01,4.22169220e-01,1.39346821e-01,1.92427406e+01,3.53582329e+00
1742.3811,4.6000,ITO,2.03740556e+01,6.34005836e-01,2.03049359e-01,1.95370004e+01,3.58989307e+00
1746.9811,4.6000,ITO,2.12208609e+01,9.41065963e-01,3.00019984e-01,1.99797749e+01,3.67125219e+00
1752.2711,5.9800,aSi,2.36230675e+00,1.10087534e+00,3.45392079e-01,9.16039328e-01,4.00852643e+00
1759.1481,7.7740,aSi,2.06588833e+00,1.04275614e+00,3.14414871e-01,7.08717323e-01,4.24208569e+00
1768.0882,10.1062,aSi,1.83201248e+00,9.90886460e-01,2.87472310e-01,5.53653713e-01,4.66318463e+00
1779.5428,12.8031,aSi,1.64509754e+00,9.42969675e-01,2.64389409e-01,4.37738455e-01,5.35558518e+00
1792.3459,12.8031,aSi,1.51060736e+00,9.00092356e-01,2.46301161e-01,3.64213843e-01,6.27327229e+00
1805.1490,12.8031,aSi,1.41644848e+00,8.61641397e-01,2.32700842e-01,3.22106242e-01,7.30598832e+00
1817.9521,12.8031,aSi,1.34592164e+00,8.25327195e-01,2.21740090e-01,2.98854353e-01,8.40652437e+00
1830.7552,12.8031,aSi,1.29104912e+00,7.91119876e-01,2.12562103e-01,2.87367145e-01,9.52693996e+00
1843.5583,12.8031,aSi,1.24792476e+00,7.60031798e-01,2.04777350e-01,2.83115608e-01,1.06186861e+01
