lambda_nm,R,T,A
1200.00,0.147283,0.856900,-0.004182
1202.00,0.137637,0.871687,-0.009324
1204.00,0.129063,0.856388,0.014549
1206.00,0.134375,0.868232,-0.002607
1208.00,0.124751,0.884346,-0.009097
1210.00,0.117157,0.870827,0.012017
1212.00,0.121859,0.877906,0.000236
1214.00,0.113132,0.896265,-0.009397
1216.00,0.105894,0.885916,0.008190
1218.00,0.109939,0.885984,0.004077
1220.00,0.101388,0.906553,-0.007941
1222.00,0.090678,0.907209,0.002113
1224.00,0.088691,0.905850,0.005459
1226.00,0.075248,0.927103,-0.002352
1228.00,0.056934,0.943952,-0.000885
1230.00,0.048427,0.949949,0.001624
1232.00,0.036805,0.962839,0.000356
1234.00,0.022531,0.976308,0.001161
1236.00,0.016995,0.983134,-0.000129
1238.00,0.012676,0.988186,-0.000862
1240.00,0.006241,0.991619,0.002140
1242.00,0.005099,0.994383,0.000518
1244.00,0.007545,0.994770,-0.002315
1246.00,0.010212,0.987897,0.001891
1248.00,0.034732,0.962571,0.002697
1250.00,0.142961,0.861945,-0.004906
1252.00,0.366813,0.638180,-0.004994
1254.00,0.604840,0.389432,0.005728
1256.00,0.718687,0.273648,0.007665
1258.00,0.727501,0.276118,-0.003619
1260.00,0.738593,0.267586,-0.006179
1262.00,0.765088,0.229820,0.005092
1264.00,0.780222,0.214205,0.005573
1266.00,0.806709,0.199891,-0.006600
1268.00,0.841539,0.161813,-0.003352
1270.00,0.857050,0.133902,0.009048
1272.00,0.877788,0.121630,0.000583
1274.00,0.914398,0.095840,-0.010238
1276.00,0.927218,0.068778,0.004004
1278.00,0.930235,0.059311,0.010454
1280.00,0.961954,0.047107,-0.009061
1282.00,0.981134,0.027091,-0.008225
1284.00,0.966293,0.019105,0.014602
1286.00,0.980229,0.016221,0.003549
1288.00,1.013805,0.005867,-0.019671
1290.00,0.994982,0.001089,0.003929
1292.00,0.973847,0.003007,0.023147
1294.00,1.015875,0.000159,-0.016034
1296.00,1.022929,0.003210,-0.026139
1298.00,0.954598,0.012767,0.032634
1300.00,0.966510,0.010216,0.023274
1302.00,1.049880,0.023721,-0.073601
1304.00,0.940464,0.090985,-0.031449
1306.00,0.649728,0.147429,0.202843
1308.00,0.576530,0.105574,0.317895
1310.00,0.842642,0.020658,0.136700
1312.00,1.066900,0.006215,-0.073114
1314.00,1.011417,0.045351,-0.056768
1316.00,0.900842,0.055501,0.043657
1318.00,0.927617,0.049327,0.023056
1320.00,0.963421,0.075078,-0.038500
1322.00,0.906265,0.104248,-0.010513
1324.00,0.863856,0.104617,0.031527
1326.00,0.887729,0.111729,0.000542
1328.00,0.883863,0.143738,-0.027601
1330.00,0.832620,0.162516,0.004864
1332.00,0.814909,0.162268,0.022823
1334.00,0.829264,0.180267,-0.009532
1336.00,0.807735,0.211529,-0.019264
1338.00,0.765969,0.221796,0.012234
1340.00,0.759958,0.224647,0.015394
1342.00,0.765135,0.249466,-0.014601
1344.00,0.736490,0.275820,-0.012310
1346.00,0.704190,0.279914,0.015896
1348.00,0.703922,0.286941,0.009137
1350.00,0.702590,0.314506,-0.017096
1352.00,0.672500,0.334100,-0.006600
1354.00,0.648212,0.334126,0.017661
1356.00,0.651121,0.344853,0.004026
1358.00,0.646360,0.371996,-0.018356
1360.00,0.617558,0.384471,-0.002029
1362.00,0.599470,0.381868,0.018662
1364.00,0.604908,0.395151,-0.000059
1366.00,0.599546,0.419821,-0.019367
1368.00,0.572961,0.425479,0.001560
1370.00,0.559237,0.420910,0.019853
1372.00,0.567796,0.435517,-0.003313
1374.00,0.564663,0.456530,-0.021193
1376.00,0.540134,0.455532,0.004333
1378.00,0.528659,0.448809,0.022532
1380.00,0.542343,0.463605,-0.005948
1382.00,0.546181,0.479846,-0.026027
1384.00,0.523198,0.470765,0.006036
1386.00,0.509760,0.459721,0.030519
1388.00,0.535087,0.472071,-0.007158
1390.00,0.567048,0.478427,-0.045475
1392.00,0.553455,0.454418,-0.007873
1394.00,0.493080,0.446521,0.060398
1396.00,0.434861,0.501721,0.063418
1398.00,0.417783,0.575699,0.006518
1400.00,0.434879,0.591923,-0.026801
