theta,phi,alpha,F,T,co,A
0.0,0.0,0.0,0.4636593461036682,0.09520049393177032,0.0165158249437809,0.4246242642402649
0.0,45.0,0.0,0.4636593461036682,0.09520049393177032,0.0165158249437809,0.4246242642402649
0.0,90.0,0.0,0.4636593461036682,0.09520049393177032,0.0165158249437809,0.4246242642402649
10.0,0.0,0.0,0.2556902766227722,0.1348922848701477,0.03288343548774719,0.5765339732170105
10.0,45.0,0.0,0.3268503248691559,0.11245043575763702,0.02620980702340603,0.5330652594566345
10.0,90.0,0.0,0.4470459818840027,0.08518768846988678,0.024532105773687363,0.4432341456413269
20.0,0.0,0.0,0.224435493350029,0.1398673802614212,0.05870301276445389,0.5769941210746765
20.0,45.0,0.0,0.21753941476345062,0.1331627517938614,0.034445926547050476,0.6069203615188599
20.0,90.0,0.0,0.3865434229373932,0.06625211983919144,0.05335020273923874,0.4938540458679199
30.0,0.0,0.0,0.2089221030473709,0.1298820525407791,0.11637245118618011,0.5448233485221863
30.0,45.0,0.0,0.23682817816734314,0.1291290521621704,0.018804628401994705,0.6082760095596313
30.0,90.0,0.0,0.28309857845306396,0.06337184458971024,0.10106170922517776,0.5524678826332092
0.0,0.0,30.0,0.45488935708999634,0.1336510330438614,0.0007427650270983577,0.40398991107940674
0.0,0.0,60.0,0.4546639621257782,0.13392601907253265,0.0007480229833163321,0.4039432406425476
0.0,0.0,90.0,0.46393245458602905,0.09495528042316437,0.016551077365875244,0.42456120252609253
30.0,0.0,30.0,0.19420547783374786,0.14231842756271362,0.11821654438972473,0.527417004108429
30.0,0.0,60.0,0.12036118656396866,0.16108620166778564,0.014264261350035667,0.6001603007316589
30.0,0.0,90.0,0.2829732596874237,0.0633685514330864,0.10116122663021088,0.5524968504905701
45.0,0.0,30.0,0.1699230968952179,0.12873396277427673,0.2378406673669815,0.4386102259159088
45.0,0.0,60.0,0.06403576582670212,0.17979459464550018,0.025805994868278503,0.5753300189971924
45.0,0.0,90.0,0.15615954995155334,0.1002131998538971,0.16341561079025269,0.5802115201950073
50.0,0.0,30.0,0.15771985054016113,0.11666472256183624,0.29140859842300415,0.4053425192832947
50.0,0.0,60.0,0.052450031042099,0.17465388774871826,0.03751876950263977,0.5631872415542603
50.0,0.0,90.0,0.1466175615787506,0.11673831194639206,0.17529714107513428,0.5613468885421753
