theta,phi,R_cross,R_co,T_tot,A
0.0,0.0,0.25631415843963623,0.07692158222198486,0.37874528765678406,0.2880190312862396
0.0,45.0,0.25631415843963623,0.07692158222198486,0.37874528765678406,0.2880190312862396
0.0,90.0,0.25631415843963623,0.07692158222198486,0.37874528765678406,0.2880190312862396
15.0,0.0,0.2831798791885376,0.058874212205410004,0.35660457611083984,0.30134135484695435
15.0,45.0,0.27204638719558716,0.06724471598863602,0.36484062671661377,0.2958682179450989
15.0,90.0,0.2613339424133301,0.07560420036315918,0.3730120360851288,0.2900497615337372
30.0,0.0,0.3256603181362152,0.02197684720158577,0.3251520097255707,0.32721084356307983
30.0,45.0,0.30477726459503174,0.04208969324827194,0.3361179232597351,0.3170151114463806
30.0,90.0,0.2778130769729614,0.06971848756074905,0.3566204011440277,0.29584798216819763
45.0,0.0,0.30235546827316284,0.029627881944179535,0.3489834666252136,0.3190332055091858
45.0,45.0,0.31835252046585083,0.019012192264199257,0.3190968632698059,0.34353840351104736
45.0,90.0,0.3073437809944153,0.057457394897937775,0.3290928900241852,0.30610591173171997
60.0,0.0,0.30989038944244385,0.05604829639196396,0.35721978545188904,0.27684149146080017
60.0,45.0,0.31297895312309265,0.012892832048237324,0.31711214780807495,0.35701608657836914
60.0,90.0,0.3550065755844116,0.04061192274093628,0.2850811183452606,0.31930041313171387
75.0,0.0,0.48933833837509155,0.039156340062618256,0.27613985538482666,0.19536542892456055
75.0,45.0,0.38915982842445374,0.010632989928126335,0.2853143811225891,0.3148927092552185
75.0,90.0,0.46666309237480164,0.021500395610928535,0.21779057383537292,0.2940458655357361
80.0,0.0,0.6130626201629639,0.023458246141672134,0.215227872133255,0.1482512652873993
80.0,45.0,0.4803778827190399,0.007270181551575661,0.2457699328660965,0.2665818929672241
80.0,90.0,0.5673809051513672,0.012629670090973377,0.18096624314785004,0.23902304470539093
