it,Rc_mean,Rc_min,Rc_tail25,Rc_omega,co_mean,co_max,T_mean,A_mean,theta_worst,phi_worst,binarity
9.0,0.3227681645325252,0.21977680921554565,0.22354509830474853,0.33091399225707696,0.06722790282219648,0.13015668094158173,0.3267490686405273,0.2832548483496621,0.0,0.0,0.901152491569519
19.0,0.3266414999961853,0.22111034393310547,0.22569138705730438,0.33484388550197763,0.06654551192852003,0.13184785842895508,0.3444596713497525,0.26235329395248774,0.0,0.0,0.9041147232055664
29.0,0.34043197404770625,0.23787382245063782,0.24225519895553588,0.3476373757576874,0.051149274222552776,0.09889212250709534,0.3414539559966042,0.2669647570167269,0.0,0.0,0.9393190741539001
39,0.3498766862210773,0.2522379159927368,0.25650436878204347,0.3571874794067394,0.04292211584037259,0.07789739221334457,0.3173692503145763,0.28983192926361445,0.0,0.0,0.9857121706008911
