lambda_nm,R,T,A_closure_residual,R_3000fs_window,T_3000fs_window,R_6000fs_window,T_6000fs_window,R_9000fs_window,T_9000fs_window
1200.00,0.141995,0.857092,0.000912,0.140994,0.852796,0.142313,0.857359,0.142052,0.857344
1202.00,0.137812,0.861315,0.000873,0.138834,0.860324,0.137598,0.861383,0.137892,0.861306
1204.00,0.133603,0.865570,0.000827,0.135039,0.869059,0.133744,0.865157,0.133538,0.865349
1206.00,0.129406,0.869823,0.000772,0.129250,0.873080,0.129391,0.870482,0.129401,0.869971
1208.00,0.125260,0.874010,0.000730,0.123857,0.872983,0.125139,0.873084,0.125319,0.873963
1210.00,0.121211,0.878077,0.000712,0.120462,0.874091,0.121417,0.878881,0.121131,0.877872
1212.00,0.117291,0.881987,0.000722,0.118064,0.879606,0.116997,0.881489,0.117289,0.882214
1214.00,0.113504,0.885765,0.000731,0.114762,0.887498,0.113761,0.885753,0.113546,0.885669
1216.00,0.109772,0.889521,0.000706,0.110057,0.893534,0.109642,0.890187,0.109718,0.889568
1218.00,0.105840,0.893544,0.000616,0.104926,0.896032,0.105816,0.892655,0.105910,0.893624
1220.00,0.101115,0.898347,0.000538,0.100030,0.897307,0.101308,0.898819,0.101080,0.898132
1222.00,0.094663,0.904742,0.000595,0.094460,0.901396,0.094413,0.904983,0.094652,0.904944
1224.00,0.085613,0.913797,0.000590,0.086368,0.910812,0.085728,0.913124,0.085630,0.913651
1226.00,0.073843,0.925607,0.000550,0.074803,0.924843,0.073937,0.926059,0.073823,0.925755
1228.00,0.060432,0.939034,0.000535,0.060824,0.940406,0.060246,0.939157,0.060466,0.938881
1230.00,0.047003,0.952423,0.000574,0.046685,0.954447,0.047099,0.952016,0.046960,0.952537
1232.00,0.034873,0.964547,0.000579,0.034259,0.965681,0.034932,0.964775,0.034909,0.964485
1234.00,0.024750,0.974707,0.000543,0.024307,0.974504,0.024636,0.974779,0.024728,0.974744
1236.00,0.016820,0.982655,0.000525,0.016746,0.981772,0.016854,0.982461,0.016836,0.982620
1238.00,0.011023,0.988472,0.000505,0.011238,0.987838,0.011082,0.988601,0.011010,0.988507
1240.00,0.007256,0.992289,0.000454,0.007543,0.992390,0.007204,0.992306,0.007267,0.992263
1242.00,0.005417,0.994172,0.000411,0.005620,0.994838,0.005399,0.994035,0.005409,0.994191
1244.00,0.005891,0.993729,0.000380,0.005942,0.994346,0.005950,0.993852,0.005896,0.993712
1246.00,0.011651,0.988033,0.000316,0.011451,0.988021,0.011636,0.988067,0.011653,0.988055
1248.00,0.036614,0.963095,0.000291,0.036000,0.962370,0.036471,0.962914,0.036590,0.963059
