tag,stage,P,h,pad_frac,realized_pad_nm,seed,n_iter,order,warm_start,Fz_soft,Fz_hard,Fx_hard,Fy_hard,Ftot_hard,A_hard,R_hard,T_hard,eta_z_hard,identity_resid_hard,mean_Ez2_hard,max_Ez2_hard,Fz_best_history,fill,fill_active,s_flip_lr,s_flip_ud,s_inv,binarization_final,wall_s
P825_h600_pad0.12_s1001,stage1,825.0,600.0,0.12,96.6796875,1001,80,5,False,0.9502650580669165,0.9502792840221587,0.027676696612048524,0.016637541903924538,0.9945935225381317,0.9947877601622008,0.0021187287058486884,0.0030935111319504585,0.9554448752060175,-0.0001942376240691157,19.824930939475603,113.70440399448003,0.950264229163183,0.2828369140625,0.48250728862973763,0.8964515478504705,0.31643242212671935,0.9002948732883175,0.0019082665491677903,81.27964186668396
P825_h500_pad0.12_s333,stage1,825.0,500.0,0.12,96.6796875,333,80,5,False,0.945648993145197,0.9456568632956494,0.028470640638645208,0.011071880780363084,0.9851993847146576,0.9853783111119939,0.01243234021901668,0.0021893486689893026,0.9598634326893526,-0.00017892639733629867,19.728497003455896,104.37385285959309,0.9456486950942286,0.33380126953125,0.5694502290712203,0.54526335185338,0.3970083775638937,0.563080626156136,0.0013199100539021396,85.90980052947998
P825_h500_pad0.08_s333,stage1,825.0,500.0,0.08,64.453125,333,80,5,False,0.9452298240551624,0.9452166527472372,0.02812302567721522,0.010956549511039948,0.9842962279354923,0.9844746779536495,0.009587267086121188,0.005938054960229265,0.960296936959494,-0.00017845001815719463,19.719313236254152,105.18130850160662,0.945229513454332,0.33453369140625,0.4699074074074074,0.6315317330639948,0.4866395985604382,0.672389232285502,0.0013351233466694621,87.2300672531128
P825_h500_pad0.08_s1001,stage1,825.0,500.0,0.08,64.453125,1001,80,5,False,0.9442986566674237,0.9442729345116674,0.027717632520936605,0.011473211133398947,0.9834637781660028,0.9836429828212385,0.012477567096080729,0.0038794500826807997,0.9601501910650743,-0.0001792046552356874,19.699625183319537,104.63463955603214,0.944298653797546,0.334228515625,0.46947873799725653,0.6361406646453956,0.3503103080220465,0.6452614262872066,0.0015872102878787971,109.44395565986633
P850_h600_pad0.12_s333,stage1,850.0,600.0,0.12,99.609375,333,80,5,False,0.9411516524028967,0.9411534456735038,0.02619759070250704,0.017753137930104346,0.9851041743061152,0.9852880308208697,0.012524333311196319,0.0021876358679340543,0.955384689478583,-0.00018385651475449905,19.634545735810907,124.08305155266956,0.9411514495063609,0.24078369140625,0.4107663473552686,0.9904486827473161,0.6129154911074965,1.0142208107598927,0.0013844044586983034,142.69717812538147
P750_h500_pad0.08_s1001,stage1,750.0,500.0,0.08,58.59375,1001,80,5,False,0.9408780196209295,0.9408938716250546,0.034649073508254066,0.015734230086331572,0.9912771752196403,0.9914935484206466,0.004892659529080609,0.003613792050272825,0.9491733443943948,-0.00021637320100631463,19.629130446147425,90.96793179704652,0.9408778641472618,0.421630859375,0.5922496570644719,0.656798220705174,0.2646954745882822,0.6611915688191097,0.001856112029277936,112.02817583084106
P750_h500_pad0.08_s333,stage1,750.0,500.0,0.08,58.59375,333,80,5,False,0.9405218814568197,0.9404893990009895,0.0355026536844803,0.015785324115759534,0.9917773768012295,0.9919941299033156,0.004067610639083289,0.0039382594576010685,0.9482868040752668,-0.0002167531020861313,19.620692251214816,90.91372138367527,0.9405216235393589,0.4259033203125,0.5982510288065843,0.6192664786867665,0.30567386993440643,0.622958114836267,0.001901637897540121,88.04592990875244
P850_h500_pad0.12_s333,stage1,850.0,500.0,0.12,99.609375,333,80,5,False,0.9398704631066075,0.9398596139343581,0.0239200243507888,0.007131373649545772,0.9709110119346928,0.9710724614156844,0.017600067726769298,0.011327470857546361,0.9680182863118837,-0.0001614494809916156,19.607553539614337,101.46355961542338,0.9398701777054156,0.3001708984375,0.5120783007080383,0.469483548982658,0.4371894412769485,0.525092218705998,0.0010873947131122782,89.40903878211975
P850_h600_pad0.12_s1001,stage1,850.0,600.0,0.12,99.609375,1001,80,5,False,0.9391383959447073,0.9391274544127932,0.026515007426495082,0.016154761282191257,0.9817972231214795,0.9819794828898317,0.016173695928839295,0.0018468211813290004,0.9565391226377438,-0.0001822597683521776,19.592279070102315,127.34325741247542,0.9391384576376565,0.2340087890625,0.39920866305705954,1.0224399305487801,0.4021330709869922,1.0254965589841163,0.0020229254936446157,81.29417490959167
P850_h400_pad0.12_s7777,stage1,850.0,400.0,0.12,99.609375,7777,80,5,False,0.9385462017675998,0.9385374325714523,0.030347751924872123,0.007396353414825724,0.9762815379111501,0.9764374811963316,0.018801503972836538,0.004761014830831881,0.9613389131372339,-0.00015594328518142575,19.579969907465557,94.5801474245639,0.9385460530315176,0.32965087890625,0.5623698458975427,0.3785588395982267,0.36562131822816274,0.41316961158738486,0.0007584837872850396,69.82045984268188
P850_h400_pad0.12_s333,stage1,850.0,400.0,0.12,99.609375,333,80,5,False,0.938334555976897,0.9383414338277537,0.030241280887015904,0.007392806743049365,0.9759755214578191,0.9761316419577587,0.019462729856506513,0.004405628185734791,0.9614395168704117,-0.00015612049993962707,19.57588093949227,94.99683945249444,0.9383344096074314,0.32769775390625,0.5590379008746356,0.4143990570769189,0.2816813526471537,0.42940875550823776,0.0007268115693619293,71.45578980445862
P850_h400_pad0.12_s1001,stage1,850.0,400.0,0.12,99.609375,1001,80,5,False,0.9383182039089323,0.9383177334569939,0.029892683235658746,0.007359395697190614,0.9755698123898432,0.9757260528091818,0.020341525305119706,0.00393242188569858,0.9618150557143693,-0.00015624041933859356,19.575386497256755,95.69082664446483,0.9383188402599515,0.32745361328125,0.5586214077467722,0.32134386966647954,0.23088629429805438,0.33829791598932635,0.0006731633952614802,69.26054954528809
P850_h400_pad0.08_s7777,stage1,850.0,400.0,0.08,66.40625,7777,80,5,False,0.9359714703426086,0.9359587749902791,0.030188836288653317,0.007645057889663228,0.9737926691685957,0.973950207231959,0.021781671689653368,0.004268121078387568,0.9611478958753936,-0.0001575380633632717,19.526173398036317,101.85298606234409,0.9359713393563226,0.3214111328125,0.45147462277091904,0.33642069407657194,0.4087906074376052,0.4313925199474558,0.0006587591023798831,66.93139624595642
P850_h400_pad0.08_s1001,stage1,850.0,400.0,0.08,66.40625,1001,80,5,False,0.9349066802873112,0.9348633586638576,0.03145138680299253,0.008028718742893523,0.9743434642097437,0.9745027540732104,0.02271301787512831,0.0027842280516612466,0.9594802993029701,-0.00015928986346669394,19.503320586882353,102.34789023242287,0.934908535875947,0.320556640625,0.4502743484224966,0.4509446799122963,0.19514284806274118,0.45178835638405307,0.000756037553540629,68.29440236091614
P850_h400_pad0.08_s333,stage1,850.0,400.0,0.08,66.40625,333,80,5,False,0.9346553179418112,0.9346539319148469,0.03088436501079503,0.007922559430336448,0.9734608563559783,0.9736198182256572,0.022647271041018754,0.003732910733324048,0.9601350951219548,-0.00015896186967889747,19.498951480972305,102.79230148213627,0.9346551668295542,0.31982421875,0.4492455418381344,0.49036518561901965,0.3101341743614693,0.5124406500730873,0.000661070821620929,71.0866425037384
P825_h400_pad0.08_s333,stage1,825.0,400.0,0.08,64.453125,333,80,5,False,0.932666791071891,0.9326408031838607,0.03315787296368174,0.009379664616408857,0.9751783407639514,0.9753447743642534,0.01826244056669183,0.0063927850690548285,0.9563797350679806,-0.00016643360030199617,19.456953156127053,92.32100170931876,0.9326670729171519,0.368896484375,0.5181755829903978,0.5322181148492222,0.38244052409131574,0.5529536836906699,0.001216391242893033,64.09901833534241
P825_h400_pad0.12_s7777,stage1,825.0,400.0,0.12,96.6796875,7777,80,5,False,0.9323565702652312,0.9323377870184516,0.031372773639647945,0.007174158624733929,0.9708847192828334,0.9710413084520859,0.017759757099824223,0.011198934448089858,0.9602971068564604,-0.00015658916925254118,19.450631567670076,83.90056079020175,0.9323561631650512,0.369140625,0.6297376093294461,0.26602104384276776,0.2954684201426394,0.33727824382342503,0.0008117651830539592,70.45995092391968
P825_h400_pad0.12_s333,stage1,825.0,400.0,0.12,96.6796875,333,80,5,False,0.9321780953403335,0.9322037789147979,0.03121487696165958,0.0071735943943234,0.9705922502707808,0.970749136097562,0.019160045962475485,0.010090817939962533,0.9604484052440424,-0.00015688582678119456,19.447835861770837,84.68195057027222,0.9321778018601469,0.36651611328125,0.6252603082049146,0.2844864780673486,0.27857135232238267,0.33001400318484203,0.0011376971436637855,69.97279000282288
P825_h400_pad0.08_s7777,stage1,825.0,400.0,0.08,64.453125,7777,80,5,False,0.9315481184541474,0.9315589968609624,0.03302144682269931,0.00940591390534654,0.9739863575890082,0.9741497294217374,0.015783009090536898,0.010067261487725701,0.95643947125392,-0.00016337183272918665,19.434384279795697,91.1409215190971,0.9315484432322217,0.37139892578125,0.5216906721536351,0.5313507384307429,0.5060034004322232,0.530112156936435,0.0011848992695680548,67.34287691116333
P825_h400_pad0.12_s1001,stage1,825.0,400.0,0.12,96.6796875,1001,80,5,False,0.9313819690271607,0.931371241797736,0.030770576931612656,0.007136328354422989,0.9692781470837718,0.9694353966658911,0.021228549088060697,0.0093360542460482,0.9608916125881051,-0.00015724958211926765,19.430467293258598,85.95014426610715,0.931381925755019,0.3646240234375,0.6220324864639734,0.1901490966112707,0.21337908225006846,0.22706110609017832,0.000787484043350628,70.24355959892273
P850_h500_pad0.08_s1001,stage1,850.0,500.0,0.08,66.40625,1001,80,5,False,0.9313314470161653,0.9313437321118254,0.022320493182474338,0.0058799565602104505,0.9595441818545102,0.9597021663382225,0.027615589789667667,0.012682243872109773,0.9706105771094544,-0.00015798448371229235,19.429893380270578,99.60214706008898,0.9313309306837319,0.28668212890625,0.4026920438957476,0.4173172835353476,0.292551781062666,0.4333352439867695,0.0007995010768885899,82.4314661026001
P825_h500_pad0.12_s1001,stage1,825.0,500.0,0.12,96.6796875,1001,80,5,False,0.9303786216840759,0.9303609702765021,0.02218307625713216,0.006280046764438345,0.9588240932980726,0.9589835439738571,0.017364985743722763,0.02365147028242006,0.9703145517300616,-0.00015945067578448935,19.409390791355065,87.03247114202675,0.9303772712254724,0.3328857421875,0.5678883798417326,0.41426701741288996,0.22167148476529214,0.4160336225164657,0.0014187702088777504,103.72663712501526
P850_h500_pad0.08_s333,stage1,850.0,500.0,0.08,66.40625,333,80,5,False,0.9288152263669178,0.9288373848571219,0.02297139870607269,0.006627301876205872,0.9584360854394005,0.9585984978205266,0.027872375627538103,0.013529126551935227,0.9691177105787822,-0.00016241238112613132,19.377605424434552,113.59688991067729,0.9288142519549732,0.28594970703125,0.4016632373113855,0.5255479429524156,0.512386593642649,0.6146555898470321,0.001060812915277192,100.11953902244568
P850_h500_pad0.12_s1001,stage1,850.0,500.0,0.12,99.609375,1001,80,5,False,0.927012421086579,0.9270201104059833,0.022658432006190617,0.006528923737324305,0.9562074661494984,0.9563613271022744,0.021527910586390375,0.022110762311335286,0.9694759173330364,-0.0001538609527760304,19.33969305372664,99.58753141289807,0.9270120948114486,0.2930908203125,0.5,0.4405516968351612,0.2738042421428314,0.4662718228079943,0.001295499977188257,82.21301507949829
P750_h600_pad0.12_s333,stage1,750.0,600.0,0.12,87.890625,333,80,5,False,0.9254596522125101,0.9249626590212768,0.03128195352300359,0.02428289326426818,0.9805275058085486,0.9807688754792714,0.017271213808229425,0.0019599107124992606,0.9433316796743476,-0.0002413696707227464,19.296770060140492,102.857341898303,0.925456366492454,0.29046630859375,0.49552269887546857,0.6664915368486696,0.48208066241729375,0.6912535549283582,0.0017142459927830948,92.59152746200562
P825_h600_pad0.12_s333,stage1,825.0,600.0,0.12,96.6796875,333,80,5,False,0.9226288669655182,0.9225456969712268,0.030577235401641825,0.029303589203665124,0.9824265215765338,0.9826174502299871,0.004911740033146896,0.012470809736865963,0.9390480373949859,-0.00019092865345338161,19.24634687768116,96.24178383783186,0.9226271411646185,0.31268310546875,0.5334235735110371,0.7060708279303608,0.34051092038612474,0.7126749077293018,0.0015506296641863261,141.054217338562
P825_h400_pad0.08_s1001,stage1,825.0,400.0,0.08,64.453125,1001,80,5,False,0.9204813177813285,0.9205030440200851,0.03176831213039064,0.008809143755508448,0.9610804999059842,0.9612432972087681,0.025056847333822983,0.013699855457408937,0.9577793370171712,-0.00016279730278390137,19.20373261220091,93.07522606557323,0.9204806266852207,0.35870361328125,0.503858024691358,0.5824849807205472,0.20624914600139788,0.5848172622447971,0.000860783928210594,70.15886044502258
P750_h600_pad0.08_s333,stage1,750.0,600.0,0.08,58.59375,333,80,5,False,0.9205142475711711,0.9204411294264532,0.03616185915734143,0.021355485003944335,0.977958473587739,0.9781905758743932,0.012013475297154963,0.009795948828451773,0.9411863123898526,-0.00023210228665415666,19.20244093662349,99.4271353584093,0.9205121648009467,0.36395263671875,0.5112311385459534,0.8501708896884521,0.4459744102261422,0.8595870058115821,0.0017584480756208172,92.93895506858826
P750_h600_pad0.08_s1001,stage1,750.0,600.0,0.08,58.59375,1001,80,5,False,0.9160863002107468,0.9160657050319925,0.036878906626439445,0.0184884583015347,0.9714330699599665,0.9716624992341595,0.013210779383801018,0.015126721382039528,0.943004447099731,-0.00022942927419300485,19.111159891240774,102.25325331716189,0.9160832357951444,0.34515380859375,0.48482510288065844,0.9602165980232601,0.3208079984714987,0.9649929105533437,0.0023080276974167565,83.73118090629578
P850_h300_pad0.12_s333,stage1,850.0,300.0,0.12,99.609375,333,80,5,False,0.9122762932732847,0.9122767529554648,0.04362755035942487,0.007847846880125426,0.963752150195015,0.9639027365265249,0.006211048765875501,0.029886214707599577,0.946588552638628,-0.0001505863315098832,19.03211395757356,95.98484820935138,0.9122762897486958,0.3228759765625,0.5508121615993337,0.4041373926477305,0.2736023082183004,0.4224333148344737,0.00012302850956039658,71.49655771255493
P850_h300_pad0.12_s1001,stage1,850.0,300.0,0.12,99.609375,1001,80,5,False,0.9119855544557399,0.9119786660972706,0.044052909258345846,0.007926415129730168,0.9639579904853467,0.9641084762931288,0.006373852589842051,0.029517671117029184,0.9460771891502193,-0.00015048580778209697,19.025895205384572,95.84600100415827,0.9119854459843706,0.32281494140625,0.5507080383173678,0.29298213734617456,0.185502134178657,0.30685124370434635,0.0003719450252844827,70.38766598701477
P850_h300_pad0.12_s7777,stage1,850.0,300.0,0.12,99.609375,7777,80,5,False,0.9118646289211879,0.9118606693174172,0.043343224352114344,0.007805054293074045,0.9630089479626055,0.9631590153599922,0.005885715062527326,0.030955269577480498,0.9468870162074813,-0.0001500673973866551,19.02343353116836,95.12404233520357,0.9118645458753211,0.32373046875,0.5522698875468555,0.3922322702763681,0.3407913778216619,0.4245483803998678,0.0004578908529679433,70.922123670578
P750_h400_pad0.04_s333,stage1,750.0,400.0,0.04,29.296875,333,80,5,False,0.9045325130254808,0.904555080455223,0.04558172354550761,0.014836101707649757,0.9649729057083805,0.9651647318534523,0.02304149804531042,0.011793770101237293,0.9373890967344777,-0.00019182614507184947,18.871022764038745,74.13419811706632,0.9045324148059336,0.50323486328125,0.5921430623384085,0.43914023724599155,0.2807768829062144,0.4495129093475549,0.0010719893353137132,68.63387846946716
P850_h300_pad0.08_s1001,stage1,850.0,300.0,0.08,66.40625,1001,80,5,False,0.8905922785074728,0.8905573882745053,0.04899212036093351,0.009472088723293812,0.9490215973587325,0.9491712219745622,0.010234625371536691,0.04059415265390113,0.9383952807323439,-0.0001496246158296799,18.578999897224048,92.08294914468377,0.890591892962516,0.34661865234375,0.4868827160493827,0.825504696031205,0.22752950964692265,0.8280604442389816,0.00036510495735828736,63.37552332878113
P850_h300_pad0.08_s333,stage1,850.0,300.0,0.08,66.40625,333,80,5,False,0.8890978721703406,0.8890895395601934,0.04826293644542342,0.009405354828914428,0.9467578308345312,0.9469067494048297,0.008676367641888328,0.044416882953282104,0.9390886566805522,-0.00014891857029841749,18.548377321440157,92.79826624711953,0.8890976289104381,0.34332275390625,0.48225308641975306,0.8810095219563622,0.2987380866987744,0.881816307401944,0.00020117151429431803,73.14731621742249
P750_h400_pad0.08_s333,stage1,750.0,400.0,0.08,58.59375,333,80,5,False,0.881046457280853,0.8810564121157973,0.04229168159899159,0.007407263807044528,0.9307553575218335,0.9309208544277726,0.02676056961008018,0.04231857596214714,0.9466036429396859,-0.00016549690593914423,18.38078848783001,70.28315902534197,0.8810455193030671,0.4830322265625,0.6784979423868313,0.2631432633629887,0.2592732986960475,0.3090742861013144,0.0009204441055501156,69.17396521568298
P825_h300_pad0.08_s333,stage1,825.0,300.0,0.08,64.453125,333,80,5,False,0.8809012784884998,0.8809002637793584,0.056936288843544104,0.027810392798960925,0.9656469454218635,0.9658295441965475,0.022722106316390225,0.011448349487062241,0.9122384407217468,-0.00018259877468407293,18.377530887629455,86.25081252307216,0.8809015051017708,0.4366455078125,0.6133401920438958,0.6106866761134088,0.2535738402906176,0.6120584936625938,0.0006324869782299674,72.55836725234985
P825_h300_pad0.12_s1001,stage1,825.0,300.0,0.12,96.6796875,1001,80,5,False,0.8808860207284263,0.8808964937811979,0.04463860453939194,0.008098924639898133,0.933634022960488,0.9337808776681435,0.0034792427863171967,0.06273987954553924,0.9435137024976199,-0.00014685470765551933,18.377452237116465,84.3052830877293,0.8808859863969304,0.3634033203125,0.6199500208246564,0.20077110335460063,0.17579418142353723,0.23613731821423203,0.00023593392142335913,64.57239246368408
P825_h300_pad0.12_s333,stage1,825.0,300.0,0.12,96.6796875,333,80,5,False,0.8806720644061391,0.8806511497495991,0.04477578829150741,0.008131471423004032,0.9335584094641106,0.9337050803677449,0.003348965102682968,0.06294595452957209,0.9433273170932264,-0.00014667090363429391,18.372333817127057,84.64256266927529,0.8806719152057048,0.36431884765625,0.6215118700541441,0.27088581631686665,0.27820837421014133,0.31967901475456806,0.0004903561125270404,72.18700289726257
P825_h300_pad0.12_s7777,stage1,825.0,300.0,0.12,96.6796875,7777,80,5,False,0.8805461036431818,0.8805479464968088,0.045333130762255494,0.008171235428207706,0.934052312687272,0.9341986311543142,0.0030224879475414536,0.06277888089814432,0.942718019682933,-0.00014631846704227236,18.370180768656255,83.23810627302993,0.8805459331193068,0.36578369140625,0.6240108288213244,0.21067775385320126,0.30073051943482465,0.33235855022383787,0.0003348974549789942,67.56973838806152
