lambda_nm,R,T,A_closure_residual,R_6000fs_window,T_6000fs_window,R_12000fs_window,T_12000fs_window,R_18000fs_window,T_18000fs_window
1200.00,0.086579,0.912498,0.000923,0.086402,0.912945,0.086613,0.912502,0.086574,0.912505
1202.00,0.081362,0.917727,0.000911,0.081479,0.917033,0.081388,0.917681,0.081368,0.917740
1204.00,0.076183,0.922920,0.000897,0.076143,0.923876,0.076198,0.922819,0.076182,0.922946
1206.00,0.071077,0.928051,0.000872,0.071041,0.926995,0.071076,0.927910,0.071079,0.928039
1208.00,0.066090,0.933067,0.000844,0.066207,0.934052,0.066073,0.932933,0.066095,0.933083
1210.00,0.061282,0.937908,0.000810,0.061112,0.937243,0.061255,0.937852,0.061279,0.937898
1212.00,0.056724,0.942495,0.000781,0.056913,0.942558,0.056701,0.942566,0.056724,0.942462
1214.00,0.052505,0.946726,0.000769,0.052343,0.947324,0.052500,0.946884,0.052506,0.946740
1216.00,0.048717,0.950528,0.000754,0.048800,0.949471,0.048736,0.950614,0.048714,0.950561
1218.00,0.045446,0.953848,0.000706,0.045470,0.954862,0.045469,0.953736,0.045446,0.953835
1220.00,0.042699,0.956648,0.000653,0.042584,0.956333,0.042699,0.956488,0.042702,0.956610
1222.00,0.040298,0.959062,0.000640,0.040446,0.958354,0.040276,0.959135,0.040299,0.959069
1224.00,0.037749,0.961643,0.000608,0.037655,0.962843,0.037742,0.961806,0.037750,0.961666
1226.00,0.034242,0.965200,0.000558,0.034220,0.964653,0.034261,0.965104,0.034241,0.965209
1228.00,0.028994,0.970438,0.000568,0.029104,0.969788,0.028998,0.970337,0.028990,0.970469
1230.00,0.021990,0.977474,0.000536,0.021905,0.978452,0.021977,0.977590,0.021990,0.977471
1232.00,0.014353,0.985097,0.000550,0.014344,0.984963,0.014354,0.985114,0.014352,0.985102
1234.00,0.007666,0.991798,0.000536,0.007722,0.991139,0.007674,0.991697,0.007666,0.991792
1236.00,0.003081,0.996400,0.000519,0.003051,0.996886,0.003077,0.996472,0.003081,0.996396
1238.00,0.000912,0.998598,0.000490,0.000916,0.998781,0.000911,0.998600,0.000913,0.998592
1240.00,0.000703,0.998836,0.000461,0.000703,0.998394,0.000705,0.998786,0.000704,0.998834
