lambda_nm,R,T,A_closure_residual,R_3000fs_window,T_3000fs_window
1200.00,0.089934,0.907107,0.002958,0.089551,0.910892
1202.00,0.084490,0.916725,-0.001215,0.084083,0.913239
1204.00,0.078885,0.918407,0.002708,0.079195,0.917655
1206.00,0.073984,0.926538,-0.000522,0.074142,0.925312
1208.00,0.068377,0.930266,0.001358,0.068710,0.932895
1210.00,0.064030,0.934681,0.001290,0.063459,0.937268
1212.00,0.058958,0.941743,-0.000700,0.058933,0.939116
1214.00,0.055093,0.942124,0.002783,0.055096,0.941571
1216.00,0.051345,0.949634,-0.000979,0.051605,0.946407
1218.00,0.048132,0.950710,0.001158,0.048397,0.952250
1220.00,0.046157,0.951899,0.001944,0.045777,0.956296
1222.00,0.044084,0.957479,-0.001563,0.044001,0.957114
1224.00,0.042898,0.955055,0.002047,0.042802,0.955909
1226.00,0.041289,0.957264,0.001447,0.041323,0.955466
1228.00,0.038097,0.963520,-0.001617,0.038506,0.958141
1230.00,0.033700,0.964570,0.001731,0.033727,0.964461
1232.00,0.027404,0.970748,0.001848,0.027245,0.972998
1234.00,0.020111,0.981091,-0.001202,0.020086,0.981477
1236.00,0.013599,0.985783,0.000618,0.013468,0.988084
1238.00,0.008353,0.989602,0.002044,0.008287,0.992176
1240.00,0.004810,0.995466,-0.000277,0.004909,0.994141
1242.00,0.003119,0.997328,-0.000447,0.003164,0.994919
1244.00,0.002497,0.995998,0.001504,0.002485,0.995451
1246.00,0.002972,0.996156,0.000872,0.002984,0.995548
1248.00,0.011552,0.989333,-0.000885,0.011652,0.987802
1250.00,0.072605,0.927764,-0.000368,0.072803,0.927314
1252.00,0.291762,0.707327,0.000911,0.291710,0.708552
1254.00,0.555610,0.443787,0.000603,0.554956,0.445195
1256.00,0.672607,0.327529,-0.000137,0.671715,0.328129
1258.00,0.713775,0.285941,0.000283,0.713342,0.286063
1260.00,0.740655,0.258417,0.000928,0.740488,0.258537
1262.00,0.768607,0.230914,0.000479,0.767824,0.231035
1264.00,0.798207,0.202203,-0.000410,0.796720,0.202244
1266.00,0.827102,0.173275,-0.000376,0.826001,0.173305
1268.00,0.854123,0.145347,0.000530,0.854365,0.145418
1270.00,0.879561,0.119381,0.001059,0.880844,0.119436
1272.00,0.903583,0.095876,0.000541,0.904817,0.095870
1274.00,0.925372,0.075020,-0.000392,0.925947,0.074988
1276.00,0.943810,0.056896,-0.000705,0.944113,0.056882
1278.00,0.958569,0.041538,-0.000107,0.959341,0.041533
1280.00,0.970327,0.028879,0.000794,0.971754,0.028851
1282.00,0.980059,0.018749,0.001192,0.981533,0.018705
1284.00,0.988246,0.010959,0.000795,0.988875,0.010947
1286.00,0.994698,0.005363,-0.000061,0.993986,0.005419
1288.00,0.998905,0.001863,-0.000768,0.997050,0.001971
1290.00,1.000549,0.000358,-0.000907,0.998234,0.000458
1292.00,0.999729,0.000711,-0.000440,0.997683,0.000747
1294.00,0.996895,0.002756,0.000349,0.995525,0.002716
1296.00,0.992582,0.006331,0.001087,0.991865,0.006253
1298.00,0.987205,0.011310,0.001485,0.986795,0.011254
1300.00,0.980951,0.017612,0.001437,0.980404,0.017621
1302.00,0.973814,0.025186,0.001001,0.972771,0.025260
1304.00,0.965683,0.033985,0.000331,0.963973,0.034081
1306.00,0.956443,0.043956,-0.000399,0.954089,0.043994
1308.00,0.946026,0.055022,-0.001048,0.943194,0.054909
1310.00,0.934447,0.067088,-0.001535,0.931364,0.066739
1312.00,0.921783,0.080048,-0.001831,0.918679,0.079395
1314.00,0.908157,0.093791,-0.001948,0.905212,0.092787
1316.00,0.893712,0.108212,-0.001923,0.891039,0.106827
1318.00,0.878590,0.123214,-0.001804,0.876227,0.121428
1320.00,0.862919,0.138714,-0.001633,0.860839,0.136505
1322.00,0.846816,0.154641,-0.001457,0.844926,0.151980
1324.00,0.830376,0.170942,-0.001318,0.828520,0.167778
1326.00,0.813674,0.187590,-0.001264,0.811627,0.183838
1328.00,0.796762,0.204589,-0.001351,0.794202,0.200119
1330.00,0.779665,0.222010,-0.001674,0.776112,0.216616
1332.00,0.762350,0.240057,-0.002407,0.757036,0.233405
1334.00,0.744680,0.259262,-0.003942,0.736194,0.250750
1336.00,0.726089,0.281197,-0.007286,0.711372,0.269516
1338.00,0.704070,0.312545,-0.016615,0.673583,0.293539
1340.00,0.638286,0.455815,-0.094101,0.508897,0.383462
1342.00,0.709202,0.249521,0.041277,0.793525,0.269980
1344.00,0.682127,0.297822,0.020051,0.717913,0.302304
1346.00,0.664802,0.321798,0.013400,0.687574,0.321167
1348.00,0.650191,0.340459,0.009349,0.665893,0.336934
1350.00,0.637206,0.356788,0.006006,0.647657,0.351329
1352.00,0.625526,0.371577,0.002897,0.631422,0.364887
1354.00,0.614946,0.385024,0.000031,0.616693,0.377822
1356.00,0.605246,0.397122,-0.002369,0.603319,0.390220
1358.00,0.596126,0.407820,-0.003945,0.591286,0.402090
1360.00,0.587259,0.417118,-0.004377,0.580629,0.413378
1362.00,0.578372,0.425149,-0.003521,0.571383,0.423976
1364.00,0.569366,0.432211,-0.001576,0.563547,0.433722
1366.00,0.560447,0.438710,0.000843,0.557065,0.442413
1368.00,0.552153,0.445027,0.002820,0.551814,0.449831
1370.00,0.545235,0.451299,0.003466,0.547617,0.455768
1372.00,0.540379,0.457233,0.002387,0.544280,0.460058
1374.00,0.537865,0.462079,0.000056,0.541655,0.462616
1376.00,0.537365,0.464860,-0.002225,0.539710,0.463431
1378.00,0.538129,0.464838,-0.002967,0.538627,0.462552
1380.00,0.539609,0.461929,-0.001538,0.538879,0.460003
1382.00,0.542203,0.456663,0.001133,0.541278,0.455632
1384.00,0.547619,0.449465,0.002916,0.547027,0.448917
1386.00,0.558423,0.439448,0.002128,0.557767,0.438650
1388.00,0.577094,0.423576,-0.000670,0.575726,0.422583
1390.00,0.605627,0.396945,-0.002572,0.603936,0.397007
1392.00,0.645844,0.355212,-0.001057,0.645511,0.357456
1394.00,0.691233,0.306658,0.002110,0.692845,0.309679
1396.00,0.669612,0.328886,0.001503,0.670009,0.329476
1398.00,0.491105,0.508045,0.000850,0.491724,0.508082
1400.00,0.373912,0.625137,0.000951,0.376694,0.624394
