it,L,batch_Rc_mean,batch_Rc_min,batch_co_mean,batch_A_mean
0,0.29973161220550537,0.11437249574810267,0.009765763767063618,0.14592048451304435,0.5672446489334106
1,0.325344979763031,0.08159732390195132,0.009319224394857883,0.17091911733150483,0.5587088227272033
2,0.26401424407958984,0.14686423353850842,0.008619537577033043,0.13373610228300095,0.5232646346092225
3,0.2634923458099365,0.14679507799446584,0.00843728519976139,0.13467167019844056,0.5202886700630188
4,0.2824704647064209,0.13324822224676608,0.008507492020726204,0.1338093802332878,0.5734907627105713
5,0.2927837669849396,0.12101311311125755,0.008729349821805954,0.14434790015220642,0.5785171627998352
6,0.3121522068977356,0.09071806967258453,0.008968254551291466,0.15178751945495605,0.5060084700584412
7,0.3215669095516205,0.0799915038049221,0.008839605376124382,0.12870339751243592,0.5213848710060119
8,0.32062989473342896,0.08086838312447071,0.00866920966655016,0.1269165962934494,0.5200118660926819
9,0.3197208046913147,0.08170702755451202,0.008493136614561081,0.12512562572956085,0.5185892820358277
10,0.3202431797981262,0.07959229126572609,0.008293624967336655,0.11535381376743317,0.5123466551303864
11,0.3035378158092499,0.09678326435387134,0.008310006000101566,0.1384561151266098,0.479972118139267
12,0.29181602597236633,0.11736048366874456,0.00821662973612547,0.152159421145916,0.5332797527313232
13,0.32849958539009094,0.07005574516952037,0.00811088178306818,0.0927918165922165,0.5272562742233277
14,0.3209385871887207,0.07492822930216789,0.008120734244585037,0.10111174136400222,0.4821713626384735
15,0.3377077579498291,0.058230215683579445,0.006957115605473518,0.13254458382725715,0.5175495982170105
16,0.3228582441806793,0.07570399753749371,0.008155501447618008,0.08576883375644684,0.5228990077972412
17,0.32114100456237793,0.07380131781101226,0.008296556770801544,0.09725300148129463,0.5016579866409302
18,0.29331228137016296,0.10717617459595204,0.008530144579708576,0.1111966997385025,0.49530851244926455
19,0.3302881717681885,0.0631803990341723,0.0074287657625973225,0.11206166446208954,0.48411169052124026
20,0.27293482422828674,0.14553115516901016,0.009060557931661606,0.08943635821342469,0.4699873387813568
21,0.2776618003845215,0.13758645597845315,0.007707488257437944,0.09854962453246116,0.4465430438518524
22,0.3199300467967987,0.0757419977337122,0.00781552866101265,0.11034723222255707,0.5112877428531647
23,0.2675803005695343,0.14730744883418084,0.00958632118999958,0.08952973559498786,0.4494588732719421
24,0.3106519877910614,0.08707104921340943,0.00807158648967743,0.11398782730102539,0.5025564730167389
25,0.28335216641426086,0.10848483517765999,0.009805971756577492,0.13165609836578368,0.4461216926574707
26,0.2869736850261688,0.1176633395254612,0.008260976523160934,0.1068606823682785,0.44413888454437256
27,0.26516738533973694,0.14904741905629634,0.00992573332041502,0.0884060800075531,0.44723187685012816
28,0.290197491645813,0.1059441439807415,0.00994827039539814,0.13169082403182983,0.4841535687446594
29,0.24941392242908478,0.16548187658190727,0.00989418663084507,0.11966777741909027,0.4616926431655884
30,0.29083797335624695,0.11218489538878203,0.009704417549073696,0.14076631218194963,0.5348293840885162
31,0.22562937438488007,0.19909252598881721,0.00951649434864521,0.09301927089691162,0.44049965143203734
32,0.2797171473503113,0.1092179361730814,0.005291947163641453,0.07114159278571605,0.4343663275241852
33,0.3065578043460846,0.0701271473430097,0.005205023568123579,0.10407372973859311,0.46000603437423704
34,0.281604528427124,0.10240269247442484,0.005122245289385319,0.06968125924468041,0.408226215839386
35,0.20956625044345856,0.1933030027896166,0.005040635354816914,0.10198893621563912,0.377915096282959
36,0.21446968615055084,0.1869747441262007,0.004959701560437679,0.10445797145366668,0.3676018714904785
37,0.22951313853263855,0.17031921707093717,0.004878479056060314,0.0795915387570858,0.4055718958377838
38,0.24436867237091064,0.1415487017482519,0.00480253528803587,0.11840583086013794,0.38207671642303465
39,0.3003843426704407,0.060286994092166424,0.004725542850792408,0.10386423580348492,0.3695158243179321
40,0.23715737462043762,0.1486543133854866,0.0046561844646930695,0.11514502838253975,0.38596497774124144
41,0.27801254391670227,0.10700797121971846,0.004584364127367735,0.0725789450109005,0.4454110324382782
42,0.2967110276222229,0.08178161848336458,0.004505590535700321,0.09390057306736707,0.492973130941391
43,0.14470979571342468,0.2920925343409181,0.004429296590387821,0.0667588071897626,0.3520522713661194
44,0.2495294064283371,0.13681154120713473,0.004354377277195454,0.10916768088936805,0.44044033288955686
45,0.26315245032310486,0.11443332564085722,0.00428385753184557,0.06538626104593277,0.37420791387557983
46,0.2890183925628662,0.08240659832954407,0.004209842067211866,0.05704176314175129,0.42297303676605225
47,0.26152268052101135,0.12135061733424664,0.004133445210754871,0.06700207069516181,0.41894301772117615
48,0.18874378502368927,0.22113375440239907,0.004055926576256752,0.07937619648873806,0.350976026058197
49,0.17049036920070648,0.24618135932832957,0.0039808908477425575,0.07850076630711555,0.34671873450279234
50,0.1905597746372223,0.20199464112520218,0.003917533904314041,0.11013542115688324,0.33629198670387267
51,0.14224368333816528,0.28798605762422086,0.0038520535454154015,0.06652230583131313,0.3037330448627472
52,0.23291561007499695,0.10099869836121797,0.0036422316916286945,0.07000155088026076,0.34973459839820864
53,0.2650427222251892,0.05969817489385605,0.0036223996430635452,0.04073746968060732,0.4047472417354584
54,0.21275785565376282,0.12141291946172714,0.0036046430468559265,0.08875993085093796,0.36447152495384216
55,0.2325662076473236,0.09800648083910346,0.0035859120544046164,0.03817278724163771,0.37139917016029356
56,0.18326951563358307,0.17132602147758008,0.0035688281059265137,0.016976272384636105,0.31738520562648775
57,0.15955346822738647,0.19038844732567667,0.0035455606412142515,0.07996532628312707,0.33565459251403806
58,0.12509679794311523,0.24044643435627222,0.003519865218549967,0.06746022636070848,0.29501705765724184
59,0.22951973974704742,0.0914114810526371,0.003498203121125698,0.021949457144364713,0.36080108880996703
60,0.21133103966712952,0.11219049580395221,0.0034707244485616684,0.06292970501817763,0.31938650608062746
61,0.14077429473400116,0.2107639447785914,0.0034432264510542154,0.0845613930374384,0.31310425996780394
62,0.24425943195819855,0.06088284151628613,0.003422988811507821,0.09023224215488881,0.3682660639286041
63,0.20554053783416748,0.11876820903271437,0.0033923075534403324,0.018521424336358904,0.34508551359176637
64,0.1820216327905655,0.15573283131234347,0.003361737122759223,0.044302018149755894,0.36191041171550753
65,0.1504942923784256,0.18875418230891228,0.0033330004662275314,0.11389337107539177,0.29327706098556516
66,0.16870608925819397,0.15794851016253234,0.00330939469859004,0.05905473930761218,0.3496429085731506
67,0.08594265580177307,0.28241480849683287,0.0032697943970561028,0.08862792733125388,0.2629974395036697
68,0.13081790506839752,0.2116805504076183,0.0038558817468583584,0.057691100460942835,0.3582853555679321
69,0.23952464759349823,0.0457597840577364,0.003833725117146969,0.10711621497757733,0.3412876307964325
70,0.18034309148788452,0.12747245584614575,0.003797361860051751,0.13788242746377363,0.360757315158844
71,0.1898280829191208,0.12078107725828886,0.0037643583491444588,0.05237633641809225,0.31757301092147827
72,0.1328626424074173,0.2011825033929199,0.0037272467743605375,0.07880488822702318,0.35387085676193236
73,0.21448275446891785,0.08649215213954449,0.003697643056511879,0.06014922035392374,0.3595878303050995
74,0.20727688074111938,0.09254529569298028,0.0036609326489269733,0.08148857697378845,0.34711265563964844
75,0.1658697873353958,0.1517530652694404,0.003626627381891012,0.10362242929404601,0.36051470041275024
76,0.2275422215461731,0.058695892617106435,0.0035877032205462456,0.08734092002268881,0.345563942193985
77,0.15578363835811615,0.16912395618855952,0.003554755821824074,0.061048045830102635,0.3283297806978226
78,0.08651605993509293,0.25851311767473817,0.003521642182022333,0.11482522599399089,0.2961060702800751
79,0.1571497619152069,0.14984404034912585,0.0034901322796940804,0.15397071902407333,0.30022342801094054
