lambda_nm,R,T,A
1200.00,0.126233,0.566713,0.307054
1202.00,0.119018,0.569325,0.311657
1204.00,0.115666,0.577111,0.307224
1206.00,0.115108,0.589159,0.295733
1208.00,0.115727,0.603323,0.280950
1210.00,0.115797,0.616806,0.267396
1212.00,0.113907,0.626868,0.259226
1214.00,0.109247,0.631484,0.259268
1216.00,0.101733,0.629827,0.268440
1218.00,0.091924,0.622404,0.285672
1220.00,0.080814,0.610876,0.308310
1222.00,0.069551,0.597605,0.332844
1224.00,0.059149,0.585039,0.355812
1226.00,0.050290,0.575082,0.374628
1228.00,0.043224,0.568590,0.388187
1230.00,0.037792,0.565123,0.397085
1232.00,0.033545,0.562969,0.403486
1234.00,0.029913,0.559461,0.410627
1236.00,0.026375,0.551478,0.422147
1238.00,0.022601,0.536065,0.441333
1240.00,0.018513,0.511011,0.470476
1242.00,0.014284,0.475309,0.510407
1244.00,0.010267,0.429365,0.560368
1246.00,0.006888,0.374996,0.618116
1248.00,0.004533,0.315157,0.680310
1250.00,0.003449,0.253517,0.743034
1252.00,0.003688,0.193917,0.802396
1254.00,0.005100,0.139833,0.855067
1256.00,0.007369,0.093951,0.898680
1258.00,0.010081,0.057863,0.932056
1260.00,0.012799,0.031970,0.955232
1262.00,0.015143,0.015568,0.969290
1264.00,0.016842,0.007084,0.976074
1266.00,0.017762,0.004418,0.977820
1268.00,0.017901,0.005308,0.976791
1270.00,0.017366,0.007677,0.974957
1272.00,0.016335,0.009892,0.973773
1274.00,0.015011,0.010915,0.974074
1276.00,0.013589,0.010333,0.976077
1278.00,0.012233,0.008281,0.979485
1280.00,0.011061,0.005288,0.983650
1282.00,0.010151,0.002082,0.987767
1284.00,0.009548,-0.000604,0.991056
1286.00,0.009276,-0.002191,0.992914
1288.00,0.009351,-0.002355,0.993004
1290.00,0.009781,-0.001067,0.991286
1292.00,0.010567,0.001445,0.987988
1294.00,0.011700,0.004762,0.983538
1296.00,0.013151,0.008390,0.978459
1298.00,0.014871,0.011854,0.973275
1300.00,0.016790,0.014799,0.968411
1302.00,0.018823,0.017036,0.964141
1304.00,0.020880,0.018566,0.960554
1306.00,0.022885,0.019550,0.957565
1308.00,0.024786,0.020257,0.954957
1310.00,0.026568,0.020999,0.952433
1312.00,0.028251,0.022057,0.949691
1314.00,0.029892,0.023624,0.946483
1316.00,0.031569,0.025770,0.942661
1318.00,0.033364,0.028436,0.938201
1320.00,0.035342,0.031452,0.933206
1322.00,0.037539,0.034580,0.927882
1324.00,0.039946,0.037562,0.922492
1326.00,0.042510,0.040176,0.917314
1328.00,0.045138,0.042275,0.912588
1330.00,0.047713,0.043812,0.908475
1332.00,0.050115,0.044848,0.905037
1334.00,0.052240,0.045532,0.902228
1336.00,0.054022,0.046067,0.899911
1338.00,0.055442,0.046674,0.897884
1340.00,0.056534,0.047544,0.895922
1342.00,0.057377,0.048806,0.893817
1344.00,0.058080,0.050503,0.891417
1346.00,0.058762,0.052590,0.888648
1348.00,0.059529,0.054942,0.885529
1350.00,0.060453,0.057387,0.882159
1352.00,0.061561,0.059735,0.878704
1354.00,0.062823,0.061818,0.875359
1356.00,0.064165,0.063522,0.872313
1358.00,0.065474,0.064808,0.869718
1360.00,0.066626,0.065718,0.867657
1362.00,0.067500,0.066368,0.866132
1364.00,0.068006,0.066928,0.865066
1366.00,0.068100,0.067585,0.864315
1368.00,0.067790,0.068517,0.863693
1370.00,0.067137,0.069854,0.863008
1372.00,0.066243,0.071661,0.862096
1374.00,0.065236,0.073921,0.860844
1376.00,0.064242,0.076543,0.859215
1378.00,0.063371,0.079379,0.857250
1380.00,0.062690,0.082246,0.855064
1382.00,0.062219,0.084962,0.852819
1384.00,0.061922,0.087379,0.850699
1386.00,0.061715,0.089409,0.848876
1388.00,0.061484,0.091039,0.847477
1390.00,0.061101,0.092337,0.846562
1392.00,0.060449,0.093438,0.846114
1394.00,0.059440,0.094525,0.846035
1396.00,0.058035,0.095797,0.846168
1398.00,0.056246,0.097436,0.846318
1400.00,0.054140,0.099573,0.846288
