tag,branch,P,H,parent,stage,iters,lossless,theta0_offset_deg,runtime_s,F0,T0,co0,A0,F_mean,F_min,T_mean,T_max,co_mean,co_max,A_mean,Frot_mean,Frot_min,sha256_rho,n_islands,min_si_nm,min_gap_nm,edge_clear_nm,fill
D2_P278_H230_cont30_D2_P278_H230_mut1~-home-ub39,D2,278.0,230.0,/home/user/ENZ/rtype_perfectR_campaign/mutation/D2_P278_H230_mut1~-home-ub39c580f/rho_binary.npy,cont30,60,False,0.0,667.4248123168945,0.5977634787559509,0.02325577475130558,0.003320080693811178,0.37566065788269043,0.4443652344246705,0.211366668343544,0.06769868622844417,0.16132697463035583,0.02346676285378635,0.10765308141708374,0.4618542641401291,0.32921570787827176,0.13490833342075348,02cff39f905af517e2f8c96522fc97ae34a63eb2e7fe0bbec0accfafb7d5ecd2,1,78.1875,2.8958333333333335,2.702947095146712,0.3194444444444444
D2_P278_H230_cont30_D2_P278_H230_warm~-home-ue54,D2,278.0,230.0,/home/user/ENZ/rtype_perfectR_campaign/ceiling_theta0/D2_P278_H230_warm~-home-ue54944fa/rho_binary.npy,cont30,60,False,0.0,751.2394571304321,0.5015997290611267,0.06722532212734222,0.012371805496513844,0.41880321502685547,0.3314943177004655,0.2089221030473709,0.10664975767334302,0.1398673802614212,0.042992562831689916,0.11637245118618011,0.5175034950176874,0.22649429614345232,0.052450031042099,16cca1a4356608e31257f51697db05a38f34a2cd8daa1c80a2b61102667eca0f,1,78.1875,72.39583333333334,10.636354199257894,0.2790798611111111
D2_P272_H230_cont30_D2_P272_H230_warm~-home-ue54,D2,272.0,230.0,/home/user/ENZ/rtype_perfectR_campaign/ceiling_theta0/D2_P272_H230_warm~-home-ue54944fa/rho_binary.npy,cont30,60,False,0.0,752.4451954364777,0.494793564081192,0.06207413971424103,0.012741919606924057,0.4303904175758362,0.32085394114255905,0.22880502045154572,0.11397903971374035,0.15873229503631592,0.038307497122635446,0.09972362220287323,0.5241439044475555,0.21072667899231115,0.06819599121809006,37422efc431a6f2aa4f04bdb57189b7e4813be35252412fc2febc46442039195,1,76.5,76.5,8.64484633290931,0.29296875
C2_P278_H200_cont30_C2_P278_H200_warm~-home-uad7,C2,278.0,200.0,/home/user/ENZ/rtype_perfectR_campaign/device_C2/C2_P278_H200_warm~-home-uad7868eb/rho_binary.npy,cont30,60,False,-0.4803381760230242,802.180091381073,0.5173661112785339,0.0037087053060531616,0.018038496375083923,0.4607349634170532,0.4383872834344705,0.20816712081432343,0.04556584605597891,0.1837509125471115,0.031049176740149658,0.13253788650035858,0.48356790592273075,0.185988352013131,0.0056219566613435745,3f4cfcbd85a6f045de55ae334a994ccd3c97065a46052012fe46a315eaaab6d6,1,107.14583333333334,95.5625,7.5709329781886225,0.2860243055555556
