label,port,pol,term,re,im,abs,f_ED,f_MD,f_EQ,f_MQ
mut1_615,t,x,bg,-0.642092227935791,0.7437216639518738,0.9825499186335989,0.027659407313908087,0.07745847879384042,0.8234006730199358,0.07148144087231566
mut1_615,t,x,ED,0.059331995635541895,-0.06865895650309836,0.09074325327091991,0.027659407313908087,0.07745847879384042,0.8234006730199358,0.07148144087231566
mut1_615,t,x,MD,0.08906775912090778,0.20280998800181,0.2215061104080751,0.027659407313908087,0.07745847879384042,0.8234006730199358,0.07148144087231566
mut1_615,t,x,EQ,-0.11689638243966341,-0.924867370028177,0.9322255179785184,0.027659407313908087,0.07745847879384042,0.8234006730199358,0.07148144087231566
mut1_615,t,x,ladder,-0.6105888556190048,-0.046994674577591544,0.6123946848600007,0.027659407313908087,0.07745847879384042,0.8234006730199358,0.07148144087231566
mut1_615,t,x,residual,0.5377040054150138,0.04057487063038123,0.5392327118842304,0.027659407313908087,0.07745847879384042,0.8234006730199358,0.07148144087231566
mut1_615,t,x,full,-0.07288485020399094,-0.006419803947210312,0.07316703678555539,0.027659407313908087,0.07745847879384042,0.8234006730199358,0.07148144087231566
mut1_615,r,x,bg,0.02713477611541748,0.18400923907756805,0.18599918317223715,0.027659407313908087,0.07745847879384042,0.8234006730199358,0.07148144087231566
mut1_615,r,x,ED,0.09911293876802883,-0.037027426936498756,0.10580361514037592,0.027659407313908087,0.07745847879384042,0.8234006730199358,0.07148144087231566
mut1_615,r,x,MD,0.015366770154921685,-0.17659331256957908,0.17726064331737953,0.027659407313908087,0.07745847879384042,0.8234006730199358,0.07148144087231566
mut1_615,r,x,EQ,-0.27316382160967834,0.6942045819594871,0.7460150635543161,0.027659407313908087,0.07745847879384042,0.8234006730199358,0.07148144087231566
mut1_615,r,x,ladder,-0.13154933657131035,0.6645930815309773,0.6774874109318875,0.027659407313908087,0.07745847879384042,0.8234006730199358,0.07148144087231566
mut1_615,r,x,residual,0.18393469657382805,0.08919288629586597,0.20441952834671512,0.027659407313908087,0.07745847879384042,0.8234006730199358,0.07148144087231566
mut1_615,r,x,full,0.0523853600025177,0.7537859678268433,0.7556040704199813,0.027659407313908087,0.07745847879384042,0.8234006730199358,0.07148144087231566
mut1_615,t,y,bg,-0.642092227935791,0.7437216639518738,0.9825499186335989,0.4182512133966189,0.47834143693969444,0.06966046898881252,0.033746880674874156
mut1_615,t,y,ED,0.10134581009210819,-0.3936649507352516,0.4065010045013588,0.4182512133966189,0.47834143693969444,0.06966046898881252,0.033746880674874156
mut1_615,t,y,MD,0.6145694372728201,0.1658914054517458,0.6365654338970868,0.4182512133966189,0.47834143693969444,0.06966046898881252,0.033746880674874156
mut1_615,t,y,EQ,-0.2900621442352663,-0.11652239077086031,0.31259161068288044,0.4182512133966189,0.47834143693969444,0.06966046898881252,0.033746880674874156
mut1_615,t,y,ladder,-0.216239124806129,0.3994257278975077,0.4542028965158352,0.4182512133966189,0.47834143693969444,0.06966046898881252,0.033746880674874156
mut1_615,t,y,residual,0.11934736398001816,-0.3546385035153456,0.3741821233899112,0.4182512133966189,0.47834143693969444,0.06966046898881252,0.033746880674874156
mut1_615,t,y,full,-0.09689176082611084,0.044787224382162094,0.10674225397583846,0.4182512133966189,0.47834143693969444,0.06966046898881252,0.033746880674874156
mut1_615,r,y,bg,0.02713477611541748,0.18400923907756805,0.18599918317223715,0.4182512133966189,0.47834143693969444,0.06966046898881252,0.033746880674874156
mut1_615,r,y,ED,0.11510880483519705,-0.6979961671606177,0.7074239791818627,0.4182512133966189,0.47834143693969444,0.06966046898881252,0.033746880674874156
mut1_615,r,y,MD,-0.7487005006128602,-0.1324689085477694,0.7603291730229643,0.4182512133966189,0.47834143693969444,0.06966046898881252,0.033746880674874156
mut1_615,r,y,EQ,0.3574055184614422,0.1080009518230866,0.37336699133879653,0.4182512133966189,0.47834143693969444,0.06966046898881252,0.033746880674874156
