label,theta,alpha,phase_deg,R_cross,F_Ualpha,T
stage3_leader,0.0,0,130.9863216381347,0.5654892921447754,0.5654893517494202,0.058035239577293396
stage3_leader,0.0,15,97.08553146642268,0.5601075887680054,0.5600345134735107,0.05399734154343605
stage3_leader,0.0,30,58.907847591177905,0.549726128578186,0.5494179725646973,0.04896078631281853
stage3_leader,0.0,45,15.564879259887885,0.5412994027137756,0.5412994027137756,0.05952237918972969
stage3_leader,0.0,60,-3.679381924750849,0.549566388130188,0.5492561459541321,0.04905673861503601
stage3_leader,0.0,75,-23.489568678354743,0.5600985884666443,0.5600253343582153,0.05398748070001602
stage3_leader,0.0,90,-49.01650082385425,0.5654309988021851,0.5654309988021851,0.05817528814077377
stage3_leader,0.0,105,-82.90928942895361,0.560134768486023,0.5600621700286865,0.053965747356414795
stage3_leader,0.0,120,-121.06892794441121,0.5496519804000854,0.5493425130844116,0.04905468598008156
stage3_leader,0.0,135,-164.4560654015164,0.5412488579750061,0.5412489175796509,0.05957472324371338
stage3_leader,0.0,150,176.30647093224522,0.5497430562973022,0.5494345426559448,0.04894160479307175
stage3_leader,0.0,165,156.51810151039763,0.5602391958236694,0.5601659417152405,0.05381270870566368
stage3_leader,0.0,180,130.9863216381347,0.5654892921447754,0.5654893517494202,0.058035239577293396
stage3_leader,0.0,-1,-2.002748829007321,8.582651927483703,0.5412489175796509,0.5551305504945608
stage3_leader,30.0,0,144.78521621452808,0.206633061170578,0.2066330462694168,0.1439400613307953
stage3_leader,30.0,15,113.53529076158968,0.21577270328998566,0.19557598233222961,0.15124322474002838
stage3_leader,30.0,30,74.48631380487224,0.22463582456111908,0.17195498943328857,0.18169626593589783
stage3_leader,30.0,45,12.49304010048873,0.25334110856056213,0.20122842490673065,0.17662256956100464
stage3_leader,30.0,60,-1.2980079759304597,0.36458438634872437,0.3606852889060974,0.0761888399720192
stage3_leader,30.0,75,-6.686182315325849,0.4328821897506714,0.4303102195262909,0.01640055701136589
stage3_leader,30.0,90,-23.319780420871982,0.5460681915283203,0.5460680723190308,0.013561820611357689
stage3_leader,30.0,105,-75.2328603113438,0.4329330325126648,0.43036386370658875,0.016370289027690887
stage3_leader,30.0,120,-119.32867770616201,0.36458247900009155,0.3606734573841095,0.0762748271226883
stage3_leader,30.0,135,-160.69819094282377,0.25350362062454224,0.20138806104660034,0.17646028101444244
stage3_leader,30.0,150,179.93263202298334,0.224701389670372,0.1719544678926468,0.1817602813243866
stage3_leader,30.0,165,162.709941200581,0.2158040702342987,0.19562651216983795,0.15118849277496338
stage3_leader,30.0,180,144.78521621452808,0.206633061170578,0.2066330462694168,0.1439400613307953
stage3_leader,30.0,-1,-2.0353564782120945,15.164426797412194,0.1719544678926468,0.28300734093556035
stage3_leader,45.0,0,157.8859151935844,0.17485955357551575,0.17485956847667694,0.0446135550737381
stage3_leader,45.0,15,129.9607687342573,0.16646027565002441,0.16001738607883453,0.05830221250653267
stage3_leader,45.0,30,107.45616285308988,0.1773867905139923,0.1483861356973648,0.10959436744451523
stage3_leader,45.0,45,72.79732413634397,0.18760783970355988,0.1470421552658081,0.1533041000366211
stage3_leader,45.0,60,23.39579188859776,0.2445422261953354,0.24110975861549377,0.07716383039951324
stage3_leader,45.0,75,15.163646627284656,0.34636184573173523,0.34459763765335083,0.019212834537029266
stage3_leader,45.0,90,-1.8591604166045457,0.4509677290916443,0.4509677588939667,0.027250681072473526
stage3_leader,45.0,105,-52.36796878164737,0.3460325598716736,0.3442502021789551,0.019266698509454727
stage3_leader,45.0,120,-106.07322713108071,0.24465003609657288,0.2411915808916092,0.0772387683391571
stage3_leader,45.0,135,-152.3616718532564,0.18753889203071594,0.14699043333530426,0.15336394309997559
stage3_leader,45.0,150,-172.718190070644,0.17731034755706787,0.14833688735961914,0.10956040024757385
stage3_leader,45.0,165,172.42476514390026,0.16641125082969666,0.1599770039319992,0.05833834037184715
stage3_leader,45.0,180,157.8859151935844,0.17485955357551575,0.17485956847667694,0.0446135550737381
stage3_leader,45.0,-1,-2.1503018575325314,14.501913233199428,0.14699043333530426,0.2217373905273584
stage3_leader,50.0,0,166.7872909275118,0.10356998443603516,0.10356998443603516,0.031091233715415
stage3_leader,50.0,15,134.47148030364707,0.09955106675624847,0.09726156294345856,0.040249209851026535
stage3_leader,50.0,30,111.35368052936342,0.13233503699302673,0.1146620362997055,0.0819246843457222
stage3_leader,50.0,45,78.20221675111515,0.16309666633605957,0.13383789360523224,0.12891846895217896
stage3_leader,50.0,60,36.448054581154935,0.19481515884399414,0.1882428079843521,0.0914531871676445
stage3_leader,50.0,75,21.379359536164504,0.3043326139450073,0.30322474241256714,0.03434010595083237
stage3_leader,50.0,90,5.815670436739492,0.4250715374946594,0.4250715374946594,0.030880695208907127
stage3_leader,50.0,105,-43.02085831757951,0.30417880415916443,0.30307385325431824,0.034332506358623505
stage3_leader,50.0,120,-104.3456878748769,0.19485151767730713,0.18828566372394562,0.09149180352687836
stage3_leader,50.0,135,-148.19249706312397,0.16292008757591248,0.13373027741909027,0.1288888305425644
stage3_leader,50.0,150,-165.3137868971083,0.13241298496723175,0.1147102415561676,0.08193645626306534
stage3_leader,50.0,165,-177.532107397669,0.09954339265823364,0.09725470840930939,0.04025907441973686
stage3_leader,50.0,180,166.7872909275118,0.10356998443603516,0.10356998443603516,0.031091233715415
stage3_leader,50.0,-1,-2.143538334220144,15.312438999823314,0.09725470840930939,0.17742271492114434
robust588,0.0,0,81.79381025446382,0.5878227949142456,0.5878227949142456,0.0034927665255963802
robust588,0.0,15,43.539792185054985,0.590914785861969,0.5867690443992615,0.006252441555261612
robust588,0.0,30,2.0867160662097484,0.5734500885009766,0.5689523220062256,0.03827985003590584
robust588,0.0,45,-26.86483984540536,0.5445956587791443,0.5445955991744995,0.0796235203742981
robust588,0.0,60,-47.87694181744557,0.5734039545059204,0.5689042210578918,0.038264285773038864
robust588,0.0,75,-67.08397334846586,0.590849757194519,0.5866865515708923,0.006254258099943399
robust588,0.0,90,-98.17479637487797,0.5877798795700073,0.5877798795700073,0.003494584932923317
robust588,0.0,105,-136.4788319195788,0.5908232927322388,0.5866570472717285,0.00625498965382576
robust588,0.0,120,-177.95557912620978,0.5732089281082153,0.56868976354599,0.03844481706619263
robust588,0.0,135,153.1355049654622,0.5447083711624146,0.544708251953125,0.07944244146347046
robust588,0.0,150,132.11664964388012,0.5731685757637024,0.5686819553375244,0.03838064894080162
robust588,0.0,165,112.94969766290947,0.5908395648002625,0.5866727828979492,0.00627122912555933
robust588,0.0,180,81.79381025446382,0.5878227949142456,0.5878227949142456,0.0034927665255963802
robust588,0.0,-1,-1.978894445808089,8.068316734181689,0.5445955991744995,0.5749802314318143
robust588,30.0,0,81.89047792178701,0.1499737799167633,0.1499737650156021,0.16383004188537598
robust588,30.0,15,51.179768583064444,0.15876001119613647,0.1545315384864807,0.15709948539733887
robust588,30.0,30,25.690311977993506,0.18015660345554352,0.16507713496685028,0.15477366745471954
robust588,30.0,45,-0.47042799842415883,0.22682279348373413,0.1877412647008896,0.12653174996376038
robust588,30.0,60,-14.014933459840863,0.3193815052509308,0.22906063497066498,0.08258141577243805
robust588,30.0,75,-32.76094088226363,0.31495824456214905,0.255907267332077,0.09999624639749527
robust588,30.0,90,-68.29092924650963,0.3216184079647064,0.32161834836006165,0.1043897271156311
robust588,30.0,105,-135.08861521591442,0.3149491548538208,0.2559676468372345,0.10010477155447006
robust588,30.0,120,161.79149932326771,0.3194084167480469,0.2291744202375412,0.08264793455600739
robust588,30.0,135,135.90670795394186,0.22664092481136322,0.18754436075687408,0.12671782076358795
robust588,30.0,150,124.28291443949574,0.18013069033622742,0.16507945954799652,0.1547328382730484
robust588,30.0,165,108.47201688834588,0.15879474580287933,0.15456528961658478,0.15706078708171844
robust588,30.0,180,81.89047792178701,0.1499737799167633,0.1499737650156021,0.16383004188537598
robust588,30.0,-1,-2.1467955126512526,19.9653142498646,0.1499737650156021,0.20047806891111228
robust588,45.0,0,80.86162603654047,0.16285476088523865,0.16285476088523865,0.09114224463701248
robust588,45.0,15,58.39907363009282,0.16374298930168152,0.15932737290859222,0.10112933814525604
robust588,45.0,30,38.13867666489483,0.18615548312664032,0.15751254558563232,0.13119004666805267
robust588,45.0,45,19.70890358594907,0.2166176736354828,0.12807337939739227,0.13112664222717285
robust588,45.0,60,6.192835617141712,0.2985244393348694,0.11485733091831207,0.10054304450750351
robust588,45.0,75,-4.2911039121009455,0.22734452784061432,0.09310372173786163,0.1531708836555481
robust588,45.0,90,-29.5028825915596,0.1326194852590561,0.13261950016021729,0.19755689799785614
robust588,45.0,105,-172.40064091575178,0.22745074331760406,0.093132384121418,0.15325218439102173
robust588,45.0,120,142.78140263658642,0.2985403537750244,0.114866703748703,0.10039160400629044
robust588,45.0,135,120.41210963306611,0.21642659604549408,0.1280427873134613,0.13118408620357513
robust588,45.0,150,112.9775238535881,0.1861109435558319,0.15749724209308624,0.13108249008655548
robust588,45.0,165,101.09571311305558,0.16374364495277405,0.1593109369277954,0.10105647891759872
robust588,45.0,180,80.86162603654047,0.16285476088523865,0.16285476088523865,0.09114224463701248
robust588,45.0,-1,-2.3003605123274076,36.2853383309857,0.09310372173786163,0.13569641743714994
robust588,50.0,0,82.10015106892806,0.14214232563972473,0.14214232563972473,0.061557039618492126
robust588,50.0,15,60.32873184421565,0.14736434817314148,0.1433517336845398,0.0737626701593399
robust588,50.0,30,41.3127919306994,0.18712395429611206,0.15320634841918945,0.11091312766075134
robust588,50.0,45,25.44120985632126,0.23064389824867249,0.11574147641658783,0.11893679946660995
robust588,50.0,60,13.672597548450655,0.3131352365016937,0.08342336118221283,0.09575977176427841
robust588,50.0,75,6.520378619450143,0.23380911350250244,0.06583653390407562,0.14864259958267212
robust588,50.0,90,-10.78299978893849,0.10402819514274597,0.10402819514274597,0.19927282631397247
robust588,50.0,105,165.82463040551187,0.23375937342643738,0.06589148193597794,0.1486806720495224
robust588,50.0,120,135.3554707067868,0.3130127787590027,0.08339206874370575,0.09554082900285721
robust588,50.0,135,115.61387442037548,0.23042050004005432,0.11559899151325226,0.11886477470397949
robust588,50.0,150,111.12051153147753,0.18694378435611725,0.15302488207817078,0.11085902154445648
robust588,50.0,165,101.88927181158434,0.14735952019691467,0.14339600503444672,0.07385105639696121
robust588,50.0,180,82.10015106892806,0.14214232563972473,0.14214232563972473,0.061557039618492126
robust588,50.0,-1,0.4249895860933521,46.190850803919005,0.06583653390407562,0.11624428687187341
