label,bias_nm,dH_nm,F,T,co,A,phase_err_deg
champ585,-11.583333333333334,0.0,0.007376933936029673,0.8525220155715942,0.06573197990655899,0.07436907291412354,156.78645515441895
champ585,-5.791666666666667,0.0,0.2780190706253052,0.34034857153892517,0.15536943078041077,0.2262628972530365,70.1317138671875
champ585,0.0,-10.0,0.5599982142448425,0.008138487115502357,0.04658538103103638,0.38527780771255493,30.664093017578125
champ585,0.0,-5.0,0.5789132118225098,0.0071074762381613255,0.017986483871936798,0.39599284529685974,16.878875732421875
champ585,0.0,0.0,0.5852012634277344,0.01008245162665844,0.005734236445277929,0.3989819586277008,3.403045654296875
champ585,0.0,5.0,0.5807182788848877,0.015603093430399895,0.007870178669691086,0.3958084285259247,8.834991455078125
champ585,0.0,10.0,0.5694487690925598,0.02174619399011135,0.019411567598581314,0.38939353823661804,19.214813232421875
champ585,5.791666666666667,0.0,0.41670188307762146,0.18290361762046814,0.03551503270864487,0.36487939953804016,0.4236297607421875
champ585,11.583333333333334,0.0,0.1850675642490387,0.4239286482334137,0.17675739526748657,0.21424636244773865,81.88064575195312
mut1_615,-11.583333333333334,0.0,0.08895460516214371,0.5528080463409424,0.19542527198791504,0.16281181573867798,125.01419067382812
mut1_615,-5.791666666666667,0.0,0.4392441213130951,0.07023125886917114,0.14590536057949066,0.3446193337440491,59.885658264160156
mut1_615,0.0,-10.0,0.5907602310180664,0.021561728790402412,0.006634891498833895,0.38104307651519775,7.7893524169921875
mut1_615,0.0,-5.0,0.6069206595420837,0.013905627653002739,0.0025567638222128153,0.37661686539649963,2.3245697021484375
mut1_615,0.0,0.0,0.6148555278778076,0.008373677730560303,0.005110917147248983,0.3716597557067871,9.389419555664062
mut1_615,0.0,5.0,0.6172501444816589,0.005374550819396973,0.008873198181390762,0.36850202083587646,13.561126708984375
mut1_615,0.0,10.0,0.6150581240653992,0.006258389912545681,0.011030055582523346,0.3676535189151764,15.201553344726562
mut1_615,5.791666666666667,0.0,0.3298690915107727,0.300902396440506,0.0881781280040741,0.28105029463768005,26.061874389648438
mut1_615,11.583333333333334,0.0,0.18177904188632965,0.43405646085739136,0.17473255097866058,0.2094319462776184,86.24456787109375
