tag,branch,P,H,seed,iters,stage,lossless,order_opt,runtime_s,lamT,lamCo,sha256_rho,F,Faf,T,co,Rtot,A,Rcross,abs_rx,abs_ry,dphi_deg,phase_err_deg,offdiag,n_islands,min_si_nm,min_gap_nm,edge_clear_nm,fill
D2_P278_H260_warm~-home-uf23f1b21,D2,278.0,260.0,warm:/home/user/ENZ/rtype_perfectR_campaign/ceiling_theta0/D2_P278_H260_warm~-home-u792a7aca/rho_binary.npy,100,fabreopt,False,7,188.00392317771912,2.0,2.0,edb50561eb8809500cf645b9efd251b805ff2cf4b8df6ecfdf2336db8ccf7a1c,0.6227671504020691,0.6227671504020691,0.015196156688034534,0.002562742680311203,0.6253299713134766,0.3594738841056824,0.6227671504020691,0.8208738565444946,0.7594906091690063,185.84521484375,5.84521484375,0.00023250046069733799,3,14.479166666666668,8.6875,2.702947095146712,0.3020833333333333
C2_P272_H200_warm~-home-u9a46903e,C2,272.0,200.0,warm:/home/user/ENZ/rtype_perfectR_campaign/device_C2/C2_P272_H200_multi9/rho_binary.npy,100,fabreopt,False,7,171.41875910758972,2.0,2.0,bd1fb63bec4dc21c9aa196f492bfccb9419824eee7bc4737a106105f07d723b6,0.5774273872375488,0.5776942372322083,0.0027999416925013065,0.008303221315145493,0.5859981179237366,0.41120195388793945,0.5776948928833008,0.681235134601593,0.8410588502883911,173.3674774169922,6.6325225830078125,0.032707907259464264,3,31.166666666666668,2.8333333333333335,1.1764607618538179,0.3799913194444444
