tag,branch,P,H,seed,iters,stage,lossless,order_opt,runtime_s,lamT,lamCo,sha256_rho,F,Faf,T,co,Rtot,A,Rcross,abs_rx,abs_ry,dphi_deg,phase_err_deg,offdiag,F_eroded,T_eroded,F_dilated,T_dilated,n_islands,min_si_nm,min_gap_nm,edge_clear_nm,fill
D2_P278_H260_warm~-home-ueb07a38d,D2,278.0,260.0,warm:/home/user/ENZ/rtype_perfectR_campaign/fabreopt/D2_P278_H260_warm~-home-uf23f1b21/rho_binary.npy,110,robust,False,7,588.8697035312653,20.97152000000001,3.2,61c9f813bd5bac8ae58eaac0e9f7e13b284f5bd0ed6f5a117ffce10a6c30beff,0.4761858880519867,0.47618579864501953,0.10725502669811249,0.0389556810259819,0.515141487121582,0.3776034712791443,0.4761858582496643,0.8215471506118774,0.596106767654419,153.22708129882812,26.772918701171875,0.0003344902361277491,0.4454965889453888,0.0933951660990715,0.09026015549898148,0.10783544927835464,3,14.479166666666668,55.020833333333336,4.865402588722262,0.2890625
C2_P272_H200_warm~-home-ucc686039,C2,272.0,200.0,warm:/home/user/ENZ/rtype_perfectR_campaign/fabreopt/C2_P272_H200_warm~-home-u9a46903e/rho_binary.npy,110,robust,False,7,562.2901549339294,2.0,2.0,a7d5c5c66f9d5d73f059b4ff0bf36baa94bbe8765b210c5849c978cbc86a4620,0.5240679979324341,0.5242891907691956,0.0186857208609581,0.00886453501880169,0.5331543684005737,0.4481599032878876,0.5242898464202881,0.6486682295799255,0.8031778335571289,171.44825744628906,8.551742553710938,0.029786642640829086,0.5089529156684875,0.1116226390004158,0.44931408762931824,0.08454084396362305,3,8.5,2.8333333333333335,2.3208691002874247,0.3057725694444444
D2_P278_H230_warm~-home-u5d1a0750,D2,278.0,230.0,warm:/home/user/ENZ/rtype_perfectR_campaign/ceiling_theta0/D2_P278_H230_warm~-home-ue54944fa/rho_binary.npy,110,robust,False,7,604.463803768158,8.192000000000002,2.0,3bfccf729e7ca3edd4d59f733ea21d69833006569f51994edcd918622804dd6f,0.48245880007743835,0.48245885968208313,0.0925537645816803,0.0014152054209262133,0.4838740825653076,0.4235721528530121,0.48245882987976074,0.6638221740722656,0.7260084748268127,183.49595642089844,3.4959564208984375,5.833281193190487e-06,0.3912431299686432,0.22907328605651855,0.23370318114757538,0.30873915553092957,1,78.1875,72.39583333333334,8.58369340459295,0.26171875
D2_P272_H230_warm~-home-ufce040cb,D2,272.0,230.0,warm:/home/user/ENZ/rtype_perfectR_campaign/mutation/D2_P272_H230_mut4~-home-u2538a30c/rho_binary.npy,110,robust,False,7,746.5706734657288,3.2,2.0,176d0880ee9a0bcd99dd80b897996d5c46bcf4b0540bbc51be52277073e24196,0.5393896102905273,0.5393896102905273,0.018425505608320236,0.01764490269124508,0.5570346117019653,0.4245398938655853,0.5393896698951721,0.6938562393188477,0.7953820824623108,160.9780731201172,19.021926879882812,0.00018893301603384316,0.3374541103839874,0.13207589089870453,0.34204375743865967,0.2704653739929199,1,70.83333333333334,59.5,4.436652892562776,0.2795138888888889
D2_P278_H230_warm~-home-ub9081a40,D2,278.0,230.0,warm:/home/user/ENZ/rtype_perfectR_campaign/mutation/D2_P278_H230_mut2~-home-uf7a255ca/rho_binary.npy,110,robust,False,7,658.3959760665894,2.0,2.0,ff0f6be83b99197c1cd0e0f2473fad435174fae8b7211c718f3ec94d6f87ab45,0.5694785118103027,0.569478452205658,0.011408201418817043,0.0052444590255618095,0.5747230052947998,0.41386878490448,0.5694785118103027,0.7129008173942566,0.8007611036300659,171.25975036621094,8.740249633789062,6.278083310462534e-05,0.37288030982017517,0.1460103839635849,0.34689199924468994,0.27151039242744446,1,66.60416666666667,60.8125,5.85496844596986,0.2669270833333333
D2_P278_H230_warm~-home-ubd46a7b9,D2,278.0,230.0,warm:/home/user/ENZ/rtype_perfectR_campaign/mutation/D2_P278_H230_mut22~-home-7e647ec1/rho_binary.npy,110,robust,False,7,724.7212381362915,3.2,3.2,3ba204de49912f383c178bdb2f6e3920a4828c600c231352e0ccf78d36e0a982,0.5878227949142456,0.5878227353096008,0.0034927665255963802,0.0006255983607843518,0.5884484052658081,0.4080588221549988,0.5878227949142456,0.7461040616035461,0.7875440120697021,177.90554809570312,2.094451904296875,0.0002255672006867826,0.36627906560897827,0.10952768474817276,0.32646444439888,0.30610671639442444,1,72.39583333333334,26.0625,3.1184677667037164,0.2825520833333333
