tag,campaign,stage,source,P,H,F,T,co,Rtot,A,Rcross,abs_rx,abs_ry,dphi_deg,phase_err_deg,offdiag,n_islands,fill
A_P253_H215_s11_g96_o9,rtfree,refinement,checkpoint@25,253.0,215.0,0.4107661247253418,0.17340132594108582,0.060072604566812515,0.4708387851715088,0.3557598888874054,0.4107661843299866,0.7316874265670776,0.6374253630638123,-221.2428436279297,41.24284362792969,0.00014730356633663177,1,0.2621527777777778
A_P262_H185_s11_g96_o9,rtfree,refinement,final,262.0,185.0,0.49183401465415955,0.09218929708003998,0.1138044148683548,0.6056385040283203,0.3021721839904785,0.49183401465415955,0.8067808747291565,0.7485863566398621,-231.24925231933594,51.24925231933594,0.0003358316025696695,1,0.2673611111111111
A_P262_H200_s11_g96_o9,rtfree,refinement,checkpoint@50,262.0,200.0,0.4887390732765198,0.09995470196008682,0.06870705634355545,0.5574462413787842,0.3425990641117096,0.4887390732765198,0.7576378583908081,0.735443651676178,-221.07705688476562,41.077056884765625,0.00012329730088822544,1,0.2634548611111111
A_P262_H215_s11_g96_o9,rtfree,refinement,checkpoint@50,262.0,215.0,0.46110910177230835,0.12128490954637527,0.04244860261678696,0.5035578608512878,0.3751572370529175,0.4611092209815979,0.7307786345481873,0.6878067851066589,-213.5988311767578,33.59883117675781,0.00043434416875243187,1,0.2560763888888889
A_P271_H185_s11_g96_o9,rtfree,refinement,final,271.0,185.0,0.5265929698944092,0.08085377514362335,0.08095251023769379,0.6075456142425537,0.31160062551498413,0.5265929698944092,0.8012959361076355,0.7569781541824341,-222.71836853027344,42.71836853027344,0.0001909116399474442,1,0.2582465277777778
A_P271_H200_s11_g96_o9,rtfree,refinement,final,271.0,200.0,0.5262525081634521,0.05434293672442436,0.06451213359832764,0.5907647609710693,0.3548923134803772,0.5262525081634521,0.7529362440109253,0.7839747071266174,-218.53427124023438,38.534271240234375,0.00030804143170826137,1,0.2578125
A_P271_H200_s23_g96_o9,rtfree,refinement,final,271.0,200.0,0.010575697757303715,0.7214518785476685,0.029618483036756516,0.040194183588027954,0.23835396766662598,0.01057569868862629,0.08555412292480469,0.27031251788139343,-34.57100296020508,145.42899703979492,4.988038563169539e-05,1,0.4162326388888889
A_P271_H200_s47_g96_o9,rtfree,refinement,final,271.0,200.0,0.3798014223575592,0.17643678188323975,0.04774203151464462,0.4275434613227844,0.39601975679397583,0.3798013925552368,0.7972726821899414,0.46844762563705444,207.24034118652344,27.240341186523438,7.243741129059345e-05,1,0.2443576388888889
A_P271_H215_s11_g96_o9,rtfree,refinement,checkpoint@50,271.0,215.0,0.4983222484588623,0.0917200893163681,0.01686873659491539,0.5151910781860352,0.39308881759643555,0.4983223080635071,0.7092236280441284,0.7262120842933655,-200.8079376220703,20.807937622070312,0.0003090605605393648,1,0.2495659722222222
B_P235_H185_s11_g96_o9,rtfree,refinement,final,235.0,185.0,0.3594494163990021,0.2201250046491623,0.17218899726867676,0.531638503074646,0.2482364922761917,0.35944944620132446,0.8252588510513306,0.6182433366775513,-248.4676971435547,68.46769714355469,6.589398253709078e-05,1,0.2842881944444444
B_P235_H200_s11_g96_o9,rtfree,refinement,final,235.0,200.0,0.33265420794487,0.2427765130996704,0.14210627973079681,0.4747605323791504,0.2824629545211792,0.3326542377471924,0.7612331509590149,0.6083133220672607,-245.70152282714844,65.70152282714844,0.00011890867608599365,1,0.2821180555555556
B_P235_H215_s11_g96_o9,rtfree,refinement,final,235.0,215.0,0.29188281297683716,0.28560444712638855,0.12555965781211853,0.41744256019592285,0.2969529926776886,0.29188287258148193,0.7341917753219604,0.5439186692237854,-245.3865203857422,65.38652038574219,0.0001116680505219847,1,0.2730034722222222
B_P244_H185_s11_g96_o9,rtfree,refinement,final,244.0,185.0,0.40634968876838684,0.17027775943279266,0.15098583698272705,0.557335615158081,0.2723866105079651,0.40634971857070923,0.8152639269828796,0.6708322763442993,-242.16510009765625,62.16510009765625,0.00011022158287232742,1,0.2790798611111111
B_P244_H200_s11_g96_o9,rtfree,refinement,final,244.0,200.0,0.3880194127559662,0.1795053333044052,0.11979414522647858,0.5078136324882507,0.31268101930618286,0.38801950216293335,0.7507368922233582,0.6723253130912781,-237.89898681640625,57.89898681640625,0.0003153464640490711,1,0.2777777777777778
B_P244_H215_s11_g96_o9,rtfree,refinement,final,244.0,215.0,0.35875412821769714,0.19363823533058167,0.11107076704502106,0.46982496976852417,0.33653679490089417,0.35875415802001953,0.7319332957267761,0.6355498433113098,-237.8291015625,57.8291015625,0.0001571007742313668,1,0.2712673611111111
B_P253_H185_s11_g96_o9,rtfree,refinement,final,253.0,185.0,0.45034652948379517,0.13426156342029572,0.12419814616441727,0.5745447874069214,0.2911936640739441,0.45034652948379517,0.8085008859634399,0.7038577795028687,-235.03150939941406,55.03150939941406,0.0003903909819200635,1,0.2721354166666667
B_P253_H200_s11_g96_o9,rtfree,refinement,final,253.0,200.0,0.4409901797771454,0.13188602030277252,0.09458285570144653,0.5355731248855591,0.3325408697128296,0.4409902095794678,0.7524207234382629,0.710640013217926,-229.62005615234375,49.62005615234375,0.00015609277761541307,1,0.2708333333333333
B_P253_H215_s11_g96_o9,rtfree,refinement,final,253.0,215.0,0.428132563829422,0.12409033626317978,0.07454067468643188,0.5026732087135315,0.37323644757270813,0.4281325340270996,0.712320864200592,0.7056524753570557,-225.2952117919922,45.29521179199219,8.336917380802333e-05,1,0.2677951388888889
B_P253_H230_s11_g96_o9,rtfree,refinement,final,253.0,230.0,0.3616541028022766,0.22129486501216888,0.03664843365550041,0.39830252528190613,0.3804025650024414,0.3616541028022766,0.7157503366470337,0.5332040190696716,-211.61383056640625,31.61383056640625,0.00013716028479393572,1,0.2521701388888889
B_P253_H245_s11_g96_o9,rtfree,refinement,final,253.0,245.0,0.1704988181591034,0.35782620310783386,0.12000275403261185,0.29050159454345703,0.3516722023487091,0.1704988181591034,0.7467701435089111,0.1527663767337799,243.72805786132812,63.728057861328125,0.00017113841022364795,1,0.3585069444444444
B_P262_H215_s11_g96_o9,rtfree,refinement,final,262.0,215.0,0.4592634439468384,0.1250782608985901,0.037112899124622345,0.4963763654232025,0.378545343875885,0.4592634439468384,0.7270761132240295,0.6812584400177002,-211.54092407226562,31.540924072265625,0.00016630094614811242,1,0.2552083333333333
B_P262_H230_s11_g96_o9,rtfree,refinement,final,262.0,230.0,0.4059450626373291,0.17010395228862762,0.01187945157289505,0.4178246259689331,0.4120714068412781,0.4059450626373291,0.6996170878410339,0.5883748531341553,-196.8011932373047,16.801193237304688,0.0005586179322563112,1,0.24913194444444445
B_P262_H245_s11_g96_o9,rtfree,refinement,final,262.0,245.0,0.23559999465942383,0.23627044260501862,0.06308341026306152,0.2986835241317749,0.4650460481643677,0.2356000542640686,0.7344555258750916,0.24071133136749268,192.62586975097656,12.625869750976562,0.0005372162559069693,1,0.2860243055555556
B_P271_H215_s11_g96_o9,rtfree,refinement,final,271.0,215.0,0.5046793818473816,0.056877050548791885,0.004611211363226175,0.5092907547950745,0.43383219838142395,0.5046794414520264,0.6885079145431519,0.7379283905029297,169.81817626953125,10.18182373046875,0.00011766466195695102,1,0.2604166666666667
