Te,E0_eV,lam0_nm,g1_meV,g2_meV,gr_meV,gnr_meV,Q_loaded,Q_rad,Q_nr,rho_gr_over_gnr,bg_T,bg_R,params,rmse_T,rmse_R,rmse_A,maxerr_T,maxerr_R,maxerr_A,lam_Tmin_tcmt,Tmin_tcmt,Amax_tcmt,lam_Tmin,Tmin,lam_Amax,Amax,A_fwhm_nm,shift_Tmin_rcwa_nm,shift_lam0_tcmt_nm,shift_Tmin_tcmt_nm,shift_error_nm
300.0,0.9597827433610059,1291.794411366755,6.256403639405732,4.197540043830068,10.453943683235797,6.983128584865531,55.042654443589896,91.81059057168417,137.44308610343134,1.4970286679086122,0.961093707154454,0.03890629284554664,"[0.9597827433610059, 0.006983128584865531, -6.283131428722957, 0.8004480830248332, 0.3279440373462778, -1.0465686577121809, 0.06438599314842415, 0.07942535847905803]",0.046068982680593756,0.03206922421485893,0.06697328694773948,0.08620929152679127,0.08075267205570782,0.10903343736463267,1292.0,0.15465541023680818,0.5745851674951072,1294.0,0.22376574837544108,1292.0,0.4655517301304746,24.0,0.0,0.0,0.0,0.0
400.0,0.9597543189142481,1291.8326696384233,6.24578809906145,4.189351656039465,10.435139755100915,6.9400651927480475,55.23700709113448,91.97330763539607,138.29183044521454,1.5036083185508131,0.9610466399131039,0.038953360086895955,"[0.9597543189142481, 0.006940065192748047, -6.223443214024953, 0.7999839926450978, 0.3294255431168302, -1.0448258072812495, 0.06453190998103267, 0.07918820839809936]",0.0459514385392742,0.03205593346726035,0.06688335530428481,0.08611083549569865,0.08062713792961199,0.10873690282131043,1292.0,0.15371471249033394,0.574198453951456,1294.0,0.2226198636761304,1292.0,0.46546155113014553,24.0,0.0,0.038258271668382804,0.0,0.0
500.0,0.9597181123849512,1291.8814055920293,6.232243502947104,4.178958769978257,10.41120227292536,6.885470384347756,55.485707072186344,92.18129541875548,139.3830862400642,1.5120538890984698,0.9609888261036279,0.03901117389637216,"[0.9597181123849512, 0.006885470384347756, 6.236102072645986, 0.7998506776173819, 0.32980674610293487, -1.0442547376357714, 0.06453148992274625, 0.07903726387771695]",0.04580089787243244,0.03203828532719501,0.06676709820900244,0.08596488038388156,0.08046422326027938,0.10834235854371543,1292.0,0.15254146911980046,0.5736775134768786,1294.0,0.22116092689563271,1292.0,0.46533515493316313,24.0,0.0,0.08699422527433853,0.0,0.0
600.0,0.959674372441417,1291.9402868348302,6.215863103886078,4.166462589230237,10.382325693116316,6.819901651951348,55.7877973119906,92.4334682620966,140.7167465775448,1.5223570988220436,0.960921859931947,0.03907814006805275,"[0.959674372441417, 0.006819901651951348, -6.220270702044167, 0.8001723688756656, 0.32895663515758927, -1.045024417981099, 0.0643362392930984, 0.07901375833826346]",0.04561776612622623,0.0320159741249014,0.06662413000494763,0.08575799767389475,0.08026252250912555,0.10784047390771156,1292.0,0.15116232278647423,0.5730052876424514,1294.0,0.21939997786978785,1292.0,0.46516481373473983,24.0,0.0,0.14587546807524632,0.0,0.0
800.0,0.9595654776231635,1292.0869006991365,6.1748896770853365,4.135581673615626,10.310471350700963,6.658468534589427,56.548345630888086,93.06708151203262,144.11203907301064,1.548474892858636,0.9607699816992501,0.03923001830075028,"[0.9595654776231635, 0.006658468534589427, 6.283142606224803, 0.8517151207094164, 1.5093822860548884, 0.08789552643320352, 0.0389298418681013, 0.09378133483175417]",0.04515646493356696,0.031955154343622956,0.06625694274725862,0.08509244452297773,0.07973852268732701,0.10646859337873205,1292.0,0.14792350363888487,0.5711221364396384,1294.0,0.21502961035967222,1292.0,0.46465354306090634,24.0,0.0,0.29248933238159225,0.0,0.0
1000.0,0.9594306679580331,1292.2684519130175,6.123900783356058,4.097825609204221,10.221726392560278,6.462148546616766,57.50646486237438,93.86190073100954,148.46929949642515,1.5817844976516093,0.9606093160687946,0.039390683931205504,"[0.9594306679580331, 0.006462148546616766, -6.28316293684809, 0.8305521090648492, 1.4866022241967876, 0.09427254052735334, 0.05058986108826031, 0.08753509209243343]",0.044574311474517236,0.03186958951256909,0.0657793801341962,0.08396725546824016,0.07904451376316035,0.10452284157822989,1292.0,0.1443283516175488,0.5683596970279059,1294.0,0.20965655912241027,1292.0,0.463836855449676,22.0,0.0,0.47404054626258585,0.0,0.0
1250.0,0.9592313204131746,1292.537011266434,6.047944752603623,4.042852141882972,10.090796894486594,6.178874875888964,58.958246604567634,95.06001661150061,155.24368751279636,1.6331123541379071,0.9604247829682111,0.0395752170317888,"[0.9592313204131746, 0.006178874875888964, 6.283127842104496, 0.8338252968356882, 1.4914765505690195, 0.09624925798677861, 0.04882248502645079, 0.08779044281884324]",0.04369215885422133,0.0317213313156811,0.06502820189124753,0.08167491949825045,0.07792331289069857,0.10112819418144547,1292.0,0.13995995048867976,0.5633491678369433,1294.0,0.20183744579298324,1292.0,0.46222097365549786,22.0,0.0,0.742599899679135,0.0,0.0
1500.0,0.9590051666503632,1292.841818913813,5.9610378848038135,3.9815755618978383,9.942613446701651,5.867434644578669,60.65795379707169,96.45403311626303,163.44539389739174,1.6945418311371092,0.9602856644429394,0.03971433555706046,"[0.9590051666503632, 0.005867434644578669, 6.283182539565073, 0.7344552845291147, 0.5409269125158527, -0.8567371000231335, 0.08553690748075411, 0.05124500858942815]",0.042662436303291446,0.031520750056163775,0.06411406024727972,0.07814849884674621,0.07650398384439694,0.09781061054141726,1292.0,0.13657759064414185,0.556235470242689,1294.0,0.19325433130513867,1292.0,0.45973038495088714,22.0,0.0,1.0474075470581283,0.0,0.0
2000.0,0.9585037604815462,1293.5181218038322,5.765864536980787,3.8490034741941153,9.614868011174902,5.213109598361926,64.64157053117417,99.68974710495485,183.86411073780786,1.844363297904979,0.9602073043084102,0.03979269569158962,"[0.9585037604815462, 0.005213109598361926, 6.220294899540574, 0.7939138262863635, 0.32734140087465224, -1.0433403879315766, 0.06506422567406432, 0.07335880689194264]",0.04028217173431675,0.030946451644745403,0.06186890080504022,0.0720525033342028,0.07272049392486529,0.09335720095022831,1294.0,0.1210669369586748,0.5455718622087211,1294.0,0.17610370059074226,1294.0,0.4536875048192411,22.0,0.0,1.7237104370772158,2.0,2.0
2500.0,0.9579802088297108,1294.2250503427597,5.558968994110527,3.714169517752629,9.273138511863156,4.580655197690521,69.14930515885194,103.30700955282438,209.13606623626814,2.024413126868509,0.9604055438528355,0.039594456147164864,"[0.9579802088297108, 0.004580655197690521, 6.278852677377245, 0.7290374347297859, 0.5450517108365952, -0.8597952894254192, 0.0847177586797183, 0.04578252806637231]",0.03767823448548266,0.030142027255981047,0.05922288923028857,0.06519349403085498,0.06795317662399397,0.09028280473318345,1294.0,0.10536716574611538,0.5303874413084817,1294.0,0.162912902988375,1294.0,0.44826673924186655,20.0,0.0,2.4306389760047296,2.0,2.0
