Te_K,lambda_nm,eps_re,eps_im,T,R,A,Fx,Fy,Fz,Ftot,mean_Ez2_over_Einc2,within_trusted_Te(<=6000K)
800,1248.0,0.295447,0.360937,0.858031,0.017591,0.124379,0.029865,0.001349,0.093125,0.124339,2.228125,1
800,1250.0,0.285542,0.363381,0.852704,0.018357,0.128939,0.030008,0.001378,0.097512,0.128898,2.321124,1
800,1252.0,0.275626,0.365830,0.846633,0.019473,0.133894,0.030143,0.001410,0.102299,0.133851,2.422639,1
800,1254.0,0.265696,0.368285,0.839711,0.020989,0.139300,0.030270,0.001444,0.107542,0.139256,2.533865,1
800,1256.0,0.255754,0.370744,0.831815,0.022962,0.145223,0.030388,0.001482,0.113307,0.145176,2.656214,1
800,1258.0,0.245799,0.373209,0.822797,0.025462,0.151741,0.030495,0.001523,0.119674,0.151692,2.791398,1
800,1260.0,0.235831,0.375678,0.812480,0.028570,0.158949,0.030590,0.001569,0.126739,0.158898,2.941430,1
800,1262.0,0.225851,0.378153,0.800652,0.032387,0.166961,0.030670,0.001620,0.134617,0.166907,3.108730,1
800,1264.0,0.215857,0.380634,0.787073,0.037026,0.175901,0.030733,0.001677,0.143434,0.175844,3.295980,1
800,1266.0,0.205850,0.383118,0.771398,0.042650,0.185951,0.030776,0.001741,0.153375,0.185891,3.507107,1
800,1268.0,0.195832,0.385609,0.753287,0.049427,0.197286,0.030794,0.001812,0.164617,0.197223,3.745745,1
800,1270.0,0.185799,0.388105,0.732259,0.057592,0.210150,0.030783,0.001892,0.177407,0.210082,4.017144,1
800,1272.0,0.175755,0.390606,0.707757,0.067426,0.224817,0.030736,0.001983,0.192026,0.224744,4.327136,1
800,1274.0,0.165698,0.393112,0.679115,0.079280,0.241606,0.030644,0.002086,0.208799,0.241528,4.682445,1
800,1276.0,0.155627,0.395623,0.645559,0.093574,0.260868,0.030497,0.002201,0.228085,0.260784,5.090473,1
800,1278.0,0.145543,0.398141,0.606238,0.110805,0.282957,0.030283,0.002332,0.250252,0.282867,5.558569,1
800,1280.0,0.135447,0.400664,0.560320,0.131521,0.308159,0.029985,0.002477,0.275599,0.308060,6.092553,1
800,1282.0,0.125338,0.403191,0.507315,0.156194,0.336492,0.029586,0.002634,0.304164,0.336385,6.692343,1
800,1284.0,0.115217,0.405724,0.447190,0.185204,0.367606,0.029070,0.002798,0.335622,0.367490,7.349809,1
800,1286.0,0.105082,0.408263,0.381836,0.218166,0.399999,0.028430,0.002956,0.368488,0.399874,8.031859,1
800,1288.0,0.094934,0.410806,0.315667,0.253632,0.430701,0.027679,0.003086,0.399803,0.430568,8.673957,1
800,1290.0,0.084774,0.413356,0.257188,0.288220,0.454593,0.026874,0.003152,0.424427,0.454454,9.165614,1
800,1292.0,0.074600,0.415911,0.219261,0.316085,0.464654,0.026132,0.003113,0.435268,0.464513,9.356442,1
800,1294.0,0.064415,0.418471,0.215030,0.330479,0.454491,0.025610,0.002940,0.425806,0.454356,9.111146,1
800,1296.0,0.054215,0.421037,0.251285,0.326618,0.422097,0.025453,0.002635,0.393887,0.421974,8.389734,1
800,1298.0,0.044003,0.423608,0.323098,0.304857,0.372045,0.025705,0.002242,0.343991,0.371938,7.293732,1
800,1300.0,0.033777,0.426185,0.415401,0.270735,0.313863,0.026291,0.001831,0.285653,0.313775,6.029434,1
800,1302.0,0.023539,0.428768,0.511141,0.231795,0.257064,0.027064,0.001458,0.228471,0.256993,4.800791,1
800,1304.0,0.013289,0.431355,0.598759,0.193898,0.207342,0.027889,0.001152,0.178245,0.207286,3.728646,1
800,1306.0,0.003025,0.433949,0.672473,0.160510,0.167017,0.028674,0.000918,0.137380,0.166972,2.861021,1
800,1308.0,-0.007252,0.436548,0.731747,0.132629,0.135624,0.029376,0.000747,0.105465,0.135588,2.186628,1
800,1310.0,-0.017542,0.439154,0.777849,0.110222,0.111929,0.029981,0.000627,0.081292,0.111900,1.678002,1
800,1312.0,-0.027844,0.441764,0.813164,0.092546,0.094290,0.030495,0.000545,0.063226,0.094265,1.299368,1
800,1314.0,-0.038160,0.444380,0.839915,0.078788,0.081297,0.030928,0.000490,0.049857,0.081275,1.020131,1
800,1316.0,-0.048490,0.447001,0.860005,0.068190,0.071805,0.031294,0.000455,0.040037,0.071786,0.815637,1
800,1318.0,-0.058830,0.449629,0.874955,0.060107,0.064938,0.031603,0.000435,0.032881,0.064919,0.666967,1
800,1320.0,-0.069185,0.452263,0.885925,0.054031,0.060044,0.031866,0.000425,0.027735,0.060026,0.560149,1
800,1322.0,-0.079553,0.454901,0.893863,0.049525,0.056611,0.032092,0.000422,0.024080,0.056593,0.484245,1
800,1324.0,-0.089933,0.457546,0.899428,0.046282,0.054290,0.032286,0.000424,0.021562,0.054272,0.431752,1
800,1326.0,-0.100326,0.460195,0.903134,0.044052,0.052814,0.032455,0.000431,0.019910,0.052796,0.396985,1
