lambda_op_nm,I_peak_Wcm2,E_cell_J,R_avg,T_avg,A_avg,Te_peak_K,I_refl_out_Wcm2,valid_trust(Te<=6000K),valid_model(Te<=8000K)
1294,7.9433e+05,4.3851e-16,0.322646,0.223758,0.453596,301.1,2.5629e+05,1,1
1294,1.0000e+06,5.5205e-16,0.322647,0.223756,0.453596,301.4,3.2265e+05,1,1
1294,1.2589e+06,6.9499e-16,0.322650,0.223754,0.453597,301.7,4.0619e+05,1,1
1294,1.5849e+06,8.7494e-16,0.322652,0.223751,0.453597,302.2,5.1137e+05,1,1
1294,1.9953e+06,1.1015e-15,0.322656,0.223747,0.453598,302.7,6.4378e+05,1,1
1294,2.5119e+06,1.3867e-15,0.322660,0.223742,0.453598,303.4,8.1049e+05,1,1
1294,3.1623e+06,1.7457e-15,0.322666,0.223735,0.453599,304.3,1.0204e+06,1,1
1294,3.9811e+06,2.1977e-15,0.322673,0.223728,0.453600,305.5,1.2846e+06,1,1
1294,5.0119e+06,2.7668e-15,0.322681,0.223718,0.453601,306.9,1.6172e+06,1,1
1294,6.3096e+06,3.4832e-15,0.322693,0.223705,0.453602,308.6,2.0361e+06,1,1
1294,7.9433e+06,4.3851e-15,0.322707,0.223689,0.453604,310.9,2.5634e+06,1,1
1294,1.0000e+07,5.5205e-15,0.322724,0.223669,0.453607,313.7,3.2272e+06,1,1
1294,1.2589e+07,6.9499e-15,0.322747,0.223644,0.453609,317.2,4.0631e+06,1,1
1294,1.5849e+07,8.7494e-15,0.322776,0.223611,0.453613,321.6,5.1156e+06,1,1
1294,1.9953e+07,1.1015e-14,0.322812,0.223570,0.453618,327.2,6.4409e+06,1,1
1294,2.5119e+07,1.3867e-14,0.322859,0.223517,0.453624,334.1,8.1098e+06,1,1
1294,3.1623e+07,1.7457e-14,0.322918,0.223450,0.453632,342.8,1.0212e+07,1,1
1294,3.9811e+07,2.1977e-14,0.322994,0.223364,0.453642,353.8,1.2859e+07,1,1
1294,5.0119e+07,2.7668e-14,0.323093,0.223253,0.453654,367.4,1.6193e+07,1,1
1294,6.3096e+07,3.4832e-14,0.323220,0.223109,0.453671,384.4,2.0394e+07,1,1
1294,7.9433e+07,4.3851e-14,0.323386,0.222922,0.453692,405.7,2.5687e+07,1,1
