order,Te,lam,T_7,T,dT,R_7,R,dR,A_7,A,dA,Fz_7,Fz,dFz,Ftot_7,Ftot,dFtot,Fx_7,Fx,dFx,Fy_7,Fy,dFy
"[9,9]",300.0,1302.0,0.0025675324969715255,0.002461991192978398,-0.00010554130399312734,0.003944400194876367,0.005156266139593149,0.0012118659447167826,0.9934880673081521,0.9923817426674284,-0.0011063246407236882,0.9559305632825951,0.9553461177311489,-0.000584445551446211,0.993291922643092,0.9921710872093271,-0.001120835433764844,0.029245606297704414,0.028748586198595074,-0.0004970200991093396,0.008115753062792563,0.008076383279583224,-3.9369783209338566e-05
"[9,9]",300.0,1268.0,0.07868944335199861,0.07526428242479599,-0.0034251609272026168,0.027857605740057058,0.028074275282662937,0.00021666954260587956,0.8934529509079444,0.8966614422925411,0.003208491384596668,0.7744173461815079,0.7930767911609546,0.018659444979446715,0.893276147940645,0.8964752556076824,0.0031991076670373486,0.062493596547433104,0.05996373634781904,-0.0025298601996140632,0.05636520521170409,0.04343472809890882,-0.012930477112795276
"[9,9]",300.0,1306.0,0.0033754115361820255,0.0035047764302526506,0.00012936489407062513,0.008219746403506843,0.00963496443767366,0.001415218034166818,0.9884048420603111,0.9868602591320738,-0.001544582928237337,0.9529268745757654,0.9516793515551711,-0.0012475230205942767,0.9882059664863379,0.9866463128302395,-0.0015596536560983365,0.02762248918445103,0.02729142324220362,-0.0003310659422474105,0.007656602726121327,0.007675538032864776,1.8935306743448656e-05
"[9,9]",300.0,1292.0,0.007120015993735277,0.00579341000305041,-0.0013266059906848664,0.0002237698540324143,0.0002917383024617202,6.79684484293059e-05,0.9926562141522324,0.9939148516944878,0.0012586375422554141,0.9475903984364001,0.9501623751248204,0.002571976688420241,0.9924672326813887,0.9937123605892927,0.0012451279079039868,0.034942111624390725,0.03389825169066002,-0.001043859933730705,0.009934722620597816,0.00965173377381218,-0.00028298884678563604
"[9,9]",2000.0,1302.0,0.0013384072746059714,0.0012676553948046956,-7.075187980127586e-05,0.011270429815065878,0.01306006011611691,0.0017896303010510317,0.9873911629103281,0.9856722844890784,-0.0017188784212497366,0.9448267340967652,0.9439788061073078,-0.000847927989457431,0.9872163720227826,0.9854850248185327,-0.0017313472042498335,0.03313538821574981,0.03237442540638209,-0.0007609628093677157,0.009254249710267616,0.009131793304842728,-0.00012245640542488806
"[9,9]",2000.0,1268.0,0.11058865820109022,0.10307685033565475,-0.007511807865435469,0.07817498337775802,0.08242437540317836,0.004249392025420337,0.8112363584211517,0.8144987742611669,0.003262415840015187,0.6799003589221986,0.7007737632118021,0.020873404289603492,0.8110820296059468,0.8143350419357399,0.003253012329793137,0.0695762520905632,0.06710269363886325,-0.002473558451699956,0.0616054185931849,0.04645858508507447,-0.015146833508110427
"[9,9]",2000.0,1306.0,0.0019888506844597752,0.002333852721725666,0.00034500203726589096,0.008748207008999831,0.011191540052774495,0.0024433330437746634,0.9892629423065404,0.9864746072254998,-0.002788335081040594,0.9494217249193293,0.947261729583881,-0.002159995335448306,0.989086278497542,0.986285427482556,-0.002800851014986061,0.03102666974896904,0.030450678019465015,-0.0005759917295040246,0.008637883829243817,0.008573019879209949,-6.486395003386762e-05
"[9,9]",2000.0,1292.0,0.008855640231518845,0.0067611280560763735,-0.002094512175442472,0.02774726045348019,0.027495333366920265,-0.0002519270865599249,0.963397099315001,0.9657435385770033,0.0023464392620023977,0.9116878399643743,0.9157522477633822,0.004064407799007852,0.9632286624751057,0.9655625371594974,0.0023338746843916125,0.04014169051403794,0.03878122752992931,-0.0013604629841086277,0.011399131996693549,0.011029061866185932,-0.000370070130507617
"[9,9]",4000.0,1302.0,0.00026114031865428306,0.0001034015336329311,-0.00015773878502135195,0.16695124758391172,0.16511056121884735,-0.0018406863650643757,0.832787612097434,0.8347860372475197,0.0019984251500856365,0.7743664137071544,0.7777860049687183,0.0034195912615638813,0.8326516926193711,0.8346365134714522,0.0019848208520810706,0.04494194462611357,0.04375584416349784,-0.001186100462615726,0.013343334286103046,0.013094664339236095,-0.00024866994686695114
"[9,9]",4000.0,1268.0,0.18587613838590109,0.1674256601249893,-0.018450478260911785,0.19496235275347965,0.22003469499208483,0.02507234223860519,0.6191615088606193,0.6125396448829259,-0.006621863977693376,0.45198704394354383,0.471527944420689,0.019540900477145184,0.6190441395635129,0.6124137764883774,-0.006630363075135537,0.08178863538959802,0.07974152582843007,-0.0020471095611679507,0.08526846023037098,0.061144306239258366,-0.02412415399111261
"[9,9]",4000.0,1306.0,0.000712976970893929,0.001453560096960933,0.000740583126067004,0.14778482081621538,0.1469425807380006,-0.0008422400782147899,0.8515022022128907,0.8516038591650384,0.00010165695214769954,0.7964257529229277,0.797681325104905,0.0012555721819772492,0.8513635063856683,0.8514517914898608,8.828510419256475e-05,0.04233019735166019,0.04134957369052886,-0.0009806236611313301,0.012607556111080375,0.012420892694427041,-0.00018666341665333347
"[9,9]",4000.0,1292.0,0.014303538002918295,0.010196966023867904,-0.004106571979050391,0.21731917413243548,0.21459090279485935,-0.002728271337576138,0.7683772878646462,0.7752121311812727,0.006834843316626538,0.6996700606007559,0.708856900161834,0.00918683956107813,0.7682504121073752,0.7750713227828149,0.006820910675439662,0.05295086086246125,0.051125509497657644,-0.0018253513648036068,0.015629490644158063,0.0150889131233232,-0.0005405775208348635
"[9,9]",6000.0,1302.0,0.0007360326452990402,0.00015383839092680652,-0.0005821942543722336,0.4104362504737007,0.4053816946346776,-0.005054555839023089,0.5888277168810002,0.5944644669743957,0.005636750093395482,0.5186360566478698,0.5259378569766242,0.007301800328754382,0.5887321625111087,0.5943547034963895,0.005622540985280811,0.05351751632463769,0.05217043339969465,-0.0013470829249430452,0.01657858953860122,0.016246413120070618,-0.00033217641853060254
"[9,9]",6000.0,1268.0,0.2645847126846487,0.24101068388033345,-0.023574028804315278,0.24267613848550637,0.29221785891685165,0.049541720431345276,0.4927391488298449,0.466771457202815,-0.025967691627029887,0.27143234098986263,0.2875716587029003,0.01613931771303767,0.49264420816155224,0.46667073638990714,-0.025973471771645107,0.08663949837982338,0.08598189851382274,-0.000657599866000641,0.13457236879186624,0.0931171791731841,-0.04145518961868214
"[9,9]",6000.0,1306.0,0.00048628808768832067,0.0013110008488265974,0.0008247127611382768,0.3880469301488282,0.3828000690883134,-0.005246861060514807,0.6114667817634835,0.61588893006286,0.004422148299376594,0.5441646018911549,0.5499638839052688,0.005799282014113949,0.6113679885069666,0.6157758359781542,0.004407847471187609,0.051220838342653854,0.05008148614192075,-0.001139352200733107,0.01598254827315793,0.0157304659309647,-0.0002520823421932293
"[9,9]",6000.0,1292.0,0.021525613083636114,0.015179033076437694,-0.00634658000719842,0.45189835573484394,0.4506613414526326,-0.0012370142822113461,0.52657603118152,0.5341596254709298,0.007583594289409801,0.44718773058588457,0.45754162457951614,0.010353893993631569,0.5264890704360198,0.5340590720938696,0.007570001657849823,0.060631011639252684,0.05859804158855624,-0.002032970050696442,0.01867032821088252,0.01791940592579728,-0.0007509222850852412
"[9,9]",8000.0,1302.0,0.002027415534474208,0.0007381610450787879,-0.00128925448939542,0.5884657547326443,0.5842751197240763,-0.004190635008567978,0.4095068297328815,0.4149867192308449,0.005479889497963408,0.3364606790155907,0.3437333108043998,0.007272631788809103,0.40944010449019264,0.41490741266793985,0.00546730817774721,0.05547704344460104,0.05408321223561397,-0.0013938312089870689,0.017502382030000922,0.017090889627926053,-0.00041149240207486934
"[9,9]",8000.0,1268.0,0.3091113807573293,0.31349972281888355,0.004388342061554251,0.24476607344589213,0.2763517393174869,0.03158566587159478,0.4461225457967786,0.41014853786362954,-0.03597400793314909,0.1664739590142836,0.18195261355982806,0.015478654545544451,0.4460396654856212,0.4100598425873347,-0.035979822898286495,0.0829219535184599,0.08613796077963619,0.003216007261176282,0.19664375295287773,0.14196926824787046,-0.05467448470500727
