Te,E0_eV,lam0_nm,g1_meV,g2_meV,gr_meV,gnr_meV,Q_loaded,Q_rad,Q_nr,rho_gr_over_gnr,bg_T,bg_R,params,rmse_T,rmse_R,rmse_A,maxerr_T,maxerr_R,maxerr_A,lam_Tmin_tcmt,Tmin_tcmt,Amax_tcmt,lam_Tmin,Tmin,lam_Amax,Amax,A_fwhm_nm,shift_Tmin_rcwa_nm,shift_lam0_tcmt_nm,shift_Tmin_tcmt_nm,shift_error_nm
300.0,0.9438433921613685,1313.6098576277627,115.57154347085483,4.314552815984381,119.88609628683922,103.54902020913607,4.224239264459442,7.872834477011669,9.11494276097548,1.157771421155965,0.13831927862635035,0.8616807213736495,"[0.9438433921613685, 0.10354902020913608, -6.280930210629923, 0.48487797853974857, 0.2336874217968199, -0.2341325018649004, 0.31231887922197216, 0.14947579726621427]",0.022476611833571296,0.03553020947767425,0.04269733624469735,0.08995480914069283,0.10950204610290158,0.1558211101276561,1320.0,0.029672436503083873,0.9588513953514339,1302.0,0.0025675324969715255,1298.0,0.995849761470405,nan,0.0,0.0,0.0,0.0
400.0,0.9436775427531907,1313.8407218876332,114.95215322121031,4.285182767218861,119.23733598842917,103.31479694429294,4.240253869139353,7.914278987621507,9.134001814493418,1.154116733663249,0.1381251397283647,0.8618748602716348,"[0.9436775427531907, 0.10331479694429294, 3.136965848682131, 1.0870150195645145, 0.6098495022627687, 1.0780764233516587, 0.14867578351507638, 0.3116614306978124]",0.022569475004882,0.03555529329873379,0.042737091669982914,0.09018386417376822,0.11013712717662931,0.15557825693861937,1320.0,0.029730596503392652,0.959125963987294,1302.0,0.0025393356677319923,1298.0,0.996004376924358,nan,0.0,0.23086425987048642,0.0,0.0
500.0,0.9434670684748894,1314.1338213364452,114.17350680492531,4.248605063026813,118.42211186795213,103.01880895301616,4.260581400118312,7.966983982914548,9.15820206099623,1.1495193263393384,0.13788853703096657,0.8621114629690331,"[0.9434670684748894, 0.10301880895301616, 5.183845110867307, 0.7892283947262408, -0.19008165658695353, 0.19037482998726102, 0.23945803771145058, 0.24714764826583654]",0.02268928520394734,0.0355850925366071,0.042786550056409044,0.09047686080139392,0.1109387610371612,0.1552626367558292,1320.0,0.029806550143442388,0.9594575657582721,1302.0,0.0025034011376304454,1298.0,0.9961784824346307,nan,0.0,0.5239637086824587,0.0,0.0
600.0,0.9432138876756394,1314.4865657728394,113.2484889905501,4.20569880100311,117.4541877915532,102.6641916018499,4.28503012912836,8.03048324977197,9.187369743616077,1.144061877456373,0.13762000823999243,0.8623799917600072,"[0.9432138876756394, 0.10266419160184989, -0.5510253247435941, 0.8644242622577689, -1.3184650312339063, -1.7035673462979937, 0.22392335200446445, 0.2594465652473317]",0.022836271103603818,0.0356178131550135,0.04284446870020048,0.09083238160949081,0.11189593150380155,0.15487160150216284,1320.0,0.02990112083078711,0.9598302041452957,1302.0,0.0024599722905450008,1298.0,0.9963536673098056,nan,0.0,0.8767081450766909,0.0,0.0
800.0,0.9425884317667224,1315.3587952231985,111.02201756870855,4.105248168448212,115.12726573715676,101.79063552050745,4.345369498329584,8.187360532983687,9.260070211240816,1.1310202077868197,0.13704405067199368,0.8629559493280063,"[0.9425884317667224, 0.10179063552050745, 3.5338845099961325, 0.9475971697335095, -0.202939927180505, 0.19830578915772432, 0.19108296536380653, 0.28038289192625687]",0.02321249682353945,0.035683148606490224,0.04297916401167888,0.09172319315256383,0.1142216795546631,0.15384961342466452,1322.0,0.030138289624022676,0.9606791336040412,1302.0,0.002351888279792111,1298.0,0.9966141187634984,nan,0.0,1.748937595435791,2.0,2.0
1000.0,0.9418215872826188,1316.4297789958728,108.41914697790119,3.994202356056599,112.4133493339578,100.70936142043843,4.419151689413237,8.378200568374254,9.351877263432643,1.1162154912755122,0.13654769444721054,0.8634523055527895,"[0.9418215872826188, 0.10070936142043843, -0.7664168337491911, 0.9642406763355567, -2.011376270372836, 0.7247025088452494, -0.19058679029952597, 0.2758442036680892]",0.02369802449663657,0.03573079142116689,0.04312468201904849,0.09283295929560373,0.11698168315905343,0.152478365721478,1322.0,0.030450968439778504,0.9615519179247959,1302.0,0.0022182834034589413,1300.0,0.9967377003210431,nan,0.0,2.8199213681100446,2.0,2.0
1250.0,0.940698790408635,1318.0010399092982,104.89309266627144,3.8595834285066064,108.75267609477805,99.04866575468876,4.526913936340632,8.649890965338777,9.497339345675178,1.0979721459764331,0.13637011571213223,0.8636298842878677,"[0.940698790408635, 0.09904866575468875, -2.0565164085844114, 0.9582797412250131, -0.6100210355684249, -0.2066583968466043, 0.18241228055915507, 0.2747333907554489]",0.024452185717606788,0.03572982407150856,0.043285371154177806,0.09446777470753479,0.12079142377265842,0.15019637702581135,1324.0,0.0309389353418773,0.962407095136429,1302.0,0.002021903851397653,1300.0,0.9964428444211699,nan,0.0,4.391182281535521,4.0,4.0
1500.0,0.9394367047422572,1319.7717076002066,101.3658232613719,3.7535787942875865,105.11940205565949,96.95566997965412,4.64894900335894,8.93685358146193,9.689342613375736,1.0842006669410722,0.13718923070591083,0.8628107692940894,"[0.9394367047422572, 0.09695566997965412, 3.1461321300693927, 0.8762516419879064, 0.9097349081733448, 0.5236217431316066, 0.20887651060009524, 0.2479717834254288]",0.025351157095746504,0.03561948565159786,0.043358038147127985,0.09626985139692888,0.12465569816709637,0.1471440955567308,1326.0,0.03153850148752029,0.9627159062749355,1302.0,0.0018023713788612146,1302.0,0.9953752930446182,nan,0.0,6.161849972443861,6.0,6.0
2000.0,0.9366740483226262,1323.6642845184829,95.2343917257463,3.710774380974587,98.94516610672089,91.0088478286462,4.931056885385611,9.46659736072748,10.292120718704409,1.087203810040727,0.14404804780603533,0.855951952193964,"[0.9366740483226262, 0.0910088478286462, 3.5329478286337803, 0.3704169617439113, -0.2255078066796715, -0.8227411211284047, 0.29919469012781746, 0.09709636196089015]",0.02745417553201525,0.03494678552912855,0.0428565594624069,0.0997850147760225,0.1310242852926843,0.13903794640350142,1328.0,0.033038335904711696,0.9608105295198652,1302.0,0.0013384072746059714,1306.0,0.9892629423065404,nan,0.0,10.054426890720151,8.0,8.0
2500.0,0.9338102132552921,1327.7237348667147,91.13522400903464,3.98858061783855,95.1238046268732,82.99773443918009,5.242545164114064,9.816787889405798,11.251032568118818,1.1461012191432642,0.1606734842817656,0.8393265157182344,"[0.9338102132552921, 0.0829977344391801, 6.282876755797674, 0.9268623005197757, -0.20000015616664818, -0.6306236075086429, 0.1823838496796064, 0.24871657766003444]",0.029749750777225914,0.03376273846865316,0.04108432937169264,0.10230259178307728,0.13390175902629192,0.12894344363710775,1328.0,0.03488675690789666,0.9536248293806732,1302.0,0.0009094110992691144,1310.0,0.9760518939290683,nan,0.0,14.113877238952,8.0,8.0
3000.0,0.9309723782689241,1331.7709665085838,88.87401750989837,4.63406402192695,93.50808153182531,74.62759700545317,5.537030488520092,9.956063294401664,12.474907616292352,1.2529960133245683,0.18795678927931045,0.8120432107206897,"[0.9309723782689241, 0.07462759700545317, -2.2227339574326344, 1.0440561895838947, 0.2649850070493881, -0.2572392867084194, 0.14206077237974477, 0.2707892510471855]",0.032107067068249985,0.03270570585520236,0.038159143312685516,0.10339472246069324,0.13302711224977326,0.11539009515492349,1328.0,0.03699533444984777,0.938453860582138,1302.0,0.0005738272553750684,1316.0,0.9545358547705703,nan,0.0,18.161108880821075,8.0,8.0
3500.0,0.928262252826189,1335.6591633723924,87.51111220725379,5.654656310949706,93.16576851820349,67.06244004463592,5.793375967641407,9.963554936433734,13.841760786042817,1.3892391695887223,0.22498623643793228,0.7750137635620676,"[0.928262252826189, 0.06706244004463592, -4.9816397938421995, 0.8301202708778629, -0.38799572240351343, 0.10836756325831304, 0.21160354056260958, 0.21997661271046876]",0.03449269236005339,0.03276778006702783,0.03439430840354456,0.10318154599552672,0.1291074251546928,0.10207490856708612,1326.0,0.039195730227247705,0.91436753303974,1304.0,0.0003117501837585605,1320.0,0.9247934181937111,nan,2.0,22.04930574462969,6.0,4.0
4000.0,0.9257921731385881,1339.2227974845923,86.40977807241657,7.071415032156823,93.48119310457339,60.53446649036666,6.011026252612325,9.903512593200903,15.293637274988075,1.5442639296977998,0.2706134142969539,0.729386585703046,"[0.9257921731385881, 0.06053446649036666, 3.139080306747717, 0.9052135902535531, 2.860196731729409, -2.8578806981660287, 0.19708247183829847, 0.23375134737297168]",0.03690028611182937,0.034733615541949175,0.030227473871194014,0.1019679107986811,0.12321554844810689,0.08677533492640988,1324.0,0.04121524277676888,0.8820124695609484,1304.0,0.00014020582288259967,1326.0,0.8878326284779162,nan,2.0,25.6129398568296,4.0,2.0
