lambda_op_nm,I_peak_Wcm2,E_cell_J,E_per_10um_pixel_nJ_equiv,T_avg,R_avg,A_avg,Fz_avg,Te_peak_K,I_out_Wcm2,valid_trust(Te<=6000K),valid_model(Te<=8000K),T_avg_G05,T_avg_G2
1302,1.2589e+09,1.3681e-12,2.0101e-01,0.001357,0.018443,0.980200,0.937068,2639.9,1.7082e+06,1,1,0.001108,0.001779
1302,1.5849e+09,1.7224e-12,2.5306e-01,0.001127,0.033457,0.965416,0.920188,3064.4,1.7857e+06,1,1,0.000916,0.001551
1302,1.9953e+09,2.1684e-12,3.1858e-01,0.000914,0.056867,0.942219,0.894364,3540.0,1.8237e+06,1,1,0.000760,0.001300
1302,2.5119e+09,2.7298e-12,4.0107e-01,0.000743,0.090048,0.909209,0.858280,4062.0,1.8657e+06,1,1,0.000658,0.001048
1302,3.1623e+09,3.4366e-12,5.0492e-01,0.000632,0.132959,0.866409,0.812146,4624.3,1.9982e+06,1,1,0.000621,0.000826
1302,3.9811e+09,4.3264e-12,6.3566e-01,0.000593,0.184051,0.815356,0.757739,5222.0,2.3612e+06,1,1,0.000657,0.000661
1302,5.0119e+09,5.4467e-12,8.0025e-01,0.000632,0.240811,0.758557,0.697795,5853.0,3.1683e+06,1,1,0.000770,0.000572
1302,6.3096e+09,6.8570e-12,1.0074e+00,0.000752,0.300490,0.698757,0.635234,6518.4,4.7479e+06,0,1,0.000966,0.000566
1302,7.9433e+09,8.6324e-12,1.2683e+00,0.000958,0.360617,0.638425,0.572636,7222.4,7.6114e+06,0,1,0.001241,0.000645
1302,1.0000e+10,1.0868e-11,1.5967e+00,0.001256,0.419254,0.579490,0.511982,7971.2,1.2559e+07,0,1,0.001427,0.000809
1302,1.2589e+10,1.3681e-11,2.0101e+00,0.001474,0.461400,0.537125,0.468375,8954.6,1.8562e+07,0,0,0.001560,0.001064
1302,1.5849e+10,1.7224e-11,2.5306e+00,0.001605,0.490081,0.508314,0.438627,10266.6,2.5441e+07,0,0,0.001661,0.001396
1302,1.9953e+10,2.1684e-11,3.1858e+00,0.001700,0.511650,0.486650,0.416239,11932.9,3.3920e+07,0,0,0.001739,0.001589
1302,2.5119e+10,2.7298e-11,4.0107e+00,0.001772,0.528271,0.469957,0.398982,12000.0,4.4510e+07,0,0,0.001800,0.001703
1302,3.1623e+10,3.4366e-11,5.0492e+00,0.001827,0.541187,0.456985,0.385569,12000.0,5.7788e+07,0,0,0.001848,0.001780
1302,3.9811e+10,4.3264e-11,6.3566e+00,0.001870,0.551271,0.446858,0.375097,12000.0,7.4464e+07,0,0,0.001886,0.001837
1302,5.0119e+10,5.4467e-11,8.0025e+00,0.001904,0.559168,0.438928,0.366895,12000.0,9.5427e+07,0,0,0.001916,0.001879
1302,6.3096e+10,6.8570e-11,1.0074e+01,0.001930,0.565365,0.432705,0.360458,12000.0,1.2179e+08,0,0,0.001939,0.001912
1302,7.9433e+10,8.6324e-11,1.2683e+01,0.001951,0.570236,0.427813,0.355398,12000.0,1.5496e+08,0,0,0.001958,0.001937
1302,1.0000e+11,1.0868e-10,1.5967e+01,0.001967,0.574072,0.423961,0.351414,12000.0,1.9670e+08,0,0,0.001972,0.001956
1268,1.0000e+05,1.0868e-16,1.5967e-05,0.078690,0.027859,0.893451,0.774415,300.3,7.8690e+03,1,1,0.078691,0.078690
1268,1.2589e+05,1.3681e-16,2.0101e-05,0.078691,0.027859,0.893450,0.774414,300.3,9.9066e+03,1,1,0.078692,0.078690
1268,1.5849e+05,1.7224e-16,2.5306e-05,0.078691,0.027860,0.893449,0.774413,300.4,1.2472e+04,1,1,0.078692,0.078690
1268,1.9953e+05,2.1684e-16,3.1858e-05,0.078691,0.027860,0.893448,0.774412,300.5,1.5701e+04,1,1,0.078693,0.078690
1268,2.5119e+05,2.7298e-16,4.0107e-05,0.078692,0.027861,0.893447,0.774411,300.7,1.9767e+04,1,1,0.078694,0.078691
1268,3.1623e+05,3.4366e-16,5.0492e-05,0.078692,0.027862,0.893446,0.774409,300.9,2.4885e+04,1,1,0.078695,0.078691
1268,3.9811e+05,4.3264e-16,6.3566e-05,0.078693,0.027863,0.893444,0.774407,301.1,3.1328e+04,1,1,0.078696,0.078691
1268,5.0119e+05,5.4467e-16,8.0025e-05,0.078694,0.027864,0.893442,0.774404,301.4,3.9441e+04,1,1,0.078698,0.078692
1268,6.3096e+05,6.8570e-16,1.0074e-04,0.078696,0.027866,0.893439,0.774401,301.7,4.9654e+04,1,1,0.078700,0.078693
1268,7.9433e+05,8.6324e-16,1.2683e-04,0.078697,0.027868,0.893435,0.774397,302.1,6.2511e+04,1,1,0.078703,0.078693
1268,1.0000e+06,1.0868e-15,1.5967e-04,0.078699,0.027870,0.893431,0.774391,302.7,7.8699e+04,1,1,0.078706,0.078695
1268,1.2589e+06,1.3681e-15,2.0101e-04,0.078702,0.027874,0.893425,0.774385,303.4,9.9079e+04,1,1,0.078711,0.078696
1268,1.5849e+06,1.7224e-15,2.5306e-04,0.078705,0.027878,0.893417,0.774376,304.3,1.2474e+05,1,1,0.078716,0.078698
1268,1.9953e+06,2.1684e-15,3.1858e-04,0.078709,0.027883,0.893408,0.774365,305.4,1.5704e+05,1,1,0.078723,0.078700
1268,2.5119e+06,2.7298e-15,4.0107e-04,0.078714,0.027890,0.893396,0.774352,306.8,1.9772e+05,1,1,0.078732,0.078702
1268,3.1623e+06,3.4366e-15,5.0492e-04,0.078720,0.027898,0.893382,0.774335,308.5,2.4894e+05,1,1,0.078743,0.078706
1268,3.9811e+06,4.3264e-15,6.3566e-04,0.078728,0.027909,0.893363,0.774313,310.7,3.1342e+05,1,1,0.078757,0.078710
1268,5.0119e+06,5.4467e-15,8.0025e-04,0.078738,0.027922,0.893339,0.774286,313.5,3.9463e+05,1,1,0.078775,0.078715
1268,6.3096e+06,6.8570e-15,1.0074e-03,0.078751,0.027940,0.893309,0.774251,317.0,4.9689e+05,1,1,0.078798,0.078722
1268,7.9433e+06,8.6324e-15,1.2683e-03,0.078768,0.027961,0.893271,0.774207,321.3,6.2568e+05,1,1,0.078827,0.078730
1268,1.0000e+07,1.0868e-14,1.5967e-03,0.078789,0.027989,0.893222,0.774150,326.8,7.8789e+05,1,1,0.078863,0.078741
1268,1.2589e+07,1.3681e-14,2.0101e-03,0.078815,0.028024,0.893160,0.774079,333.7,9.9223e+05,1,1,0.078911,0.078755
1268,1.5849e+07,1.7224e-14,2.5306e-03,0.078849,0.028069,0.893081,0.773987,342.3,1.2497e+06,1,1,0.078971,0.078773
1268,1.9953e+07,2.1684e-14,3.1858e-03,0.078893,0.028127,0.892979,0.773869,353.0,1.5741e+06,1,1,0.079049,0.078795
1268,2.5119e+07,2.7298e-14,4.0107e-03,0.078950,0.028202,0.892848,0.773718,366.5,1.9831e+06,1,1,0.079149,0.078823
1268,3.1623e+07,3.4366e-14,5.0492e-03,0.079022,0.028299,0.892678,0.773521,383.3,2.4989e+06,1,1,0.079279,0.078860
1268,3.9811e+07,4.3264e-14,6.3566e-03,0.079117,0.028426,0.892457,0.773265,404.2,3.1497e+06,1,1,0.079447,0.078907
1268,5.0119e+07,5.4467e-14,8.0025e-03,0.079242,0.028591,0.892167,0.772930,430.1,3.9715e+06,1,1,0.079667,0.078968
1268,6.3096e+07,6.8570e-14,1.0074e-02,0.079405,0.028810,0.891785,0.772488,462.2,5.0101e+06,1,1,0.079955,0.079047
1268,7.9433e+07,8.6324e-14,1.2683e-02,0.079621,0.029101,0.891278,0.771902,501.8,6.3245e+06,1,1,0.080333,0.079151
1268,1.0000e+08,1.0868e-13,1.5967e-02,0.079909,0.029490,0.890601,0.771119,550.3,7.9909e+06,1,1,0.080829,0.079289
1268,1.2589e+08,1.3681e-13,2.0101e-02,0.080294,0.030014,0.889692,0.770069,609.7,1.0108e+07,1,1,0.081480,0.079472
1268,1.5849e+08,1.7224e-13,2.5306e-02,0.080812,0.030723,0.888465,0.768651,681.7,1.2808e+07,1,1,0.082336,0.079717
1268,1.9953e+08,2.1684e-13,3.1858e-02,0.081508,0.031690,0.886802,0.766732,768.7,1.6263e+07,1,1,0.083459,0.080050
1268,2.5119e+08,2.7298e-13,4.0107e-02,0.082446,0.033012,0.884542,0.764124,873.0,2.0710e+07,1,1,0.084928,0.080504
1268,3.1623e+08,3.4366e-13,5.0492e-02,0.083709,0.034824,0.881466,0.760580,997.3,2.6471e+07,1,1,0.086843,0.081127
1268,3.9811e+08,4.3264e-13,6.3566e-02,0.085404,0.037314,0.877283,0.755763,1144.4,3.4000e+07,1,1,0.089328,0.081986
1268,5.0119e+08,5.4467e-13,8.0025e-02,0.087664,0.040728,0.871608,0.749236,1317.3,4.3936e+07,1,1,0.092529,0.083175
1268,6.3096e+08,6.8570e-13,1.0074e-01,0.090657,0.045391,0.863953,0.740440,1519.2,5.7201e+07,1,1,0.096618,0.084817
1268,7.9433e+08,8.6324e-13,1.2683e-01,0.094576,0.051706,0.853718,0.728689,1753.2,7.5125e+07,1,1,0.101786,0.087076
1268,1.0000e+09,1.0868e-12,1.5967e-01,0.099641,0.060119,0.840240,0.713212,2022.4,9.9641e+07,1,1,0.108233,0.090156
1268,1.2589e+09,1.3681e-12,2.0101e-01,0.106079,0.071070,0.822851,0.693214,2329.4,1.3355e+08,1,1,0.116154,0.094300
1268,1.5849e+09,1.7224e-12,2.5306e-01,0.114112,0.084858,0.801031,0.668031,2676.7,1.8085e+08,1,1,0.125725,0.099778
1268,1.9953e+09,2.1684e-12,3.1858e-01,0.123929,0.101484,0.774587,0.637300,3066.3,2.4727e+08,1,1,0.137093,0.106860
1268,2.5119e+09,2.7298e-12,4.0107e-01,0.135680,0.120506,0.743814,0.601124,3500.6,3.4081e+08,1,1,0.150369,0.115789
1268,3.1623e+09,3.4366e-12,5.0492e-01,0.149476,0.140973,0.709551,0.560109,3983.4,4.7268e+08,1,1,0.165625,0.126755
1268,3.9811e+09,4.3264e-12,6.3566e-01,0.165388,0.161491,0.673121,0.515288,4521.3,6.5842e+08,1,1,0.182864,0.139887
1268,5.0119e+09,5.4467e-12,8.0025e-01,0.183436,0.180395,0.636169,0.467924,5125.9,9.1936e+08,1,1,0.201915,0.155275
1268,6.3096e+09,6.8570e-12,1.0074e+00,0.203488,0.196041,0.600470,0.419315,5815.9,1.2839e+09,1,1,0.222139,0.172985
1268,7.9433e+09,8.6324e-12,1.2683e+00,0.224918,0.207395,0.567687,0.370621,6619.7,1.7866e+09,0,1,0.241828,0.193040
1268,1.0000e+10,1.0868e-11,1.5967e+00,0.245856,0.215132,0.539012,0.322911,7576.5,2.4586e+09,0,1,0.257238,0.215232
1268,1.2589e+10,1.3681e-11,2.0101e+00,0.261744,0.221943,0.516313,0.282758,8752.7,3.2952e+09,0,0,0.268512,0.238506
1268,1.5849e+10,1.7224e-11,2.5306e+00,0.272470,0.226946,0.500584,0.256312,10243.8,4.3184e+09,0,0,0.277208,0.259462
1268,1.9953e+10,2.1684e-11,3.1858e+00,0.280534,0.230793,0.488673,0.236524,12000.0,5.5974e+09,0,0,0.283985,0.272472
1268,2.5119e+10,2.7298e-11,4.0107e+00,0.286737,0.233787,0.479476,0.221316,12000.0,7.2025e+09,0,0,0.289293,0.281158
1268,3.1623e+10,3.4366e-11,5.0492e+00,0.291550,0.236127,0.472323,0.209518,12000.0,9.2196e+09,0,0,0.293463,0.287505
1268,3.9811e+10,4.3264e-11,6.3566e+00,0.295303,0.237961,0.466736,0.200319,12000.0,1.1756e+10,0,0,0.296745,0.292301
1268,5.0119e+10,5.4467e-11,8.0025e+00,0.298240,0.239400,0.462360,0.193122,12000.0,1.4947e+10,0,0,0.299333,0.295987
1268,6.3096e+10,6.8570e-11,1.0074e+01,0.300543,0.240532,0.458925,0.187477,12000.0,1.8963e+10,0,0,0.301375,0.298841
1268,7.9433e+10,8.6324e-11,1.2683e+01,0.302352,0.241424,0.456224,0.183042,12000.0,2.4017e+10,0,0,0.302989,0.301060
1268,1.0000e+11,1.0868e-10,1.5967e+01,0.303776,0.242126,0.454098,0.179552,12000.0,3.0378e+10,0,0,0.304264,0.302790
1306,1.0000e+05,1.0868e-16,1.5967e-05,0.003375,0.008219,0.988406,0.952927,300.3,3.3754e+02,1,1,0.003375,0.003375
1306,1.2589e+05,1.3681e-16,2.0101e-05,0.003375,0.008219,0.988406,0.952928,300.4,4.2493e+02,1,1,0.003375,0.003375
1306,1.5849e+05,1.7224e-16,2.5306e-05,0.003375,0.008219,0.988406,0.952928,300.5,5.3495e+02,1,1,0.003375,0.003375
1306,1.9953e+05,2.1684e-16,3.1858e-05,0.003375,0.008218,0.988406,0.952928,300.6,6.7346e+02,1,1,0.003375,0.003375
1306,2.5119e+05,2.7298e-16,4.0107e-05,0.003375,0.008218,0.988407,0.952928,300.8,8.4783e+02,1,1,0.003375,0.003375
1306,3.1623e+05,3.4366e-16,5.0492e-05,0.003375,0.008218,0.988407,0.952929,300.9,1.0673e+03,1,1,0.003375,0.003375
1306,3.9811e+05,4.3264e-16,6.3566e-05,0.003375,0.008217,0.988408,0.952929,301.2,1.3437e+03,1,1,0.003375,0.003375
1306,5.0119e+05,5.4467e-16,8.0025e-05,0.003375,0.008216,0.988408,0.952930,301.5,1.6916e+03,1,1,0.003375,0.003375
1306,6.3096e+05,6.8570e-16,1.0074e-04,0.003375,0.008216,0.988409,0.952931,301.9,2.1295e+03,1,1,0.003375,0.003375
1306,7.9433e+05,8.6324e-16,1.2683e-04,0.003375,0.008214,0.988411,0.952932,302.4,2.6808e+03,1,1,0.003375,0.003375
1306,1.0000e+06,1.0868e-15,1.5967e-04,0.003375,0.008213,0.988412,0.952933,303.0,3.3748e+03,1,1,0.003374,0.003375
1306,1.2589e+06,1.3681e-15,2.0101e-04,0.003375,0.008211,0.988414,0.952935,303.8,4.2485e+03,1,1,0.003374,0.003375
1306,1.5849e+06,1.7224e-15,2.5306e-04,0.003374,0.008209,0.988416,0.952937,304.7,5.3482e+03,1,1,0.003374,0.003375
1306,1.9953e+06,2.1684e-15,3.1858e-04,0.003374,0.008206,0.988419,0.952939,306.0,6.7325e+03,1,1,0.003373,0.003375
1306,2.5119e+06,2.7298e-15,4.0107e-04,0.003374,0.008203,0.988423,0.952943,307.5,8.4749e+03,1,1,0.003373,0.003375
1306,3.1623e+06,3.4366e-15,5.0492e-04,0.003374,0.008198,0.988428,0.952947,309.4,1.0668e+04,1,1,0.003372,0.003374
1306,3.9811e+06,4.3264e-15,6.3566e-04,0.003373,0.008193,0.988434,0.952952,311.9,1.3428e+04,1,1,0.003371,0.003374
1306,5.0119e+06,5.4467e-15,8.0025e-04,0.003372,0.008186,0.988442,0.952959,314.9,1.6902e+04,1,1,0.003370,0.003374
1306,6.3096e+06,6.8570e-15,1.0074e-03,0.003372,0.008177,0.988452,0.952967,318.8,2.1274e+04,1,1,0.003369,0.003373
1306,7.9433e+06,8.6324e-15,1.2683e-03,0.003371,0.008165,0.988464,0.952978,323.6,2.6774e+04,1,1,0.003367,0.003373
