Te_K,lambda_nm,eps_re,eps_im,T,R,A,Fx,Fy,Fz,Ftot,mean_Ez2_over_Einc2,within_trusted_Te(<=6000K)
3000,1340.0,0.110562,0.441598,0.037784,0.041658,0.920558,0.024697,0.006575,0.889120,0.920392,18.669392,1
3000,1342.0,0.100898,0.444129,0.039749,0.043786,0.916465,0.024364,0.006453,0.885482,0.916299,18.514642,1
3000,1344.0,0.091223,0.446666,0.041606,0.046021,0.912373,0.024056,0.006340,0.881810,0.912206,18.360479,1
3000,1346.0,0.081537,0.449209,0.043365,0.048347,0.908288,0.023770,0.006236,0.878115,0.908121,18.207081,1
3000,1348.0,0.071837,0.451758,0.045017,0.050736,0.904248,0.023505,0.006141,0.874434,0.904080,18.055258,1
3000,1350.0,0.062126,0.454310,0.046573,0.053174,0.900253,0.023260,0.006054,0.870769,0.900084,17.905091,1
3000,1352.0,0.052404,0.456868,0.048027,0.055635,0.896338,0.023035,0.005976,0.867158,0.896169,17.757266,1
3000,1354.0,0.042670,0.459433,0.049386,0.058103,0.892511,0.022827,0.005906,0.863608,0.892341,17.611882,1
3000,1356.0,0.032923,0.462003,0.050658,0.060568,0.888774,0.022637,0.005844,0.860123,0.888603,17.468981,1
3000,1358.0,0.023165,0.464578,0.051841,0.063009,0.885151,0.022463,0.005789,0.856726,0.884978,17.329097,1
3000,1360.0,0.013395,0.467159,0.052944,0.065415,0.881641,0.022305,0.005742,0.853421,0.881468,17.192145,1
3000,1362.0,0.003612,0.469744,0.053970,0.067777,0.878253,0.022162,0.005702,0.850214,0.878078,17.058317,1
3000,1364.0,-0.006181,0.472337,0.054927,0.070082,0.874992,0.022034,0.005669,0.847112,0.874816,16.927600,1
3000,1366.0,-0.015987,0.474935,0.055815,0.072318,0.871868,0.021921,0.005643,0.844127,0.871691,16.800278,1
3000,1368.0,-0.025805,0.477538,0.056647,0.074486,0.868867,0.021821,0.005624,0.841244,0.868689,16.676036,1
3000,1370.0,-0.035634,0.480146,0.057427,0.076574,0.865999,0.021734,0.005611,0.838474,0.865819,16.555014,1
3000,1372.0,-0.045476,0.482761,0.058155,0.078571,0.863273,0.021661,0.005605,0.835826,0.863092,16.437285,1
3000,1374.0,-0.055329,0.485380,0.058844,0.080483,0.860673,0.021600,0.005604,0.833286,0.860490,16.322664,1
