Te,mu_eV,wp2_ratio,wp_rad_fs,U_J_m3,dU_J_m3,m_ratio,Ce_J_m3_K,lambda_ENZ_nm,eps1_1250,eps2_1250,eps1_1302,eps2_1302,eps1_1350,eps2_1350
300.0,0.8083466400561969,1.0,2.6947737879687725,107179003.5229516,0.0,1.0,4056.1966754338146,1302.2819858913067,0.26516014202499993,0.36587884744800003,-7.276215893692317e-08,0.43195342892271243,-0.24977591406000005,0.495593442288
400.0,0.807256787990068,0.9991683953550695,2.693653061720467,107584623.19049498,405619.66754338145,1.0008322967868044,4629.155134921428,1302.8331357665345,0.2677801704266583,0.3655577514662755,0.0028401184357927786,0.4315907924568903,-0.24672741916662652,0.49518994734239313
500.0,0.8058545651078197,0.9981026555125024,2.6922161171012555,108104834.54993589,925831.0269842893,1.0019009512468668,5770.1190755806165,1303.5405952060994,0.27113785808909063,0.36514625210405083,0.006479954911716189,0.43112605704162976,-0.24282063186386696,0.49467284989418975
600.0,0.8041391962058692,0.9968054687867599,2.690466075447184,108738647.00561109,1559643.482659489,1.0032047689476746,6897.715251087706,1304.4031942841382,0.27522473529019564,0.3646453873629489,0.010910255226911681,0.4305603949657837,-0.23806540697030182,0.4940434543147686
800.0,0.7997651378204391,0.9935306903682112,2.686042981473374,110342026.3335629,3163022.8106112927,1.0065114341152273,9107.175525076163,1306.5889266857819,0.28554215296942537,0.3633809425361381,0.022094652640158044,0.4291323677424,-0.2260607298118307,0.4924545303616355
1000.0,0.7941228884397523,0.9893821184297313,2.6804292146388073,112381517.21564157,5202513.69268997,1.01073183087958,11239.13178068606,1309.3741317821557,0.2986125180418193,0.36177911192172124,0.036263329517527865,0.42732330682006114,-0.2108529018537441,0.49044164140187874
1250.0,0.7852613208859205,0.9830502091519693,2.6718382584601676,115516824.33902954,8337820.816077933,1.0172420398167175,13763.239564544143,1313.6613096758251,0.318561639593259,0.35933425950521813,0.05788878953216179,0.42456216158549376,-0.18764139958973852,0.48736939618873226
1500.0,0.7743539670770715,0.9755710740861127,2.6616550590202617,119263136.99791364,12084133.47496204,1.0250406418996911,16081.717754092242,1318.7816465105377,0.3421251759585722,0.3564464446871297,0.08343238613402208,0.42130074749380686,-0.16022439898241236,0.48374051651017264
2000.0,0.7462618727216859,0.9577869329779528,2.6372831995681154,128400462.99351558,21221459.470563978,1.0440735465985094,20168.354438940063,1331.211068105488,0.3981553521805591,0.34957970063626026,0.14417081676502025,0.41354564641487507,-0.0950313247472502,0.4751116432915758
2500.0,0.7096685340780245,0.937231448591526,2.608829764403227,139431491.4368537,32252487.913902104,1.0669723060432967,23650.025102044237,1346.041706174939,0.46291683857988525,0.34164289619545024,0.21437425559843676,0.4045820502437897,-0.019679065034849785,0.46513811307504255
3000.0,0.6645729425325713,0.9149155929504886,2.577584010350979,152050488.0955598,44871484.5726082,1.092997001805516,26520.038262782226,1362.7379542606068,0.5332244973252398,0.3330263839876808,0.29058991547096213,0.39485081188335586,0.062126360629467525,0.4543104499385492
4000.0,0.5494888786243985,0.8678689051892314,2.5104372969368947,181134616.24908206,73955612.72613046,1.152247757720918,31189.766544683313,1400.1543778540376,0.6814483665518809,0.3148608981577526,0.45126913880968245,0.3743352403526011,0.23459002862920242,0.431483375997906
4500.0,0.47996733961318583,0.8441006231371895,2.475822040079448,197255909.119214,90076905.5962624,1.1846928820919407,33119.882029894856,1420.311354759353,0.7563319959478912,0.30568358065967227,0.5324452913073456,0.36397064480282937,0.3217197565613585,0.41995099491728033
5000.0,0.4028148757647436,0.820586601909983,2.441094123371516,214254498.27897692,107075494.75602531,1.2186404185401243,34742.10919734312,1441.1648495022662,0.8304145588917609,0.2966044373717317,0.6127530631855833,0.3537169243515525,0.4079174155941629,0.40854198130256814
6000.0,0.22670992972994394,0.7750464445058899,2.3723905120008264,250486469.23195457,143307465.70900297,1.2902452583180655,37462.63751716372,1484.4045759910111,0.9738919992140034,0.27902064723936876,0.7682870119206222,0.33385830302869535,0.5748584471722233,0.38644587656492857
7000.0,0.023294713572036264,0.7321623244670118,2.3058231916527636,289179773.31330436,182000769.79035276,1.3658173421146254,39683.99407675328,1529.0284344901825,1.109001408675487,0.2624623960220175,0.914749758381719,0.3151578955386789,0.7320629814930519,0.3656384823446488
8000.0,-0.20546815346957417,0.6922782889327314,2.2421397083716434,329854457.38546115,222675453.86250955,1.444505794832416,41435.87681143514,1574.4921842325589,1.234658842781448,0.24706252587568672,1.050966273469515,0.2977657299500842,0.8782698111380978,0.3462867304676122
10000.0,-0.7321051177580119,0.6215206264087506,2.1244674791549865,415770981.9654448,308591978.4424932,1.6089570603282566,42958.26228999183,1666.6303884900838,1.4575857907944418,0.21974184981745212,1.2926259269038018,0.2669105527646851,1.1376531301062471,0.311955080968748
