lam_op_nm,A_high_trust,A_low,E_cell_10_J,E_cell_50_J,E_cell_90_J,E_cell_max_model_J,E_cell_max_trust_J,Fz_high_trust,Fz_low,I_10_Wcm2,I_50_Wcm2,I_90_Wcm2,I_at_max_slope_Wcm2,I_max_model_Wcm2,I_max_trust_Wcm2,R_high_trust,R_low,T_high_model,T_high_trust,T_high_trust_G05,T_high_trust_G2,T_low,Te_peak_at_I_max_trust,contrast_dB_trust,contrast_trust,dIout_dIin_cold,dIout_dIin_max,dIout_dIin_min,dT_model,dT_trust,dT_trust_G05,dT_trust_G2,dynamic_range_decades_10_90,"fit_T_sigmoid_params(c,a,x0,s)",fit_T_sigmoid_rmse_norm,"fit_leakyrelu_params(a,b,x0)",fit_leakyrelu_rmse,fit_linear_rmse,"fit_sigmoid_params(c,a,x0,s)",fit_sigmoid_rmse,"fit_softplus_params(c,a,x0,s)",fit_softplus_rmse,max_abs_dT_dlog10I,monotonic_Iout_trust,monotonic_T_trust,n_valid_model,n_valid_trust,saturating_within_trusted_range,slope_at_I_max_trust_over_max
1302.0,0.7585569702401871,0.9934886073703675,2.6272346396263344e-13,1.0649549929607438e-12,2.4417649294034866e-12,1.0867542976505674e-11,5.446673800720364e-12,0.6977949730357732,0.9559309768219544,241750563.61001754,979940907.7682496,2246841751.3344917,1258925411.7941713,10000000000.0,5011872336.272715,0.2408108787327219,0.003943911457604508,0.001255901409702498,0.0006321510270927886,0.0007700129705192881,0.000572264190344404,0.00256748117202659,5853.002441912224,-6.086864195939273,0.24621447431835022,0.00256748117202659,0.0025674165297506104,8.762496360448669e-05,-0.0013115797623240919,-0.0019353301449338014,-0.0017974303802987535,-0.001995241169039189,0.9682049901825103,"[1.4447440575160297, -1.4460447500099798, 0.11565070724127383, 0.13646186376070107]",0.006594879881662179,"[3.358562192985555, 0.5269161457125502, 0.12776068834221557]",0.041094737035880624,0.1558548139352786,"[-1.9999999999999998, 3.102606831503772, -0.5753151652592464, 0.6250963521433495]",0.0695823418145096,"[-1.9999999999955391, 1.006522275005949, -0.9999999999999994, 2.4809218993100344]",0.07287877911508792,0.0022761741033804402,True,decreasing,51,48,True,0.1715059122154224
1268.0,0.6004704783659351,0.8934507132627499,7.066938667200917e-13,2.9877263540341547e-12,5.94149482457341e-12,1.0867542976505674e-11,6.8569560574804076e-12,0.41931509071445794,0.7744147566711164,650279339.3574603,2749219727.488781,5467192388.765529,6309573444.801943,10000000000.0,6309573444.801943,0.1960410811736123,0.027858879684852282,0.24585581186601707,0.20348844046045111,0.222138969568797,0.1729847626653397,0.07869040705239831,5815.935916735218,4.126179515066845,2.5859370675888407,0.07869040705239831,0.2809335296211543,0.07869162075570069,0.16716540481361875,0.1247980334080528,0.14344785238578012,0.09429480975901987,0.9246644010008769,"[-1.353135945446053, 2.8015290682754714, 0.05511182968295409, 0.5762493508434238]",0.0036624338368921893,"[0.5890236067942777, 1.2203266903460184, 0.38915484688427077]",0.01207892137619424,0.06355225121227187,"[-0.22129123171114234, 2.260470085288755, 0.9369089751706055, 0.4159603617992893]",0.002080759526059112,"[-0.14585913127318403, 1.5121641737348086, 0.2652764298462618, 0.2845235707805166]",0.0011326871003981384,0.2005250160237109,True,increasing,51,49,False,1.0
1306.0,0.771228934874195,0.9884055688493809,2.927669655769784e-13,1.2402596261845875e-12,3.4616882907285645e-12,8.632396228318025e-12,5.446673800720364e-12,0.7132908840375005,0.9529274991342718,269395728.37200224,1141251181.491419,3185345848.838435,1258925411.7941713,7943282347.242822,5011872336.272715,0.22790841169994813,0.008219077848855857,0.0006825119666754792,0.0008626534258572466,0.0007889417976764525,0.001020260342076162,0.0033753533017600633,5931.976036339303,-5.92482886232529,0.2555742610432572,0.0033753533017600633,0.0033752799573696663,0.000418173225908639,-0.0026928413350845843,-0.0025126998759028166,-0.002586368591377869,-0.002355120403172192,1.0727658876186474,"[1.999999999999997, -1.9963439915983032, 0.0076268889234568345, 0.20459506512144346]",0.008219534096072153,"[2.992418910335941, 0.5534955041535932, 0.19092040638580296]",0.017434759296582142,0.17553656345997454,"[-1.9999999999999998, 2.972367334818499, -0.23889321137690772, 0.2719419200735378]",0.03328055097112749,"[-0.843863850608354, 1.1401533196492564, -0.9315009643944832, 0.030747227634780907]",0.06686830281072528,0.0025574690469319736,True,decreasing,50,48,False,0.4500043468526399
1292.0,0.7188071089071894,0.9926560342024577,7.695372095200016e-13,2.704342234583614e-12,4.81905980031915e-12,1.0867542976505674e-11,5.446673800720364e-12,0.6491830662122463,0.9475900278232594,708105973.1566268,2488457823.8430505,4434360011.952453,5011872336.272715,10000000000.0,5011872336.272715,0.26550067883354284,0.000223899419675299,0.021763571911660815,0.015692212259266716,0.017379159523217752,0.013251830275623556,0.007120066377868443,5609.286980603219,3.432001315115583,2.2039418492000835,0.007120066377868443,0.021918883995957383,0.007120129836022889,0.014643505533792373,0.008572145881398274,0.010259056016729783,0.0061317876418736685,0.7967326913839264,"[-0.4293009484874847, 1.7711264198667338, 0.4632466296283885, 0.38535562674792945]",0.004877391720457154,"[0.6089829559780752, 1.2332813396499376, 0.4139473084662927]",0.011674339705042735,0.06300875279638017,"[-0.22302292667665058, 2.4045172461854354, 0.9881745386943123, 0.4309893288514051]",0.0013454438907113651,"[-0.1615439177193689, 1.606784282620349, 0.31296536314077644, 0.3169437201938666]",0.0006163763827796768,0.016122435435297306,True,increasing,51,48,False,1.0
