theta,phi,R_cross,R_co,T_tot,A
0.0,0.0,0.3331727385520935,0.16625916957855225,0.2591385841369629,0.24142950773239136
0.0,45.0,0.3331727385520935,0.16625916957855225,0.2591385841369629,0.24142950773239136
0.0,90.0,0.3331727385520935,0.16625916957855225,0.2591385841369629,0.24142950773239136
15.0,0.0,0.3510855436325073,0.13402587175369263,0.2573845684528351,0.2575039565563202
15.0,45.0,0.34526360034942627,0.14973509311676025,0.2539252042770386,0.2510760426521301
15.0,90.0,0.33980751037597656,0.164323627948761,0.2516288757324219,0.2442399561405182
30.0,0.0,0.35255932807922363,0.04841763526201248,0.3035517632961273,0.2954712510108948
30.0,45.0,0.3630749583244324,0.10427249222993851,0.25330883264541626,0.27934372425079346
30.0,90.0,0.3588210344314575,0.15725812315940857,0.226760596036911,0.2571602463722229
45.0,0.0,0.2725624442100525,0.0013423121999949217,0.4156765639781952,0.31041863560676575
45.0,45.0,0.35001102089881897,0.05153968930244446,0.27808719873428345,0.32036200165748596
45.0,90.0,0.38265854120254517,0.14562609791755676,0.1802455335855484,0.29146987199783325
60.0,0.0,0.25448280572891235,0.009859563782811165,0.442082941532135,0.2935747504234314
60.0,45.0,0.3171132206916809,0.018243666738271713,0.30908671021461487,0.35555630922317505
60.0,90.0,0.3538682460784912,0.13383474946022034,0.12415579706430435,0.3881412148475647
75.0,0.0,0.4378463625907898,0.009925641119480133,0.326642781496048,0.2255851924419403
75.0,45.0,0.3762534260749817,0.005085189826786518,0.282307505607605,0.3363538086414337
75.0,90.0,0.3411795496940613,0.062493905425071716,0.22759461402893066,0.36873185634613037
80.0,0.0,0.5702642202377319,0.006159244105219841,0.24804066121578217,0.17553581297397614
80.0,45.0,0.4664250910282135,0.002767660189419985,0.24105677008628845,0.28975042700767517
80.0,90.0,0.49017637968063354,0.027445875108242035,0.22317807376384735,0.25919967889785767
