design,tag,R_ZE,T_ZE,A_ZE,lam_Amax,A_max,lam_Tmin,T_min,lam_Rmax,R_max,max_leak_over_Pinc,n_steps,time_fs
final3,prod,0.029058081071088204,0.013507107631147167,0.9574348112977646,1284.0000000000002,0.9887532508081255,1286.0,-0.000348031459571404,1356.0,0.08031711407181806,1.3367432858265814e-07,23053,300.00000000000006
final3,noito,0.9723534745350008,0.014920752793028078,0.012725772671971164,1258.0,0.36746832388673545,1256.0000000000002,-0.27385850834054837,1254.0,1.3688029841919818,1.3367432858265814e-07,69159,900.0000000000001
final1,prod,0.024597263981181262,0.01474760791047595,0.9606551281083427,1286.0,0.9943457425468779,1288.0,-0.003452086553943357,1364.0,0.0725456265141607,1.3367432858265814e-07,23053,300.00000000000006
final1,noito,1.000787184247894,0.004589501342211321,-0.005376685590105293,1330.0000000000002,0.1891286109744513,1296.0000000000002,-0.001138895498118941,1296.0000000000002,1.0062671170830595,1.3367432858265814e-07,69159,900.0000000000001
final0,prod,0.02358652155217006,0.026606705005897117,0.9498067734419328,1286.0,0.9850688954559307,1266.0,-0.004926708459585665,1200.0000000000002,0.075234533585849,1.3367432858265814e-07,23053,300.00000000000006
final0,noito,0.9698461329073939,0.02638880002640164,0.003765067066204508,1340.0,0.09075526693964603,1290.0000000000002,-0.000977100094860857,1292.0,1.0023174229625351,1.3367432858265814e-07,69159,900.0000000000001
final2,prod,0.019112687092897297,0.017252156990651264,0.9636351559164514,1288.0,0.9930041256167113,1288.0,-0.0023554424324707963,1200.0000000000002,0.1262331731293219,1.3367432858265814e-07,23053,300.00000000000006
final2,noito,1.0344532398130326,0.0332050296632573,-0.06765826947628997,1308.0,0.3178954804672044,1294.0,0.0001587781265180144,1312.0,1.0668996287750392,1.3367432858265814e-07,69159,900.0000000000001
