design,kind,tag,reference,time_fs,nominal_time_fs,complete,n_steps,n_z,nxy,glass_extra_nm,R_ZE,T_ZE,A_ZE,R_max,T_min,max_abs_A
final3,noito,noito6ps_deepglass,ref64_deepglass,5999.995174317742,6000.0,True,461078,329,64,4500.0,0.9863385379366824,0.013343756487912636,0.0003177055754050592,0.9997063196671315,0.00028612224620295704,0.002349274302691433
final3,prod,prod_deepglass,ref64_deepglass,300.0010600131024,300.00000000000006,True,23054,329,64,4500.0,0.02880373456876996,0.01356219051024143,0.9576340749209886,0.07990457904546805,0.00020019604515915637,0.988217115738616
final2,noito,noito12ps,ref64_fresh,11999.994637137424,12000.0,True,922120,160,64,0.0,0.9683795855734048,0.031508669056681975,0.00011174536991330152,0.999085804225888,0.0008383600604594454,0.0021014797343951175
final2,prod,prod,ref64_fresh,299.99986592843567,300.00000000000006,True,23053,160,64,0.0,0.01911268709827903,0.017252156990651264,0.9636351559110696,0.1262331731652369,-0.0023554424324707963,0.9930041256186121
final1,noito,noito24ps,ref64_fresh,19259.957557544996,24000.0,False,1480000,158,64,0.0,0.994413295257142,0.005444221995221574,0.0001424827476364928,0.9997449401431262,9.207387089651288e-05,0.00928744457842623
final1,prod,prod,ref64_fresh,299.99986592843567,300.00000000000006,True,23053,158,64,0.0,0.024597263986563,0.01474760791047595,0.960655128102961,0.07254562650879351,-0.003452086553943357,0.9943457425478844
