theta,phi,R_cross,R_co,T_tot,A
0.0,0.0,4.347075810073875e-05,0.8264037370681763,0.0004221663111820817,0.173130601644516
0.0,45.0,4.347075810073875e-05,0.8264037370681763,0.0004221663111820817,0.173130601644516
0.0,90.0,4.347075810073875e-05,0.8264037370681763,0.0004221663111820817,0.173130601644516
15.0,0.0,0.003631460014730692,0.8004621267318726,0.007650467101484537,0.18825587630271912
15.0,45.0,0.00020283140474930406,0.8083220720291138,0.0049513038247823715,0.1865236759185791
15.0,90.0,0.0019392988178879023,0.8051613569259644,0.0077179232612252235,0.1851813644170761
30.0,0.0,0.051189713180065155,0.6330387592315674,0.08943633735179901,0.22633516788482666
30.0,45.0,0.0046731214970350266,0.7293496131896973,0.04001595079898834,0.22596125304698944
30.0,90.0,0.04081573337316513,0.660781741142273,0.08139913529157639,0.2170032560825348
45.0,0.0,0.1798710823059082,0.33342245221138,0.25026875734329224,0.23643758893013
45.0,45.0,0.04231242090463638,0.5609956979751587,0.1192292720079422,0.27746254205703735
45.0,90.0,0.16519510746002197,0.36907070875167847,0.2372308224439621,0.2285032868385315
60.0,0.0,0.32966649532318115,0.14740929007530212,0.3189569413661957,0.20396718382835388
60.0,45.0,0.17964109778404236,0.3355576992034912,0.18654899299144745,0.2982521653175354
60.0,90.0,0.32567015290260315,0.16163098812103271,0.3133934736251831,0.19930537045001984
75.0,0.0,0.5457556843757629,0.049201421439647675,0.26436376571655273,0.1406790018081665
75.0,45.0,0.4873901903629303,0.12255978584289551,0.1611100435256958,0.22893986105918884
75.0,90.0,0.5503883957862854,0.05179078131914139,0.26083898544311523,0.13698172569274902
80.0,0.0,0.6581985950469971,0.025571059435606003,0.2097681313753128,0.10646210610866547
80.0,45.0,0.6384532451629639,0.06406840682029724,0.12389539927244186,0.17358285188674927
80.0,90.0,0.6635814905166626,0.026612095534801483,0.20637935400009155,0.10342711210250854
