run_id,lam_res_rad,Q_rad,Qfit_ok_rad,Q_loaded,Qfit_ok_loaded,Q_abs
P0550_H0150_seed011,1330.644179808476,905.1594386463878,True,861.5998767713992,True,17903.88211512288
P0550_H0150_seed029,973.340344247812,2.377012529278935,False,2.5752115562491102,False,
P0550_H0250_seed011,1263.9271566455132,24.886178850366367,False,25.340353792781944,False,
P0550_H0250_seed029,1326.0963962896494,47.11712497278329,True,60.357902005793875,True,
P0550_H0350_seed011,1331.7790232908942,292.06290631304233,True,287.7986105568747,True,19711.413897716382
P0550_H0350_seed029,1329.547926537694,28.24449477313302,True,28.17336393845408,True,11187.025065753027
P0650_H0150_seed011,1270.4675616808643,9.947519020291898,False,9.83569775882907,False,874.9748415807295
P0650_H0150_seed029,1004.3680244441031,1.588053120298241,False,0.7445122905482655,False,1.4016216221045321
P0650_H0250_seed011,1290.7560281784342,24.958209951763113,False,24.86361593640618,False,6560.154406801422
P0650_H0250_seed029,1391.128560914698,9.102342652654295,False,9.102071840229083,False,305931.96258964954
P0650_H0350_seed011,1331.9003500822198,297.32398739947104,True,293.9332219818654,True,25773.94388153646
P0650_H0350_seed029,1343.2802018735474,56.40929472510375,True,56.74603307845228,True,
P0750_H0150_seed011,1317.207959868715,36.7549038613739,True,46.02175358850033,True,
P0750_H0150_seed029,1634.7196600245632,7404366.159639553,False,73106.56810795276,False,73835.57930088558
P0750_H0250_seed011,1330.2538983873428,559.5100448974348,True,555.2843678843691,True,73523.64618620653
P0750_H0250_seed029,1311.81498566369,596.9234171029584,True,584.751629572863,True,28677.130620141477
P0750_H0350_seed011,1265.4427949395238,20.81110689968052,False,21.071296221807668,False,
P0750_H0350_seed029,1327.595358005938,14470295.517501727,True,22014233.419906516,True,
