lam_nm,f_ED,f_MD,f_EQ,f_MQ,sum_check,C_total_exact,px_given_ED,py_given_ED,pz_given_ED,mx_given_MD,my_given_MD,mz_given_MD,Qxx_given_EQ,Qyy_given_EQ,Qzz_given_EQ,Qxy_given_EQ,Qxz_given_EQ,Qyz_given_EQ,Cpx_total_fraction,Cmy_total_fraction,CQxz_total_fraction,ED_EQ_balance,CT_diag_over_CED,run_id,which,en_res,class,old_EDEQ_frac,old_MD_frac
1332.5,0.6973428987041668,0.25039794286586314,0.02387708200092663,0.0283820764290434,1.0,3.3884621871682274e-12,0.99979888983168,0.0001780535732129692,2.3056595107042943e-05,1.575436267974566e-06,0.004202005804788787,0.9957964187589433,0.001121629934516153,0.0018354407317750956,8.802867663879925e-05,0.8172519626150739,0.17970154457073295,1.3934712630863177e-06,0.6972026559564316,0.0010521736094295279,0.004290748515408563,0.03424008768899214,0.24213397193346659,P0550_H0150_seed011,lam0,0.0005951680735885034,ED_dominated,0.7425484724292388,0.2574515275707612
1330.5,0.48639427754244824,0.40888468467419287,0.02906775087461017,0.07565328690874888,1.0,1.1125700865525167e-11,0.9995651698971159,0.0004222460961606103,1.2584006723495502e-05,7.414318817671682e-07,0.0012496317493616333,0.9987496268187566,0.0015569130664028286,0.003289528969571936,0.00032029157675213086,0.9663209564324355,0.028511464896660992,8.450581765789483e-07,0.4861827786687022,0.0005109552837965914,0.0008287641586863346,0.05976170406748543,1.0174342412787412,P0550_H0150_seed011,px_peak,0.04258981250756744,MD_contaminated,,
1292.5,0.9155725370612466,0.007828687527201433,0.06908207929385364,0.007516696117698272,1.0,4.1444456210548363e-13,0.9997308713663879,0.0001531687882134181,0.00011595984539868485,0.00023927887626528193,0.8286866779847025,0.1710740431390322,3.644048283987513e-05,7.974461528862349e-06,7.719323946324402e-05,0.009328766982756786,0.9905392866310161,1.033820239520379e-05,0.9153261302753746,0.00648752905989683,0.06842851354272107,0.07545232791231313,0.08809339995693817,P0550_H0150_seed011,Qxz_peak,6.727238561765603e-07,ED_dominated,,
1330.644179808476,0.5093356857499302,0.39255286609660756,0.028080718810218733,0.07003072934324367,1.0,1.173654729552208e-11,0.9996089367761055,0.0003780204155840337,1.3042808310555255e-05,8.515276009081864e-07,0.0013194933642376864,0.9986796551081615,0.0014997990888000262,0.0031576472298374503,0.00030518489869494036,0.9726985097270009,0.02233839698768221,4.620679844790352e-07,0.5091365032946162,0.0005179709019269587,0.0006272782444821413,0.05513204669504661,0.8938811204346874,P0550_H0150_seed011,pole,0.01054455702138879,mixed_higher_order,,
1332.5,0.9181587548309198,0.04123462543720551,0.03510901152522741,0.005497608206647287,1.0,4.664083395877443e-13,0.9999881545298263,6.07543055591299e-08,1.1784715868255426e-05,9.50991481080887e-07,0.9999892493485101,9.799660008883325e-06,7.056501270899349e-06,3.3511333212344827e-05,1.1305964029443476e-05,7.435656595160657e-06,0.9999385429439619,2.1476009302580475e-06,0.9181478788087746,0.041234182138118115,0.03510685382873866,0.038238497798447485,0.04990473884117001,P0550_H0150_seed029,lam0,1.3073268341212696e-06,ED_dominated,0.9585371317893925,0.04146286821060743
1292.5,0.8939187994306919,0.05332416034566459,0.047364040128772086,0.005393000094871478,1.0,4.886776534412037e-13,0.9999812979629423,2.6402984402694332e-08,1.8675634073254483e-05,1.036963442621137e-06,0.9999987971582062,1.6587835113501658e-07,9.271587838421062e-06,3.131893677922465e-05,8.72901361049105e-06,9.546835803182455e-06,0.9999389625237737,2.171102194954915e-06,0.8939020813281783,0.05332409620513591,0.04736114914729875,0.052984723175009546,0.05331807166243684,P0550_H0150_seed029,px_peak,2.145514647389213e-06,ED_dominated,,
1292.5,0.8939187994306919,0.05332416034566459,0.047364040128772086,0.005393000094871478,1.0,4.886776534412037e-13,0.9999812979629423,2.6402984402694332e-08,1.8675634073254483e-05,1.036963442621137e-06,0.9999987971582062,1.6587835113501658e-07,9.271587838421062e-06,3.131893677922465e-05,8.72901361049105e-06,9.546835803182455e-06,0.9999389625237737,2.171102194954915e-06,0.8939020813281783,0.05332409620513591,0.04736114914729875,0.052984723175009546,0.05331807166243684,P0550_H0150_seed029,Qxz_peak,2.145514647389213e-06,ED_dominated,,
1332.5,0.4909973008535742,0.05164949931645405,0.4569394410942263,0.0004137587357454272,1.0,1.4831234824431247e-12,0.9996244156339067,0.00029706907690491187,7.851528918832375e-05,0.0007385965118653213,0.7836795345474427,0.215581868940692,1.8406279733008604e-05,2.173890826056252e-06,8.71991531455229e-06,0.15246526312669026,0.8474680601055359,3.737668190034311e-05,0.4908128899435796,0.04047665558392717,0.3872415817298317,0.9306353421899876,0.0006570029759024167,P0550_H0250_seed011,lam0,0.0002865192786751791,clean_balanced_ED_EQ,0.9483076369332432,0.051692363066756765
1292.5,0.37204157734407317,0.281003795742207,0.34621477453145894,0.0007398523822608618,1.0,2.672051513182439e-12,0.9989372241173036,0.0009409431860139495,0.00012183269668252399,0.0015951337381474612,0.26239951224177166,0.7360053540200808,0.0002055258399869215,2.8435056657708356e-05,8.327868251525571e-05,0.3190708991151841,0.6799198510371395,0.0006920102685164553,0.37164618052831155,0.07373525894084156,0.2353982979262864,0.9305808694904845,0.032700196623910424,P0550_H0250_seed011,px_peak,0.00048050028219703833,mixed_higher_order,,
1302.5,0.43668346652238976,0.16222948042736107,0.4004198233364121,0.0006672297138372161,1.0,2.1744033749884995e-12,0.9993003837080059,0.000677661305576105,2.1954986417988534e-05,0.0008169857533059558,0.4425099363368791,0.5566730779098149,9.433388481427878e-05,1.1667224081418121e-05,4.1242719971938834e-05,0.2490624240190358,0.7506020572649647,0.00018827488713190726,0.4363779556547662,0.07178815705587652,0.3005559431659846,0.9169566838085949,0.013401886683882957,P0550_H0250_seed011,Qxz_peak,0.0006352520367577386,mixed_higher_order,,
