lam_nm,f_ED,f_MD,f_EQ,f_MQ,sum_check,C_total_exact,px_given_ED,py_given_ED,pz_given_ED,mx_given_MD,my_given_MD,mz_given_MD,Qxx_given_EQ,Qyy_given_EQ,Qzz_given_EQ,Qxy_given_EQ,Qxz_given_EQ,Qyz_given_EQ,Cpx_total_fraction,Cmy_total_fraction,CQxz_total_fraction,ED_EQ_balance,CT_diag_over_CED,run_id,which,en_res,class,old_EDEQ_frac,old_MD_frac
1332.5,0.6973428987041668,0.25039794286586314,0.02387708200092663,0.0283820764290434,1.0,3.3884621871682274e-12,0.99979888983168,0.0001780535732129692,2.3056595107042943e-05,1.575436267974566e-06,0.004202005804788787,0.9957964187589433,0.001121629934516153,0.0018354407317750956,8.802867663879925e-05,0.8172519626150739,0.17970154457073295,1.3934712630863177e-06,0.6972026559564316,0.0010521736094295279,0.004290748515408563,0.03424008768899214,0.24213397193346659,P0550_H0150_seed011,lam0,0.0005951680735885034,ED_dominated,0.7425484724292388,0.2574515275707612
1332.5,0.9181587548309198,0.04123462543720551,0.03510901152522741,0.005497608206647287,1.0,4.664083395877443e-13,0.9999881545298263,6.07543055591299e-08,1.1784715868255426e-05,9.50991481080887e-07,0.9999892493485101,9.799660008883325e-06,7.056501270899349e-06,3.3511333212344827e-05,1.1305964029443476e-05,7.435656595160657e-06,0.9999385429439619,2.1476009302580475e-06,0.9181478788087746,0.041234182138118115,0.03510685382873866,0.038238497798447485,0.04990473884117001,P0550_H0150_seed029,lam0,1.3073268341212696e-06,ED_dominated,0.9585371317893925,0.04146286821060743
1332.5,0.4909973008535742,0.05164949931645405,0.4569394410942263,0.0004137587357454272,1.0,1.4831234824431247e-12,0.9996244156339067,0.00029706907690491187,7.851528918832375e-05,0.0007385965118653213,0.7836795345474427,0.215581868940692,1.8406279733008604e-05,2.173890826056252e-06,8.71991531455229e-06,0.15246526312669026,0.8474680601055359,3.737668190034311e-05,0.4908128899435796,0.04047665558392717,0.3872415817298317,0.9306353421899876,0.0006570029759024167,P0550_H0250_seed011,lam0,0.0002865192786751791,clean_balanced_ED_EQ,0.9483076369332432,0.051692363066756765
1332.5,0.046691163036263236,0.6233946850426861,0.32930217997103095,0.0006119719500197396,1.0,1.0506925439566122e-11,0.9876905708399526,0.0004528728393341787,0.01185655632071317,0.007017058651325326,0.9926651178190136,0.00031782352966117626,7.957351829110103e-06,1.4961528084434464e-06,2.762287599388334e-06,8.427464828607262e-06,0.9921672719436031,0.007812084799331353,0.04611642147246813,0.6188221584756448,0.3267228455469392,0.1417881990346092,0.0257446592753848,P0550_H0250_seed029,lam0,0.00024802679043656184,MD_contaminated,0.3763477716175414,0.6236522283824585
1332.5,0.03425911838462424,0.633546164284213,0.32838958378759436,0.0038051335435684663,1.0,3.6159603546073063e-11,0.26202595309201354,0.0007478961849931435,0.7372261507229932,0.23032249851642145,0.7693292549357897,0.0003482465477888409,6.109618825270337e-05,3.0416837054195546e-06,7.981926511079885e-05,1.589028165977985e-05,0.7531662607477403,0.24667389183353094,0.008976778146823289,0.48740559853620097,0.2473319548898092,0.10432461952503151,0.0004219557459902201,P0550_H0350_seed011,lam0,0.0007420959304818009,MD_contaminated,0.3637797732504131,0.636220226749587
1332.5,0.06616266973758793,0.5861659782326138,0.33967534413171585,0.007996007898082327,1.0,6.350516306033615e-12,0.8212410337524801,0.024939083973336287,0.1538198822741835,0.0059151263211102405,0.9836769262537979,0.010407947425091652,2.377647219455149e-05,8.008867079558639e-05,1.8140476922730775e-05,0.000841974413662322,0.9937132278176571,0.005322792148767753,0.05433549929112065,0.5765979477424081,0.3375398826272008,0.19478207906645129,0.005262431210101465,P0550_H0350_seed029,lam0,6.230652754624089e-06,MD_contaminated,0.40885099610087383,0.5911490038991263
1332.5,0.9734750924754274,0.00031071551770017156,0.0221324581556147,0.004081733851257549,1.0,8.923743287481828e-13,0.999775527490837,4.131701262308112e-06,0.0002203408079007331,0.0058708229053907645,0.8352814906346137,0.15884768645999564,0.016199771056960237,0.004976377111752248,0.003219965937970567,0.08962781930942404,0.8858894517280194,8.661485587362944e-05,0.9732565740788118,0.000259534920787905,0.019606911220870833,0.022735515604548832,0.046339440424473875,P0650_H0150_seed011,lam0,5.7169509437571264e-06,ED_dominated,0.9996877215318205,0.00031227846817946257
1332.5,0.9593920557850072,0.020047391986666434,0.01928280297545051,0.0012777492528757942,1.0,4.771593953262154e-13,0.9967777244779102,0.0032087925091129426,1.3483012976837496e-05,0.001317911127536306,0.08837743826269755,0.9103046506097661,0.06343336158332909,0.006099614063124752,0.031121728442545016,0.32674302664173605,0.5724304992600423,0.0001717700092228468,0.9563006302475638,0.0017717371476297103,0.011038064534370165,0.020098981286302883,0.03598349310852317,P0650_H0150_seed029,lam0,2.4101754494743055e-05,ED_dominated,0.9799243119824204,0.02007568801757961
1332.5,0.31170820740753424,0.4269821715855057,0.2541831077582723,0.007126513248687901,1.0,4.1125259856870275e-12,0.9705235539137662,0.02903919829598575,0.00043724779024805074,0.009442616286436759,0.9905566012957597,7.824178035308669e-07,3.006845094879569e-05,3.0172155413193045e-05,2.0896898160127582e-07,0.0004190123450190704,0.9897383464854004,0.009782191594236917,0.3025201572372495,0.4229500086996214,0.25157476877719276,0.8154520853727398,0.011712607471313231,P0650_H0250_seed011,lam0,2.694196051811204e-06,MD_contaminated,0.569861912196299,0.43013808780370116
1332.5,0.269280096601568,0.4155181531105686,0.3047561591035602,0.010445591184303136,1.0,3.1072782637144646e-12,0.939745844667559,7.617257448996854e-05,0.06017798275795097,7.404609372937946e-06,0.9940024283228127,0.005990167067814277,0.0004936744272302662,0.00015489622280158544,0.00010784638877937039,7.804211384228777e-05,0.9991639062742746,1.6345730718848547e-06,0.2530548518330024,0.4130260532041155,0.3045013543910575,0.8835919752816646,0.08073901323279037,P0650_H0250_seed029,lam0,6.754616407644853e-05,MD_contaminated,0.5800913249280661,0.41990867507193375
