run_id,P,h,seed,S_px_t,S_Qxz_t,split_nm,split_over_fwhm,fwhm_px,fwhm_Qxz,px_frac_ED,Qxz_frac_EQ,EDEQ_frac,MD_frac,lam_res_rad,Q_rad,Qfit_ok_rad,Q_loaded,Qfit_ok_loaded,Q_abs,fill
P0550_H0150_seed011,550.0,150.0,11,7.777368949374196,0.048052562748515895,38.0,38.0,1.0,69.0,0.999794374552601,0.18026615776064756,0.7425484724292388,0.2574515275707612,1330.644179808476,905.1594386463878,True,861.5998767713992,True,17903.88211512288,0.8379338979721069
P0550_H0150_seed029,550.0,150.0,29,1.4156184973524646,0.05412928796352236,0.0,0.0,80.0,80.0,0.9999881542037957,0.9999389441281299,0.9585371317893925,0.04146286821060743,973.340344247812,2.377012529278935,False,2.5752115562491102,False,,0.9796693921089172
P0550_H0250_seed011,550.0,250.0,11,2.406898811275625,1.8986605974602115,10.0,0.125,80.0,80.0,0.9996252320463761,0.8474837864491611,0.9483076369332432,0.051692363066756765,1263.9271566455132,24.886178850366367,False,25.340353792781944,False,,0.6176859736442566
P0550_H0250_seed029,550.0,250.0,29,1.60215331776962,11.346426422014227,7.0,0.2916666666666667,80.0,24.0,0.9876774537489938,0.9921324701599403,0.3763477716175414,0.6236522283824585,1326.0963962896494,47.11712497278329,True,60.357902005793875,True,,0.8483471274375916
P0550_H0350_seed011,550.0,350.0,11,1.0720073029767256,29.575995217671032,31.0,7.75,38.0,4.0,0.2617010370296055,0.7530194382993612,0.3637797732504131,0.636220226749587,1331.7790232908942,292.06290631304233,True,287.7986105568747,True,19711.413897716382,0.7652066349983215
P0550_H0350_seed029,550.0,350.0,29,1.1404610542313531,7.088530932229267,29.0,0.5370370370370371,80.0,54.0,0.8212506779724184,0.9937220841998666,0.40885099610087383,0.5911490038991263,1329.547926537694,28.24449477313302,True,28.17336393845408,True,11187.025065753027,0.7071900963783264
P0650_H0150_seed011,650.0,150.0,11,2.055685062751447,0.04141099291295768,0.0,0.0,80.0,69.0,0.999775726526083,0.885977367228164,0.9996877215318205,0.00031227846817946257,1270.4675616808643,9.947519020291898,False,9.83569775882907,False,874.9748415807295,0.5614792704582214
P0650_H0150_seed029,650.0,150.0,29,1.0800344877294517,0.012463961100820363,0.0,0.0,80.0,80.0,0.9967778013563389,0.5723252466261206,0.9799243119824204,0.02007568801757961,1004.3680244441031,1.588053120298241,False,0.7445122905482655,False,1.4016216221045321,0.3295857906341553
P0650_H0250_seed011,650.0,250.0,11,2.9436723944457595,2.4483303623826824,80.0,1.0126582278481013,80.0,79.0,0.9705458506356985,0.9897350533445674,0.569861912196299,0.43013808780370116,1290.7560281784342,24.958209951763113,False,24.86361593640618,False,6560.154406801422,0.7713609337806702
P0650_H0250_seed029,650.0,250.0,29,1.8612006291726237,2.239335820568528,7.0,0.0875,80.0,80.0,0.9397492097108857,0.9991649750779542,0.5800913249280661,0.41990867507193375,1391.128560914698,9.102342652654295,False,9.102071840229083,False,305931.96258964954,0.7769822478294373
P0650_H0350_seed011,650.0,350.0,11,0.9644985961430453,59.479613483942735,39.0,9.75,80.0,4.0,0.7493071443443542,0.9907559973961508,0.3218499371242201,0.6781500628757798,1331.9003500822198,297.32398739947104,True,293.9332219818654,True,25773.94388153646,0.547573983669281
P0650_H0350_seed029,650.0,350.0,29,3.969112115315485,0.11720026319464621,35.0,0.7291666666666666,48.0,48.0,0.9745601099900413,0.4631583269152252,0.8056089175336194,0.1943910824663807,1343.2802018735474,56.40929472510375,True,56.74603307845228,True,,0.45426034927368164
P0750_H0150_seed011,750.0,150.0,11,2.0100292550987646,0.2395303731241879,0.0,0.0,80.0,42.0,0.9999672439282576,0.982125912227721,0.9901666690482953,0.009833330951704624,1317.207959868715,36.7549038613739,True,46.02175358850033,True,,0.8314666748046875
P0750_H0150_seed029,750.0,150.0,29,2.1825814510026103,0.24654405480159342,52.0,1.3,80.0,40.0,0.9999531805246975,0.9840179805319065,0.9935782436026849,0.0064217563973151546,1634.7196600245632,7404366.159639553,False,73106.56810795276,False,73835.57930088558,0.8247110843658447
P0750_H0250_seed011,750.0,250.0,11,5.023665602662171,45.55126191393968,1.0,0.25,11.0,4.0,0.5296361450910951,0.9744703516790479,0.3857549619373456,0.6142450380626543,1330.2538983873428,559.5100448974348,True,555.2843678843691,True,73523.64618620653,0.47804445028305054
P0750_H0250_seed029,750.0,250.0,29,2.492781534374257,1.6251363075909564,19.0,1.5833333333333333,12.0,80.0,0.9776732141579583,0.9243637230777901,0.5670087709513196,0.4329912290486805,1311.81498566369,596.9234171029584,True,584.751629572863,True,28677.130620141477,0.6480000019073486
P0750_H0350_seed011,750.0,350.0,11,0.9250321704581232,0.3909767022155027,27.0,0.7714285714285715,80.0,35.0,0.871152383932819,0.8519855212429405,0.9582032807933049,0.041796719206695115,1265.4427949395238,20.81110689968052,False,21.071296221807668,False,,0.18213333189487457
P0750_H0350_seed029,750.0,350.0,29,0.7750416929750473,0.5302674775521364,0.0,0.0,80.0,27.0,0.9382667788588206,0.6965281725045435,0.8451912383728037,0.15480876162719628,1327.595358005938,14470295.517501727,True,22014233.419906516,True,,0.26697778701782227
