lambda_nm,R,T,A
1200.00,0.009132,0.690165,0.300703
1202.00,0.008070,0.685706,0.306224
1204.00,0.007088,0.684985,0.307926
1206.00,0.006315,0.686101,0.307584
1208.00,0.005941,0.686390,0.307669
1210.00,0.006143,0.683183,0.310675
1212.00,0.007016,0.674514,0.318470
1214.00,0.008541,0.659623,0.331836
1216.00,0.010583,0.639148,0.350269
1218.00,0.012934,0.614941,0.372125
1220.00,0.015371,0.589599,0.395030
1222.00,0.017720,0.565827,0.416454
1224.00,0.019901,0.545780,0.434320
1226.00,0.021950,0.530545,0.447506
1228.00,0.024000,0.519854,0.456146
1230.00,0.026237,0.512140,0.461623
1232.00,0.028838,0.504822,0.466340
1234.00,0.031911,0.494839,0.473251
1236.00,0.035447,0.479245,0.485308
1238.00,0.039301,0.455785,0.504914
1240.00,0.043206,0.423321,0.533473
1242.00,0.046807,0.382058,0.571134
1244.00,0.049730,0.333490,0.616781
1246.00,0.051635,0.280170,0.668195
1248.00,0.052281,0.225288,0.722431
1250.00,0.051563,0.172193,0.776244
1252.00,0.049520,0.123914,0.826566
1254.00,0.046328,0.082772,0.870899
1256.00,0.042267,0.050153,0.907580
1258.00,0.037668,0.026430,0.935901
1260.00,0.032875,0.011041,0.956084
1262.00,0.028192,0.002705,0.969103
1264.00,0.023861,-0.000302,0.976441
1266.00,0.020046,0.000156,0.979798
1268.00,0.016831,0.002343,0.980825
1270.00,0.014243,0.004855,0.980903
1272.00,0.012260,0.006732,0.981008
1274.00,0.010842,0.007487,0.981671
1276.00,0.009943,0.007053,0.983003
1278.00,0.009523,0.005680,0.984798
1280.00,0.009548,0.003799,0.986652
1282.00,0.009993,0.001901,0.988106
1284.00,0.010830,0.000417,0.988753
1286.00,0.012027,-0.000348,0.988321
1288.00,0.013539,-0.000250,0.986711
1290.00,0.015314,0.000694,0.983992
1292.00,0.017292,0.002341,0.980366
1294.00,0.019418,0.004469,0.976114
1296.00,0.021643,0.006826,0.971531
1298.00,0.023937,0.009185,0.966878
1300.00,0.026288,0.011371,0.962341
1302.00,0.028705,0.013281,0.958014
1304.00,0.031207,0.014887,0.953906
1306.00,0.033818,0.016224,0.949958
1308.00,0.036555,0.017371,0.946074
1310.00,0.039417,0.018428,0.942155
1312.00,0.042386,0.019492,0.938122
1314.00,0.045418,0.020641,0.933941
1316.00,0.048450,0.021927,0.929622
1318.00,0.051412,0.023365,0.925223
1320.00,0.054232,0.024940,0.920828
1322.00,0.056852,0.026613,0.916535
1324.00,0.059237,0.028330,0.912433
1326.00,0.061379,0.030033,0.908587
1328.00,0.063300,0.031670,0.905030
1330.00,0.065042,0.033198,0.901760
1332.00,0.066663,0.034593,0.898744
1334.00,0.068221,0.035849,0.895930
1336.00,0.069765,0.036975,0.893259
1338.00,0.071321,0.037998,0.890681
1340.00,0.072889,0.038953,0.888158
1342.00,0.074439,0.039881,0.885681
1344.00,0.075920,0.040822,0.883258
1346.00,0.077268,0.041813,0.880918
1348.00,0.078418,0.042880,0.878702
1350.00,0.079315,0.044038,0.876646
1352.00,0.079928,0.045290,0.874782
1354.00,0.080253,0.046623,0.873124
1356.00,0.080317,0.048017,0.871666
1358.00,0.080173,0.049442,0.870385
1360.00,0.079891,0.050863,0.869246
1362.00,0.079544,0.052249,0.868208
1364.00,0.079195,0.053571,0.867234
1366.00,0.078888,0.054813,0.866299
1368.00,0.078636,0.055969,0.865394
1370.00,0.078423,0.057050,0.864528
1372.00,0.078200,0.058078,0.863723
1374.00,0.077901,0.059090,0.863009
1376.00,0.077451,0.060131,0.862418
1378.00,0.076781,0.061250,0.861969
1380.00,0.075844,0.062496,0.861660
1382.00,0.074623,0.063906,0.861471
1384.00,0.073138,0.065508,0.861354
1386.00,0.071443,0.067307,0.861249
1388.00,0.069624,0.069290,0.861086
1390.00,0.067779,0.071415,0.860807
1392.00,0.066010,0.073617,0.860373
1394.00,0.064400,0.075809,0.859791
1396.00,0.063003,0.077884,0.859113
1398.00,0.061826,0.079728,0.858446
1400.00,0.060832,0.081222,0.857946
