iteration,F_co,S_ED,S_MD,balance,learning_rate,projection_beta,elapsed_time_s
0,-4.210548400878906,0.8549003601074219,0.0002575423859525472,0.00030125427239249803,0.02,1.0,1.8591876029968262
1,-1.10917067527771,0.9472576975822449,0.11484669148921967,0.12124123328026791,0.019997806834748454,1.0471285480508996,3.6876003742218018
2,-0.4794645309448242,1.128459095954895,0.33966952562332153,0.3010029577860722,0.019991228300988585,1.096478196143185,5.435769557952881
3,-0.08072850108146667,1.3589448928833008,0.6261498332023621,0.4607617545648864,0.019980267284282715,1.1481536214968828,7.156752824783325
4,0.22615931928157806,1.630518913269043,0.9640812873840332,0.5912726798430974,0.019964928592495042,1.202264434617413,8.924021005630493
5,0.4834904372692108,1.943259358406067,1.353392243385315,0.6964547668483742,0.019945218953682734,1.2589254117941673,10.71951961517334
6,0.7118195295333862,2.3041088581085205,1.8020862340927124,0.7821185304462096,0.01992114701314478,1.318256738556407,12.459207534790039
7,0.9210360050201416,2.720762252807617,2.3190555572509766,0.8523550908783145,0.019892723329629883,1.3803842646028848,14.231277465820312
8,1.1179873943328857,3.2055492401123047,2.918562650680542,0.9104719447633196,0.01985996037070505,1.4454397707459274,16.047282457351685
9,1.306309700012207,3.771404981613159,3.615288734436035,0.9586052816021613,0.019822872507286888,1.5135612484362082,17.84071135520935
10,1.4889856576919556,4.4361090660095215,4.4290876388549805,0.998417210431245,0.019781476007338056,1.5848931924611134,19.63245415687561
11,1.6684006452560425,5.22294282913208,5.385662078857422,0.96978658383245,0.019735789028731604,1.6595869074375607,21.45623230934143
12,1.8459750413894653,6.159262180328369,6.514256000518799,0.9455050860507933,0.01968583161128631,1.7378008287493754,23.26799249649048
13,2.0257198810577393,7.2996344566345215,7.874387741088867,0.9270097811597228,0.019631625667976584,1.8197008586099834,25.101886987686157
14,2.2198069095611572,8.795374870300293,9.634860038757324,0.912870019379522,0.01957319497532067,1.9054607179632472,26.94585156440735
15,2.485887050628662,11.400359153747559,12.655973434448242,0.9007888024413884,0.019510565162951538,1.9952623149688797,28.764354944229126
16,3.2927749156951904,25.253631591796875,28.69089698791504,0.8801966561879588,0.019443763702374814,2.089296130854039,30.549479484558105
