theta_glass,theta_air,R_cross,R_co,R_cross_21,R_co_22,T_cross,T_co,abs_rx,abs_ry,abs_rxy,abs_ryx,dphi_r_deg,pb_phase_err_deg,R_total_x,R_total_y,T_total_x,T_total_y,A_x,A_y,rxx_re,rxx_im,rxy_re,rxy_im,ryx_re,ryx_im,ryy_re,ryy_im,txx_re,txx_im,tyy_re,tyy_im
0.0,0.0,0.5176189541816711,0.07112232595682144,0.5175111293792725,0.07121548801660538,0.015412257052958012,0.000663866987451911,0.709193766117096,0.8212867975234985,2.1346111225284403e-06,0.00017918262165039778,140.0325164794922,39.96749496459961,0.5029558539390564,0.6745120286941528,0.015014313161373138,0.017249247059226036,0.48202982544898987,0.3082387149333954,0.6246569156646729,-0.33579689264297485,-5.793717718916014e-07,2.0544812286971137e-06,-0.00015396607341244817,9.16562057682313e-05,-0.8042043447494507,-0.16663551330566406,-0.02735074795782566,0.11944056302309036,-0.02317657694220543,-0.12927526235580444
15.0,22.154124971482833,0.16291575133800507,0.22097396850585938,0.16291309893131256,0.22099965810775757,0.08904904127120972,0.06240320950746536,0.2936369478702545,0.8255784511566162,1.826656261982862e-05,1.4280823052104097e-05,76.1398696899414,103.86013793945312,0.08622265607118607,0.6815797686576843,0.2830774188041687,0.01985323242843151,0.6306999325752258,0.298566997051239,-0.031938645988702774,-0.2918948233127594,1.1846048437291756e-05,-1.3904619663662743e-05,5.323748155205976e-06,1.3251400559965987e-05,-0.8182961344718933,-0.10941312462091446,0.5285474061965942,0.060951363295316696,-0.034677378833293915,-0.1365676075220108
25.0,38.00678642883053,0.10621322691440582,0.26060599088668823,0.10624392330646515,0.26057156920433044,0.12680694460868835,0.10647471994161606,0.1947997659444809,0.8340790271759033,1.7604119420866482e-05,6.970095273572952e-05,341.8116149902344,161.81163024902344,0.03794695436954498,0.6956878304481506,0.4461221396923065,0.020414823666214943,0.5159308910369873,0.283897340297699,-0.18762020766735077,0.05239853262901306,-1.30562657432165e-05,-1.1808426279458217e-05,-5.3260151616996154e-05,-4.4961972889723256e-05,-0.8332306742668152,-0.03760967403650284,0.6519959568977356,-0.14499446749687195,-0.06002241373062134,-0.12966161966323853
33.0,52.517484477098286,0.13338840007781982,0.2766419053077698,0.13333091139793396,0.2766169607639313,0.1350313127040863,0.09314761310815811,0.3484502136707306,0.8357993960380554,0.0001336729183094576,0.00013505632523447275,-60.531856536865234,119.4681396484375,0.1214175671339035,0.6985606551170349,0.43837350606918335,0.017986679449677467,0.44020891189575195,0.2834526598453522,-0.16721007227897644,0.305709570646286,0.00013205924187786877,2.070761183858849e-05,-0.00011330245615681633,7.350350642809644e-05,-0.835719645023346,0.011543694883584976,0.6350463628768921,-0.18732228875160217,-0.09411460161209106,-0.09554640203714371
