K_per_nm,K_over_k0,lambda_qnm_nm,omega_real,omega_imag,Q,linewidth_THz,eps_ito_cont_real,eps_ito_cont_imag,eps_ito_meas_real,eps_ito_meas_imag,Ez_to_Ex_rms,Ez_to_Ex_max,Ez_flatness_cv,Ez_flatness_max_min,Ez_intensity_localization_fraction,air_decay_length_nm,glass_decay_length_nm,max_boundary_condition_residual,outside_air_lightline,outside_glass_lightline,bound_or_leaky,Lambda_10_nm,Lambda_11_nm,Lambda_20_nm,pole_residual,physical_branch,continuity_ok
0.006375000000000004,1.455235459182902,1434.276714607803,1.3133111261754886,-0.10949492365034293,5.99713248063156,34.85331668484351,-0.1708362318690173,0.0406729144369041,-0.07848109072849065,0.702567881396315,14.459040041586439,7.771579255420178,0.002238418525114572,1.007574416081383,0.8168682604867973,214.66368420025628,512.8306913049146,1.9967469797560823e-10,True,True,bound,985.597695243856,1393.8456276575257,1971.195390487712,6.870578131677491e-16,True,True
0.006500000000000004,1.4836706109909754,1434.1811359496387,1.3133986496493688,-0.11034034473997362,5.951579418863083,35.122422575661226,-0.1703713596379699,0.035472191377520466,-0.07796813865265637,0.7024297080635258,14.491286969560687,7.718853351160988,0.0022886283856239364,1.0077560531705274,0.8288323072999957,207.15149333835288,455.23941376647815,2.0194546023106554e-10,True,True,bound,966.6438934122434,1367.0409040487273,1933.2877868244868,7.884318198314588e-16,True,True
0.006625000000000004,1.5120500525910607,1434.0363281751347,1.3135312755332154,-0.11104122153712039,5.9146110667294405,35.34551858918988,-0.169609631615375,0.031157849111556814,-0.07719104096533597,0.7022204001156401,14.525505905145414,7.677072291424862,0.0023269048084359344,1.0079024458933166,0.8394452177536731,200.25582568829446,407.5689041877294,2.0038050042690583e-10,True,True,bound,948.4053293855974,1341.2476794440342,1896.8106587711948,1.1705065935984338e-15,True,True
0.006750000000000004,1.5404138728554808,1433.882342652023,1.3136723364798286,-0.11161372973021179,5.884904749868966,35.527753606972084,-0.16878160707066092,0.027633492893152926,-0.0763647677061593,0.701997870724139,14.546916301314184,7.638011804841356,0.002359560344781051,1.0080331336691772,0.8486024756154876,193.8925018345607,368.6911661381694,1.9661135340329504e-10,True,True,bound,930.8422677303084,1316.4097594543298,1861.6845354606169,5.582495395355895e-16,True,True
0.006875000000000004,1.5687883215832026,1433.7436701449449,1.313799395618901,-0.11208077624870161,5.86094886023829,35.67641913111512,-0.16802938570973192,0.024759304017443147,-0.0756207298107442,0.7017975096967918,14.548437832261023,7.596966706008935,0.002390846964864982,1.0081610862566832,0.8563993905376779,187.99397025140692,336.9798648611523,1.9193480871883152e-10,True,True,bound,913.9178628624846,1292.4750365551602,1827.8357257249693,1.110712163103964e-15,True,True
0.0070000000000000045,1.5971877352448272,1433.6323586996757,1.3139014028794322,-0.11246438727525665,5.841410933327978,35.7985263133167,-0.1674238742023415,0.022399899133185328,-0.07502354178290761,0.701636708079882,14.528368710030628,7.551845305588184,0.0024231837828681472,1.0082935528375714,0.8630136151519888,182.50521291592054,310.88440568970054,1.8711222772052207e-10,True,True,bound,897.5979010256546,1269.3951251881037,1795.195802051309,4.7271214720367993e-17,True,True
0.007125000000000005,1.6256187213919662,1433.5527951334823,1.313974325677668,-0.11278279751879204,5.825242654841628,35.8998794416962,-0.16699189151157556,0.020442863358798174,-0.07459670681317719,0.7015217843755511,14.487870152990745,7.50208294897617,0.002457781224629252,1.0084340355623047,0.8686333674060642,177.3806043256774,289.1378026051131,1.825235836953797e-10,True,True,bound,881.8505694287132,1247.125035272523,1763.7011388574265,2.8968512156193863e-15,True,True
0.007250000000000005,1.654083538140783,1433.5052943025912,1.314017865713751,-0.11305017915114456,5.811657600104065,35.98498965865797,-0.16673665316339337,0.01880070186682213,-0.07434188889120551,0.7014531787357986,14.429305491790698,7.447879146085472,0.002495158352269245,1.0085840323539281,0.8734273168770288,172.58169979588135,270.7686825900675,1.7830463780087394e-10,True,True,bound,866.6462492661493,1225.6228794919623,1733.2924985322986,1.7773357397650273e-15,True,True
0.007375000000000005,1.6825822019082508,1433.4882398849886,1.3140334987749758,-0.11327729322669478,5.80007458399135,36.057282314197096,-0.1666500493868619,0.017406935300032542,-0.07425040238875333,0.7014285480317861,14.355353251400334,7.38976100716736,0.0025354688414720677,1.0087438356947307,0.8775367064011449,168.0756945059935,255.04891583471158,1.7449504410888029e-10,True,True,bound,851.957329787062,1204.8496103480306,1703.914659574124,1.3333178188316912e-15,True,True
0.007500000000000005,1.711113665950971,1433.4992326423112,1.3140234221380047,-0.11347227804507273,5.790063638345468,36.119347909542554,-0.1667192651772651,0.016211275720264182,-0.07430937168728227,0.7014444241680823,14.268594022297362,7.328358336654721,0.0025786846977411664,1.0089132842362205,0.8810765479001724,163.83432084213453,241.43420483008916,1.7107383906707637e-10,True,True,bound,837.7580409572776,1184.7687835088968,1675.5160819145551,8.911617415655978e-16,True,True
