it,L,batch_Rc_mean,batch_Rc_min,batch_co_mean,batch_A_mean
0,0.2630925399235201,0.11908614039421081,0.07321286201477051,0.45183045864105226,0.258490663766861
1,0.2635148320697288,0.11816938519477845,0.07653640955686569,0.44520257115364076,0.2347749412059784
2,0.24813511035298264,0.13596446961164474,0.07975225895643234,0.4142457664012909,0.24975000619888305
3,0.22489422930331515,0.16164620667696,0.08307374268770218,0.3546260118484497,0.23898630440235138
4,0.24354328044827284,0.1352008268237114,0.08626198768615723,0.4114368796348572,0.23265424072742463
5,0.23201434983828295,0.14887520670890808,0.08948181569576263,0.40252524614334106,0.2505430459976196
6,0.2464863080755712,0.12725031822919847,0.09269574284553528,0.4617508828639984,0.24270978271961213
7,0.21399294859051257,0.16406127214431762,0.09581264853477478,0.3182429730892181,0.21846671104431153
8,0.21270433831351168,0.16458872109651565,0.09869910031557083,0.3550471842288971,0.23777194023132325
9,0.20528546684480756,0.1716042309999466,0.10152299702167511,0.3419866442680359,0.23814470171928406
10,0.2140328145093421,0.15898217260837555,0.1043914332985878,0.3593511015176773,0.22313586473464966
11,0.23473349143852232,0.1301458790898323,0.10709507763385773,0.4076359152793884,0.21093003451824188
12,0.22465614309782658,0.14122593104839326,0.10981737077236176,0.41354474425315857,0.21134302616119385
13,0.2226803412111648,0.14219951927661895,0.1124640703201294,0.4075719714164734,0.207241028547287
14,0.19639818983421792,0.17433680593967438,0.11504068225622177,0.3811796545982361,0.21834115087985992
15,0.20006250318858831,0.1671513319015503,0.1177181601524353,0.28051518201828,0.21283582746982574
16,0.2143874671879192,0.14761568903923034,0.12006132304668427,0.371379142999649,0.2097839206457138
17,0.18827685830200708,0.17881391644477845,0.12238635122776031,0.3170678272843361,0.21064940094947815
18,0.20045212180393704,0.1625697135925293,0.12468624114990234,0.37130817770957947,0.20282635390758513
19,0.19113607646522984,0.17228850424289704,0.12684687972068787,0.3305220305919647,0.21692751348018646
20,0.1834175323018962,0.18126306235790252,0.12903714179992676,0.3318790256977081,0.20345283746719361
21,0.15611443066261801,0.2126199334859848,0.13118161261081696,0.24097421690821647,0.19847471117973328
22,0.15695171674788833,0.22020594477653505,0.13309545814990997,0.302663055062294,0.20399197638034822
23,0.16311360463689534,0.20105016231536865,0.13506242632865906,0.3147630602121353,0.2097254514694214
24,0.18427682366800396,0.17170581221580505,0.13698604702949524,0.3034467503428459,0.2007839560508728
25,0.16485975878913073,0.19800492525100707,0.138834148645401,0.26778626032173636,0.19723236560821533
26,0.16940786941693897,0.19137670397758483,0.14056596159934998,0.28943569362163546,0.20719820261001587
27,0.1469207181561875,0.21591398119926453,0.14228102564811707,0.25530166253447534,0.19926200211048126
28,0.16373083560782384,0.19326569139957428,0.14396452903747559,0.3277519762516022,0.19570808112621307
29,0.1553768275254085,0.20320868492126465,0.14550858736038208,0.2596536360681057,0.19598230719566345
30,0.160680322855635,0.1955705463886261,0.147059828042984,0.30619195103645325,0.20006093978881836
31,0.1256474480331479,0.23748279809951783,0.14851272106170654,0.25541180968284605,0.20354108214378358
32,0.11340254557975518,0.2156062453985214,0.18638651072978973,0.28007743656635287,0.1981337457895279
33,0.06024611863492346,0.29080807864665986,0.1876549869775772,0.26352905929088594,0.17623550891876222
34,0.09652644843625294,0.23778461515903473,0.1886817067861557,0.26242576241493226,0.19488234519958497
35,0.09869881864379691,0.2336757779121399,0.1898854374885559,0.2403879463672638,0.20231468379497528
36,0.09122291969584279,0.23899800777435304,0.19087141752243042,0.2436777949333191,0.20720075070858002
37,0.11848242908136877,0.2072131335735321,0.19200557470321655,0.18979803323745728,0.21166244745254517
38,0.08442287840125817,0.2482767879962921,0.1928882896900177,0.204042711853981,0.1997019112110138
39,0.059807249572814525,0.2879714101552963,0.19377340376377106,0.23193871974945068,0.18868787288665773
40,0.06659047246463956,0.2701760113239288,0.19471806287765503,0.13815331999212505,0.2051920473575592
41,0.07833004854771478,0.24969362616539,0.19563207030296326,0.24378222823143006,0.199861341714859
42,0.05211043241067815,0.29360162317752836,0.19619998335838318,0.24958040565252304,0.18022420704364778
43,0.05080840490783299,0.29441741704940794,0.19710734486579895,0.248813596367836,0.18012702465057373
44,0.10962048924456547,0.21138219833374022,0.19651702046394348,0.23920921385288238,0.19983266294002533
45,0.056112542006811636,0.2885418593883514,0.1987169086933136,0.23059145212173462,0.18662019073963165
46,0.0698784667006424,0.2613909035921097,0.19687990844249725,0.2174602061510086,0.19197259843349457
47,0.09584434420643995,0.22807808220386505,0.19729723036289215,0.21006349846720695,0.20860626697540283
48,0.04018711374405775,0.3125716090202332,0.1979016661643982,0.1942588359117508,0.1825714886188507
49,0.033667066027708484,0.30831519365310667,0.2009996920824051,0.1968009889125824,0.19347899854183198
50,-0.008976390585196104,0.3674013614654541,0.2015005350112915,0.2194111615419388,0.16818530410528182
51,-0.039296401775559174,0.41934092044830323,0.20205003023147583,0.1975658044219017,0.15606592893600463
52,-0.07271074891261839,0.4308952629566193,0.22939366102218628,0.1749374806880951,0.1636029750108719
53,-0.012490264180950672,0.33728858828544617,0.2299315482378006,0.17385186553001403,0.1907513290643692
54,0.014494596459105006,0.2975485801696777,0.2301713526248932,0.21612142522353678,0.17310754358768463
55,0.0782498510379875,0.23305285573005677,0.19027623534202576,0.22736860029399394,0.19309478402137756
56,0.04003063939275157,0.2676087528467178,0.23081277310848236,0.2300699919462204,0.1939464271068573
57,0.0750110815506113,0.23811230361461638,0.18987415730953217,0.21295928657054902,0.19992465674877166
58,0.04386433478091317,0.2807674676179886,0.18979516625404358,0.18742717169225215,0.1984181135892868
59,0.058074878481265566,0.261980339884758,0.19010880589485168,0.17598092332482337,0.2068955719470978
60,-0.023082104438977916,0.3453034937381744,0.2317677140235901,0.19763652682304383,0.17986905574798584
61,-0.02130386127190732,0.35695637464523317,0.23187130689620972,0.19772387221455573,0.17778600752353668
62,-3.2465662813629254e-05,0.34494628608226774,0.1904679387807846,0.13783880434930323,0.19401566982269286
63,0.006204816993358418,0.3204557359218597,0.2322579026222229,0.20316913723945618,0.1855004072189331
64,0.043784806642460844,0.27894594371318815,0.1904652714729309,0.19900836944580078,0.19161752760410308
65,0.02383202805809049,0.2880744308233261,0.23279902338981628,0.22180593013763428,0.1891661822795868
66,0.010396810405129634,0.32995082139968873,0.1906299889087677,0.1746593002229929,0.1829423040151596
67,0.04457941752607415,0.2565774917602539,0.23318511247634888,0.22005060683004557,0.1841558635234833
68,0.07176583840809694,0.24128485321998597,0.18956702947616577,0.1635611094534397,0.20556457638740538
69,-0.010626537971890442,0.35037513077259064,0.19009841978549957,0.11633130107074977,0.1855362981557846
70,-0.0005273870386162914,0.3117613554000854,0.23938250541687012,0.14685065462253988,0.19628856778144838
71,0.01195972107516442,0.29525101780891416,0.23960113525390625,0.21665082573890687,0.19270764291286469
72,0.043686394313985,0.2549541175365448,0.23951956629753113,0.21651288121938705,0.2054997980594635
73,-0.08537101562309497,0.43689062595367434,0.23988622426986694,0.17102876156568528,0.16506210714578629
74,-0.0020150508006591857,0.3080685347318649,0.23970113694667816,0.21069303755648433,0.17561963498592376
75,0.02921459505430172,0.26886242628097534,0.23988094925880432,0.20706497207283975,0.19071308076381682
76,0.016825987272283537,0.28946847915649415,0.24010911583900452,0.21859171390533447,0.1945953279733658
77,-0.020485099773343937,0.33220664262771604,0.24017149209976196,0.1624140702188015,0.1720324844121933
78,0.05581050524751683,0.2546334803104401,0.1935819685459137,0.21665058881044388,0.19432475566864013
79,0.01970171355161091,0.31551620066165925,0.1940019726753235,0.15036086961627007,0.20107548236846923
